"affectionate" "afraid" "agreeable" "alone" "amazing" "angry" "anxious" "bad" "beautiful" "blind" "bright" "busy" "calm" "careful" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "cool" "curious" "difficult" "extraordinary" "fair" "faithful" "familiar" "fine" "foolish" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "innocent" "kind" "little" "lonely" "loud" "modest" "natural" "nice" "noisy" "old" "open" "ordinary" "original" "plain" "pleasant" "pleased" "poor" "popular" "pretty" "private" "professional" "proper" "quiet" "remarkable" "rich" "rough" "sad" "satisfied" "short" "smart" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thankful" "thoughtful" "tired" "violent" "warm" "weak" "well" "worthy" "young"
"charming" 2 3 0 0 0 3 0 1 5 2 3 0 1 1 5 0 2 1 5 3 1 1 1 5 4 1 0 0 0 2 1 4 10 0 11 0 2 2 4 0 0 1 1 12 0 1 1 1 2 0 8 3 1 4 1 5 1 5 0 0 0 0 2 2 4 2 0 1 0 7 0 2 4 1 3 2 1 0 1 1 1 2 0 2 1 6
"cheerful" 2 3 4 9 1 3 2 3 3 2 11 5 0 3 10 2 0 0 11 6 1 0 5 4 2 2 3 0 3 4 5 8 22 5 21 0 15 6 3 1 0 3 2 30 4 6 1 5 1 2 26 12 1 3 5 13 2 15 3 2 4 1 1 9 3 5 4 7 1 8 1 4 8 0 3 1 4 1 6 5 0 5 4 1 1 16
"clean" 1 3 0 0 0 0 1 2 3 0 4 2 0 0 0 1 0 0 3 2 2 1 0 2 0 2 1 0 0 1 1 1 7 1 10 1 3 1 0 0 1 1 1 10 0 0 1 2 0 2 7 4 0 0 2 2 1 3 0 0 1 1 1 1 3 0 2 0 2 5 0 1 2 3 2 0 0 0 0 2 0 2 2 0 0 4
"cold" 1 9 4 10 3 2 9 9 10 2 16 6 2 4 10 5 11 3 0 5 0 0 2 5 7 4 2 0 1 8 10 8 33 8 36 0 16 10 5 4 0 4 5 47 5 4 3 6 1 4 45 19 3 13 6 8 1 27 5 5 3 0 2 13 7 6 5 5 2 22 6 10 16 5 7 3 3 4 6 6 3 6 7 3 4 17
"comfortable" 3 7 4 5 1 3 2 4 6 1 4 2 1 1 9 3 6 2 5 0 0 1 1 1 3 1 3 1 1 1 5 5 23 3 19 1 8 4 4 2 3 1 9 26 4 0 1 6 3 5 21 9 2 4 5 10 1 17 2 1 4 2 3 6 8 2 1 3 3 12 3 6 7 0 3 1 2 0 1 1 2 4 2 0 3 14
"cool" 1 0 1 0 0 0 3 1 1 0 1 1 2 3 5 1 1 2 0 0 0 3 1 3 2 1 2 2 0 0 1 5 11 1 12 1 5 1 0 0 0 1 1 10 0 0 1 3 2 2 8 5 0 1 3 1 2 6 0 1 1 1 1 4 1 1 1 1 1 6 0 3 3 3 0 2 0 0 0 1 0 2 2 0 0 6
"curious" 1 1 1 4 0 1 4 2 1 0 3 2 1 1 4 1 0 1 0 1 3 0 2 1 1 1 3 2 0 1 3 3 12 2 12 0 2 2 0 0 2 3 2 10 1 0 0 2 0 3 13 3 1 0 1 1 2 8 0 1 0 1 2 2 0 0 2 1 1 8 0 7 4 2 1 1 0 1 2 4 1 1 1 0 1 6
"difficult" 1 4 3 6 2 0 4 2 0 2 6 3 1 1 3 1 5 0 2 1 1 2 0 2 2 0 2 0 2 3 3 7 13 0 13 1 8 2 1 0 0 1 0 18 0 2 1 5 1 2 17 8 2 2 4 7 1 7 0 0 3 0 1 6 2 4 0 1 1 7 0 7 6 2 1 2 4 0 2 1 0 2 2 2 0 8
"extraordinary" 2 5 2 4 3 3 5 1 4 1 1 1 0 2 9 5 4 2 5 1 3 1 2 0 5 1 1 4 1 3 4 5 28 2 29 4 8 4 1 1 0 4 0 25 2 2 0 3 1 1 22 9 2 5 8 5 2 10 3 3 3 1 5 1 7 7 0 2 2 13 2 5 8 5 4 1 0 2 2 1 1 3 3 4 4 16
"fair" 2 3 2 2 4 4 3 4 4 2 1 0 2 3 6 4 2 0 7 3 2 1 2 5 0 2 3 0 1 4 4 4 19 1 19 2 4 1 3 1 2 1 1 24 0 1 1 6 1 3 21 5 3 6 3 5 1 9 2 2 4 2 1 4 3 3 2 2 0 14 1 6 10 2 2 2 1 1 4 0 1 3 2 2 4 15
"faithful" 2 1 0 1 0 1 2 2 1 1 4 2 1 1 0 1 2 2 4 1 1 1 0 1 2 0 0 1 1 0 3 4 7 1 6 1 4 1 1 0 1 0 4 8 1 0 0 1 0 1 7 3 0 1 0 3 0 7 0 0 0 0 1 3 0 1 1 1 1 5 0 0 2 1 1 0 0 1 2 2 0 3 2 1 0 4
"familiar" 3 0 1 6 1 0 2 1 4 0 3 0 2 3 3 0 3 1 2 3 2 3 2 1 3 0 0 1 0 1 3 2 10 1 11 0 7 0 2 0 3 1 3 17 1 0 1 4 1 3 16 7 3 3 3 3 1 9 2 1 2 0 1 4 4 1 0 3 1 9 0 5 7 2 0 2 1 1 4 4 1 3 1 1 1 7
"fine" 0 1 2 2 1 1 4 1 3 0 1 2 1 2 5 0 0 0 0 1 2 2 0 4 0 1 1 0 2 0 0 2 9 1 13 4 2 2 1 0 0 0 1 14 0 2 2 2 1 1 14 3 0 2 1 2 1 6 1 4 1 0 1 5 2 3 1 0 1 5 1 1 3 2 3 1 0 1 1 3 0 2 1 0 0 7
"foolish" 1 2 1 4 0 0 2 2 2 1 3 3 0 2 1 0 3 0 1 1 0 0 2 1 1 1 0 2 0 1 1 5 8 2 8 0 4 1 1 1 0 0 3 10 0 2 0 3 0 1 7 3 0 0 4 2 1 4 1 1 0 0 0 3 2 3 1 1 1 4 1 0 3 1 0 0 1 0 2 0 0 3 1 0 0 8
"friendly" 1 5 2 3 3 1 3 1 2 3 3 0 1 2 4 2 4 1 8 1 0 1 3 3 4 0 1 0 1 0 5 6 18 1 14 0 3 5 2 3 0 2 2 21 1 3 1 5 1 1 18 3 3 2 4 6 3 4 2 2 4 2 1 2 4 4 2 0 1 15 2 5 11 1 1 0 2 0 1 1 3 0 1 1 1 11
"gentle" 3 5 1 4 1 3 5 3 5 1 7 1 4 0 10 1 5 1 10 5 1 3 3 4 4 3 3 0 1 5 0 10 21 4 24 0 11 6 3 1 2 4 6 26 3 1 2 2 4 3 28 8 2 2 5 4 2 13 1 2 2 1 1 7 1 2 3 3 0 14 1 7 9 3 3 2 2 2 3 3 1 4 2 3 1 12
"glad" 5 8 4 13 0 4 6 5 6 4 10 6 3 3 7 4 8 1 8 5 5 3 7 5 4 4 2 2 5 6 10 0 36 3 32 2 21 4 6 3 1 3 10 40 1 5 0 6 2 3 36 15 0 3 8 10 4 20 2 2 2 6 1 15 2 3 3 6 2 17 1 10 10 4 1 2 3 1 4 4 3 6 8 4 2 23
"good" 11 26 11 30 7 12 22 19 22 10 26 12 8 13 39 10 22 7 33 23 11 12 13 28 19 7 10 9 8 18 21 36 0 12 119 5 42 26 20 10 6 16 26 139 11 12 7 22 11 13 125 41 7 22 22 28 10 66 6 12 13 11 13 33 23 17 9 15 6 61 7 38 43 13 13 7 6 8 15 18 10 20 16 13 13 73
"grateful" 2 1 1 5 1 1 3 5 3 0 7 2 0 5 5 0 5 1 8 3 1 2 0 2 1 1 1 1 2 1 4 3 12 0 14 0 4 7 1 1 0 2 5 19 3 1 0 1 0 1 19 8 0 3 4 3 2 15 1 1 2 1 2 3 2 1 3 4 1 9 3 4 3 1 2 2 2 2 3 4 0 1 3 0 0 7
"great" 10 26 14 28 7 12 25 20 18 6 28 8 7 11 45 11 21 10 36 19 12 12 13 29 19 6 11 13 8 14 24 32 119 14 0 7 37 23 17 8 7 14 20 141 6 9 7 24 15 13 130 42 6 21 25 29 10 62 9 12 15 9 14 29 21 19 11 11 8 70 7 37 39 15 12 10 11 8 16 18 9 19 17 9 9 72
"handsome" 0 0 1 0 1 2 3 2 0 0 0 0 1 1 2 0 0 1 0 1 1 0 1 4 2 1 0 4 0 0 0 2 5 0 7 0 1 0 1 0 0 0 1 8 1 1 1 3 1 1 6 2 1 0 4 2 0 3 0 1 1 0 1 2 2 1 0 0 0 2 1 3 4 2 1 2 0 0 0 2 0 1 1 0 1 8
"happy" 4 6 4 13 1 4 11 3 9 1 18 6 3 3 12 2 15 3 16 8 5 2 8 8 4 4 7 2 4 3 11 21 42 4 37 1 0 9 4 1 1 4 10 50 7 2 2 5 3 7 51 22 1 8 8 12 3 25 2 3 3 0 2 24 7 7 4 9 2 20 5 12 15 7 6 2 2 3 5 3 4 11 8 5 2 28
"hard" 1 6 4 10 1 4 3 5 3 3 10 3 4 2 11 2 6 1 10 4 1 2 2 4 1 1 0 2 1 5 6 4 26 7 23 0 9 0 3 2 1 5 3 29 3 1 1 5 2 3 29 10 3 11 3 4 1 13 1 1 1 0 1 9 4 3 5 3 2 13 2 9 8 1 6 1 1 3 3 3 3 3 5 4 0 11
"honest" 4 7 0 6 2 2 1 5 7 6 3 0 1 2 6 4 3 0 5 4 0 0 1 1 3 1 2 1 1 2 3 6 20 1 17 1 4 3 0 2 0 3 3 18 0 4 1 3 2 0 20 13 0 3 2 6 1 6 1 3 2 0 2 4 4 1 0 6 1 7 1 7 4 0 2 2 5 2 1 1 1 5 1 1 4 10
"impatient" 0 2 0 3 0 1 2 2 2 1 2 2 0 1 1 0 1 0 4 2 0 0 0 1 1 0 0 0 1 3 1 3 10 1 8 0 1 2 2 0 0 0 4 10 1 0 0 2 1 1 11 3 0 1 2 3 0 5 1 3 2 1 1 2 2 0 0 1 0 6 1 3 2 0 1 0 0 1 0 1 1 1 1 0 2 4
"important" 1 0 0 3 0 0 0 2 1 0 2 1 1 0 3 0 0 1 0 3 0 2 0 0 2 1 3 0 0 0 2 1 6 0 7 0 1 1 0 0 0 0 1 7 0 1 1 2 1 0 8 3 3 3 1 2 1 3 1 1 2 0 1 1 1 0 0 1 1 4 0 1 0 1 0 1 0 2 1 2 0 0 0 0 0 3
"innocent" 0 2 1 4 0 3 3 3 3 1 3 1 3 3 2 1 3 1 4 1 1 3 1 4 1 0 1 0 0 2 4 3 16 2 14 0 4 5 3 0 0 0 1 13 2 4 0 2 0 1 14 6 1 1 2 4 1 5 1 1 1 2 1 2 1 2 1 2 2 4 0 2 2 0 1 0 2 2 2 1 2 2 2 0 3 7
"kind" 5 9 1 5 0 2 6 8 6 0 5 3 2 3 6 1 2 1 5 9 1 2 0 0 1 4 3 1 3 2 6 10 26 5 20 1 10 3 3 4 1 1 0 28 2 0 2 5 1 3 25 9 0 3 3 7 2 17 1 0 2 1 1 9 4 1 1 5 0 15 1 7 4 2 2 0 2 2 4 6 3 2 3 3 3 16
"little" 12 30 17 36 10 14 28 24 26 11 35 18 11 15 46 12 30 10 47 26 10 10 18 25 24 8 17 14 10 21 26 40 139 19 141 8 50 29 18 10 7 13 28 0 13 13 9 26 13 14 164 56 9 29 30 39 11 85 10 14 21 11 15 40 28 19 14 18 10 80 7 41 49 14 18 9 14 10 19 27 11 21 21 10 12 89
"lonely" 0 2 0 3 0 2 2 1 4 0 4 0 0 1 6 0 4 0 5 4 0 1 0 2 0 1 1 0 0 1 3 1 11 3 6 1 7 3 0 1 0 2 2 13 0 0 0 1 2 0 10 3 0 1 3 3 0 9 1 1 1 1 1 2 1 1 0 3 0 6 2 1 5 0 2 0 0 1 2 2 2 3 4 0 3 8
"loud" 1 4 1 3 1 0 3 2 2 2 4 2 1 2 3 1 6 0 4 0 0 0 2 2 1 0 0 2 2 3 1 5 12 1 9 1 2 1 4 0 1 4 0 13 0 0 1 5 0 0 12 4 1 3 0 4 2 4 1 1 1 2 0 1 3 2 3 2 0 5 0 3 3 1 2 2 2 2 4 4 1 1 1 0 1 5
"modest" 1 1 2 1 2 1 2 2 2 0 2 0 1 1 3 1 1 1 3 1 1 0 1 0 1 0 1 2 0 1 2 0 7 0 7 1 2 1 1 0 1 0 2 9 0 1 0 1 2 0 6 3 1 0 2 0 0 0 0 1 2 0 0 2 4 2 2 0 0 7 0 3 2 1 1 1 1 0 1 2 1 1 1 0 0 5
"natural" 3 7 4 4 2 2 4 8 3 1 3 2 1 3 7 1 5 2 6 6 3 2 5 3 6 1 4 2 3 5 2 6 22 1 24 3 5 5 3 2 2 2 5 26 1 5 1 0 1 4 23 10 4 5 2 6 0 12 4 0 1 2 0 6 5 3 4 0 1 15 2 8 9 3 2 2 2 1 3 1 0 5 1 1 2 15
"nice" 0 2 1 2 0 4 0 1 2 0 0 0 0 1 6 2 1 0 1 3 2 0 1 1 1 0 1 1 0 1 4 2 11 0 15 1 3 2 2 1 1 0 1 13 2 0 2 1 0 0 12 2 1 1 2 2 0 2 0 0 2 1 3 3 2 1 1 1 0 9 0 3 2 2 1 1 2 0 1 2 2 3 0 0 1 7
"noisy" 4 3 1 3 2 1 3 0 1 0 3 4 0 2 2 0 2 2 4 5 2 3 2 1 3 1 3 1 1 1 3 3 13 1 13 1 7 3 0 1 0 1 3 14 0 0 0 4 0 0 13 6 0 1 1 4 0 10 0 2 1 0 1 6 2 1 3 2 1 8 0 10 7 1 2 3 0 0 0 4 1 1 1 1 0 5
"old" 13 30 16 36 6 7 28 20 26 9 39 15 12 15 41 8 26 7 45 21 8 13 17 22 21 7 16 14 7 18 28 36 125 19 130 6 51 29 20 11 8 14 25 164 10 12 6 23 12 13 0 53 8 29 29 38 11 77 7 14 16 6 11 44 19 18 16 15 8 68 7 45 40 17 16 10 11 9 20 23 8 22 22 6 10 79
"open" 5 8 5 11 3 4 10 11 7 3 17 9 4 3 8 3 12 4 19 9 5 3 8 9 5 3 7 3 3 3 8 15 41 8 42 2 22 10 13 3 3 6 9 56 3 4 3 10 2 6 53 0 1 12 9 15 1 30 5 5 5 2 4 15 13 6 5 10 4 23 1 16 13 6 6 6 3 3 7 7 2 6 8 2 4 30
"ordinary" 1 0 0 3 0 2 2 3 1 1 0 1 0 0 3 1 1 0 3 2 0 1 2 2 3 0 3 0 0 3 2 0 7 0 6 1 1 3 0 0 3 1 0 9 0 1 1 4 1 0 8 1 0 4 2 3 0 4 1 0 0 0 1 1 4 2 1 0 1 6 0 1 1 3 1 2 0 2 1 0 0 2 1 0 0 3
"original" 1 3 5 8 1 1 2 2 4 0 3 2 2 0 9 4 3 0 13 4 1 0 2 5 6 1 3 2 0 2 2 3 22 3 21 0 8 11 3 1 3 1 3 29 1 3 0 5 1 1 29 12 4 0 5 6 1 13 3 2 0 0 2 7 4 4 5 0 1 12 0 5 9 1 3 3 1 3 2 5 2 2 2 2 3 13
