"lady_lucas::determined";"william::determined"
"bingley::hearty";"lizzy::hearty"
"jane::giving";"lizzy::giving"
"jane::giving";"lydia::giving"
"lizzy::giving";"lydia::giving"
"lizzy::ignorant";"lizzy::quickness"
"bennet::#-knowledge";"bingley::#-knowledge"
"bennet::hypocritical";"bennet::selfish"
"mary::deep";"mary::reflection"
"bennet::kindness";"kitty::kindness"
"lady_lucas::distant";"lady_lucas::ingenious"
"lady_lucas::distant";"lady_lucas::intelligence"
"lady_lucas::distant";"lady_lucas::questions"
"lady_lucas::ingenious";"lady_lucas::intelligence"
"lady_lucas::ingenious";"lady_lucas::questions"
"lady_lucas::intelligence";"lady_lucas::questions"
"bingley::certain";"bingley::lively"
"bingley::gentleman-like";"bingley::pleasant"
"darcy::gentleman";"hurst::gentleman"
"bingley::gentlemen";"bingley::proud"
"darcy::proudest";"hurst::proudest"
"bennet::particular";"bennet::violent"
"bennet::agreeable";"bennet::just"
"bennet::agreeable";"darcy::agreeable"
"bennet::agreeable";"darcy::just"
"bennet::just";"darcy::agreeable"
"bennet::just";"darcy::just"
"darcy::agreeable";"darcy::just"
"darcy::cordial";"elizabeth::cordial"
"darcy::lively";"darcy::playful"
"darcy::lively";"elizabeth::lively"
"darcy::lively";"elizabeth::playful"
"darcy::playful";"elizabeth::lively"
"darcy::playful";"elizabeth::playful"
"elizabeth::lively";"elizabeth::playful"
"elizabeth::pleasure";"jane::pleasure"
"bingley::accomplished";"kitty::accomplished"
"bingley::accomplished";"lydia::accomplished"
"bingley::accomplished";"mary::accomplished"
"kitty::accomplished";"lydia::accomplished"
"kitty::accomplished";"mary::accomplished"
"lydia::accomplished";"mary::accomplished"
"boulanger::impatiently";"jane::impatiently"
"boulanger::impatiently";"lizzy::impatiently"
"boulanger::impatiently";"maria_lucas::impatiently"
"jane::impatiently";"lizzy::impatiently"
"jane::impatiently";"maria_lucas::impatiently"
"lizzy::impatiently";"maria_lucas::impatiently"
"bingley::cautious";"elizabeth::cautious"
"bingley::cautious";"jane::cautious"
"elizabeth::cautious";"jane::cautious"
"bingley::just";"bingley::lively"
"bingley::just";"elizabeth::just"
"bingley::just";"elizabeth::lively"
"bingley::just";"jane::just"
"bingley::just";"jane::lively"
"bingley::lively";"elizabeth::just"
"bingley::lively";"elizabeth::lively"
"bingley::lively";"jane::just"
"bingley::lively";"jane::lively"
"elizabeth::just";"elizabeth::lively"
"elizabeth::just";"jane::just"
"elizabeth::just";"jane::lively"
"elizabeth::lively";"jane::just"
"elizabeth::lively";"jane::lively"
"jane::just";"jane::lively"
"bingley::anxious";"bingley::consider"
"bingley::anxious";"hurst::anxious"
"bingley::anxious";"hurst::consider"
"bingley::consider";"hurst::anxious"
"bingley::consider";"hurst::consider"
"hurst::anxious";"hurst::consider"
"--_bingley::steady";"darcy::steady"
"bingley::firmest";"darcy::firmest"
"bingley::clever";"darcy::clever"
"bingley::giving";"darcy::giving"
"darcy::contrary";"darcy::pleasure"
"bennet::#-clever";"bennet::kind"
"bennet::#-clever";"lucas::#-clever"
"bennet::#-clever";"lucas::kind"
"bennet::kind";"lucas::#-clever"
"bennet::kind";"lucas::kind"
"lucas::#-clever";"lucas::kind"
"charlotte_lucas::communicate";"elizabeth::communicate"
"charlotte_lucas::communicate";"jane::communicate"
"charlotte_lucas::communicate";"maria_lucas::communicate"
"elizabeth::communicate";"jane::communicate"
"elizabeth::communicate";"maria_lucas::communicate"
"jane::communicate";"maria_lucas::communicate"
"bennet::civil";"lucas::civil"
"darcy::just";"eliza::just"
"bingley::certainly";"bingley::intimate"
"bingley::certainly";"darcy::certainly"
"bingley::certainly";"darcy::intimate"
"bingley::certainly";"jane::certainly"
"bingley::certainly";"jane::intimate"
"bingley::intimate";"darcy::certainly"
"bingley::intimate";"darcy::intimate"
"bingley::intimate";"jane::certainly"
"bingley::intimate";"jane::intimate"
"darcy::certainly";"darcy::intimate"
"darcy::certainly";"jane::certainly"
"darcy::certainly";"jane::intimate"
"darcy::intimate";"jane::certainly"
"darcy::intimate";"jane::intimate"
"jane::certainly";"jane::intimate"
"bingley::agreeable\"";"darcy::agreeable\""
"bingley::agreeable\"";"jane::agreeable\""
"darcy::agreeable\"";"jane::agreeable\""
"darcy::proud";"lucas::proud"
"bennet::intolerable";"hurst::intolerable"
"jane::#-certain";"jane::reasonableness"
"darcy::certainly";"forster::certainly"
"james::compliment";"james::proper"
"eliza::companion";"eliza::gallant"
"eliza::companion";"elizabeth::companion"
"eliza::companion";"elizabeth::gallant"
"eliza::gallant";"elizabeth::companion"
"eliza::gallant";"elizabeth::gallant"
"elizabeth::companion";"elizabeth::gallant"
"eliza::cruel";"eliza::gentleman"
"darcy::politeness\"";"elizabeth::politeness\""
"miss_bingley::complacency";"miss_bingley::gentleman"
"kitty::conversation";"kitty::particularly"
"kitty::conversation";"lydia::conversation"
"kitty::conversation";"lydia::particularly"
"kitty::particularly";"lydia::conversation"
"kitty::particularly";"lydia::particularly"
"lydia::conversation";"lydia::particularly"
"philips::intelligence";"philips::productive"
"carter::indifference";"kitty::indifference"
"carter::indifference";"lydia::indifference"
"kitty::indifference";"lydia::indifference"
"forster::smart";"william::smart"
"bennet::eagerly";"bennet::pleasure"
"bennet::eagerly";"jane::eagerly"
"bennet::eagerly";"jane::pleasure"
"bennet::pleasure";"jane::eagerly"
"bennet::pleasure";"jane::pleasure"
"jane::eagerly";"jane::pleasure"
"bingley::gentlemen";"hurst::gentlemen"
"elizabeth::impatient";"elizabeth::quick"
"elizabeth::impatient";"elizabeth::warmth"
"elizabeth::quick";"elizabeth::warmth"
"elizabeth::kindness--mr";"hurst::kindness--mr"
"elizabeth::affection";"jane::affection"
"bingley::civil";"bingley::pleasure"
"elizabeth::cold";"elizabeth::excessively"
"elizabeth::cold";"elizabeth::indifference"
"elizabeth::cold";"elizabeth::original"
"elizabeth::cold";"jane::cold"
"elizabeth::cold";"jane::excessively"
"elizabeth::cold";"jane::indifference"
"elizabeth::cold";"jane::original"
"elizabeth::excessively";"elizabeth::indifference"
"elizabeth::excessively";"elizabeth::original"
"elizabeth::excessively";"jane::cold"
"elizabeth::excessively";"jane::excessively"
"elizabeth::excessively";"jane::indifference"
"elizabeth::excessively";"jane::original"
"elizabeth::indifference";"elizabeth::original"
"elizabeth::indifference";"jane::cold"
"elizabeth::indifference";"jane::excessively"
"elizabeth::indifference";"jane::indifference"
"elizabeth::indifference";"jane::original"
"elizabeth::original";"jane::cold"
"elizabeth::original";"jane::excessively"
"elizabeth::original";"jane::indifference"
"elizabeth::original";"jane::original"
"jane::cold";"jane::excessively"
"jane::cold";"jane::indifference"
"jane::cold";"jane::original"
"jane::excessively";"jane::indifference"
"jane::excessively";"jane::original"
"jane::indifference";"jane::original"
"elizabeth::complacency";"jane::complacency"
"bingley::lived";"darcy::lived"
"bingley::lived";"elizabeth::lived"
"bingley::lived";"hurst::lived"
"darcy::lived";"elizabeth::lived"
"darcy::lived";"hurst::lived"
"elizabeth::lived";"hurst::lived"
"bingley::directly";"jane::directly"
"bingley::exact";"louisa::exact"
"bingley::exhibition\"";"darcy::exhibition\""
"bingley::elegant";"bingley::pleasure"
"bingley::elegant";"elizabeth::elegant"
"bingley::elegant";"elizabeth::pleasure"
"bingley::pleasure";"elizabeth::elegant"
"bingley::pleasure";"elizabeth::pleasure"
"elizabeth::elegant";"elizabeth::pleasure"
"bennet::civility";"bennet::cold"
"bennet::civility";"miss_bingley::civility"
"bennet::civility";"miss_bingley::cold"
"bennet::cold";"miss_bingley::civility"
"bennet::cold";"miss_bingley::cold"
"miss_bingley::civility";"miss_bingley::cold"
"bingley::wild";"lizzy::wild"
"darcy::gentleman\"";"elizabeth::gentleman\""
"bingley::agreeable";"william::agreeable"
"elizabeth::affection\"";"elizabeth::impatiently"
"bennet::kindness";"bingley::kindness"
"bennet::kindness";"jane::kindness"
"bennet::kindness";"lizzy::kindness"
"bingley::kindness";"jane::kindness"
"bingley::kindness";"lizzy::kindness"
"jane::kindness";"lizzy::kindness"
"lydia::affection";"lydia::complexion"
"carter::giving";"jane::giving"
"elizabeth::slowly";"hurst::slowly"
"darcy::companion";"elizabeth::companion"
"darcy::curious";"darcy::exactly"
