"anne_page::stable—generally";"hugh_evans::stable—generally"
"tappertit::#-consider";"tappertit::proper"
"tappertit::forwards";"tappertit::jolly"
"dolly::forward";"tappertit::forward"
"sim::calmness";"sim::knowledge"
"sim::calmness";"tappertit::calmness"
"sim::calmness";"tappertit::knowledge"
"sim::knowledge";"tappertit::calmness"
"sim::knowledge";"tappertit::knowledge"
"tappertit::calmness";"tappertit::knowledge"
"barnaby::capricious";"barnaby::inconstant"
"barnaby::capricious";"barnaby::prompted"
"barnaby::capricious";"barnaby::wild"
"barnaby::inconstant";"barnaby::prompted"
"barnaby::inconstant";"barnaby::wild"
"barnaby::prompted";"barnaby::wild"
"haredale::kindly";"haredale::temperate"
"haredale::kindly";"mary::kindly"
"haredale::kindly";"mary::temperate"
"haredale::kindly";"polly::kindly"
"haredale::kindly";"polly::temperate"
"haredale::temperate";"mary::kindly"
"haredale::temperate";"mary::temperate"
"haredale::temperate";"polly::kindly"
"haredale::temperate";"polly::temperate"
"mary::kindly";"mary::temperate"
"mary::kindly";"polly::kindly"
"mary::kindly";"polly::temperate"
"mary::temperate";"polly::kindly"
"mary::temperate";"polly::temperate"
"polly::kindly";"polly::temperate"
"barnaby::despondent";"barnaby::reproachfully"
"barnaby::despondent";"barnaby::restless"
"barnaby::despondent";"barnaby::stern"
"barnaby::reproachfully";"barnaby::restless"
"barnaby::reproachfully";"barnaby::stern"
"barnaby::restless";"barnaby::stern"
"barnaby::profoundly";"barnaby::strictly"
"barnaby::exactly";"barnaby::sly"
"barnaby::complacency";"barnaby::critical"
"barnaby::complacency";"barnaby::reflective"
"barnaby::complacency";"barnaby::suggestive"
"barnaby::critical";"barnaby::reflective"
"barnaby::critical";"barnaby::suggestive"
"barnaby::reflective";"barnaby::suggestive"
"barnaby::quiet";"reuben_haredale::quiet"
"hugh::sluggishly";"joe::sluggishly"
"edward_chester::quickly";"haredale::quickly"
"edward_chester::question";"haredale::question"
"haredale::anxious";"haredale::incautiously—it"
"chester::courteous";"haredale::courteous"
"chester::certain!'";"chester::direction"
"chester::certain!'";"chester::inquiring"
"chester::certain!'";"gabriel_varden::certain!'"
"chester::certain!'";"gabriel_varden::direction"
"chester::certain!'";"gabriel_varden::inquiring"
"chester::certain!'";"haredale::certain!'"
"chester::certain!'";"haredale::direction"
"chester::certain!'";"haredale::inquiring"
"chester::direction";"chester::inquiring"
"chester::direction";"gabriel_varden::certain!'"
"chester::direction";"gabriel_varden::direction"
"chester::direction";"gabriel_varden::inquiring"
"chester::direction";"haredale::certain!'"
"chester::direction";"haredale::direction"
"chester::direction";"haredale::inquiring"
"chester::inquiring";"gabriel_varden::certain!'"
"chester::inquiring";"gabriel_varden::direction"
"chester::inquiring";"gabriel_varden::inquiring"
"chester::inquiring";"haredale::certain!'"
"chester::inquiring";"haredale::direction"
"chester::inquiring";"haredale::inquiring"
"gabriel_varden::certain!'";"gabriel_varden::direction"
"gabriel_varden::certain!'";"gabriel_varden::inquiring"
"gabriel_varden::certain!'";"haredale::certain!'"
"gabriel_varden::certain!'";"haredale::direction"
"gabriel_varden::certain!'";"haredale::inquiring"
"gabriel_varden::direction";"gabriel_varden::inquiring"
"gabriel_varden::direction";"haredale::certain!'"
"gabriel_varden::direction";"haredale::direction"
"gabriel_varden::direction";"haredale::inquiring"
"gabriel_varden::inquiring";"haredale::certain!'"
"gabriel_varden::inquiring";"haredale::direction"
"gabriel_varden::inquiring";"haredale::inquiring"
"haredale::certain!'";"haredale::direction"
"haredale::certain!'";"haredale::inquiring"
"haredale::direction";"haredale::inquiring"
"chester::restraint";"varden::restraint"
"ned::moral";"ned::strictly"
"mrs_varden::affable";"mrs_varden::gentleman"
"mrs_varden::affable";"ned::affable"
"mrs_varden::affable";"ned::gentleman"
"mrs_varden::gentleman";"ned::affable"
"mrs_varden::gentleman";"ned::gentleman"
"ned::affable";"ned::gentleman"
"chester::insincerity";"ned::insincerity"
"ned::#-sincere";"ned::affection"
"dolly::gentleman";"tappertit::gentleman"
"chester::jealousy";"miggs::jealousy"
"chester::affectionate";"mrs_varden::affectionate"
"mrs_varden::moral";"mrs_varden::responsibilities"
"mrs_varden::moral";"mrs_varden::straight"
"mrs_varden::responsibilities";"mrs_varden::straight"
"mrs_varden::meekly";"ned::meekly"
"joseph_willet::indifferent";"mrs_varden::indifferent"
"joseph_willet::indifferent";"ned::indifferent"
"joseph_willet::indifferent";"varden::indifferent"
"mrs_varden::indifferent";"ned::indifferent"
"mrs_varden::indifferent";"varden::indifferent"
"ned::indifferent";"varden::indifferent"
"joseph_willet::affections";"mrs_varden::affections"
"chester::conversational";"chester::sentiments"
"edward::gallantry";"edward::restrain"
"edward::gallantry";"mrs_varden::gallantry"
"edward::gallantry";"mrs_varden::restrain"
"edward::restrain";"mrs_varden::gallantry"
"edward::restrain";"mrs_varden::restrain"
"mrs_varden::gallantry";"mrs_varden::restrain"
"mrs_varden::defensive";"mrs_varden::justice"
"mrs_varden::defensive";"mrs_varden::morality"
"mrs_varden::justice";"mrs_varden::morality"
"chester::inquiring";"dolly::inquiring"
"chester::inquiring";"miggs::inquiring"
"dolly::inquiring";"miggs::inquiring"
"chester::thoughtful";"dolly::thoughtful"
"chester::thoughtful";"miggs::thoughtful"
"dolly::thoughtful";"miggs::thoughtful"
"chester::expression";"mrs_varden::expression"
"chester::anxious";"chester::benevolence"
"chester::anxious";"mrs_varden::anxious"
"chester::anxious";"mrs_varden::benevolence"
"chester::benevolence";"mrs_varden::anxious"
"chester::benevolence";"mrs_varden::benevolence"
"mrs_varden::anxious";"mrs_varden::benevolence"
"chester::contrary";"mrs_varden::contrary"
"chester::pleasure";"mrs_varden::pleasure"
"hugh::carelessly";"hugh::wild"
"chester::dull";"chester::lives"
"chester::dull";"varden::dull"
"chester::dull";"varden::lives"
"chester::lives";"varden::dull"
"chester::lives";"varden::lives"
"varden::dull";"varden::lives"
"chester::carefully";"hugh::carefully"
"john::particular";"john::stable"
"hugh::dull";"hugh::property"
"hugh::dull";"willet::dull"
"hugh::dull";"willet::property"
"hugh::property";"willet::dull"
"hugh::property";"willet::property"
"willet::dull";"willet::property"
"hugh::reckless";"hugh::scornfully"
"john::considered";"john::unpleasant"
"willet::approach";"willet::changeless"
"willet::approach";"willet::dull"
"willet::changeless";"willet::dull"
"edward::certainly";"edward::communicate'"
"edward::gentle";"edward::persuasive"
"chester::frank";"chester::ingenuous"
"chester::frank";"ned::frank"
"chester::frank";"ned::ingenuous"
"chester::ingenuous";"ned::frank"
"chester::ingenuous";"ned::ingenuous"
"ned::frank";"ned::ingenuous"
"mrs_varden::gentleman";"mrs_varden::sparkling"
"chester::affection";"chester::natural"
"chester::affection";"chester::restraint"
"chester::natural";"chester::restraint"
"chester::#-resource";"edward::#-resource"
"chester::proudly";"edward::proudly"
"chester::tender";"edward::tender"
"chester::languid";"chester::warm'"
"emma::justify";"emma::treachery"
"haredale::companion";"haredale::considerable"
"john::authority";"john::dependents"
"john::authority";"john::original"
"john::authority";"willet::authority"
"john::authority";"willet::dependents"
"john::authority";"willet::original"
"john::dependents";"john::original"
"john::dependents";"willet::authority"
"john::dependents";"willet::dependents"
"john::dependents";"willet::original"
"john::original";"willet::authority"
"john::original";"willet::dependents"
"john::original";"willet::original"
"willet::authority";"willet::dependents"
"willet::authority";"willet::original"
"willet::dependents";"willet::original"
"joe_willet::constantly";"john::constantly"
"dolly_varden::perfections";"joe::perfections"
"dolly_varden::perfections";"john::perfections"
"joe::perfections";"john::perfections"
"chester::graceful";"joe::graceful"
"chester::graceful";"john::graceful"
"joe::graceful";"john::graceful"
"joe::gentlemen";"john::gentlemen"
"long_parkes::just";"solomon_daisy::just"
"long_parkes::just";"tom_cobb::just"
"solomon_daisy::just";"tom_cobb::just"
"brayvo::slowly";"john::slowly"
"cobb::poetically";"joe::poetically"
"cobb::peacefully";"cobb::presumption"
"cobb::peacefully";"joe::peacefully"
"cobb::peacefully";"joe::presumption"
"cobb::peacefully";"mr_cobb::peacefully"
"cobb::peacefully";"mr_cobb::presumption"
"cobb::presumption";"joe::peacefully"
"cobb::presumption";"joe::presumption"
"cobb::presumption";"mr_cobb::peacefully"
"cobb::presumption";"mr_cobb::presumption"
"joe::peacefully";"joe::presumption"
"joe::peacefully";"mr_cobb::peacefully"
"joe::peacefully";"mr_cobb::presumption"
"joe::presumption";"mr_cobb::peacefully"
"joe::presumption";"mr_cobb::presumption"
"mr_cobb::peacefully";"mr_cobb::presumption"
"joe::firm";"joe::quickly"
"dolly::affected";"dolly::brisk"
"dolly::affected";"dolly::melancholy"
"dolly::affected";"dolly::vigorously"
"dolly::brisk";"dolly::melancholy"
"dolly::brisk";"dolly::vigorously"
"dolly::melancholy";"dolly::vigorously"
"john::gentleman";"john::instructed"
"john::gentleman";"john::quick"
"john::instructed";"john::quick"
"willet::conventional";"willet::ignorant"
"willet::conventional";"willet::social"
"willet::conventional";"willet::tame"
"willet::conventional";"willet::uninformed"
"willet::ignorant";"willet::social"
"willet::ignorant";"willet::tame"
"willet::ignorant";"willet::uninformed"
"willet::social";"willet::tame"
"willet::social";"willet::uninformed"
"willet::tame";"willet::uninformed"
"miggs::devoutly";"miggs::moral"
"miggs::devoutly";"mrs_varden::devoutly"
"miggs::devoutly";"mrs_varden::moral"
"miggs::moral";"mrs_varden::devoutly"
"miggs::moral";"mrs_varden::moral"
"mrs_varden::devoutly";"mrs_varden::moral"
"varden::business";"varden::gallant"
"varden::business";"varden::gentleman"
"varden::business";"varden::pleasure"
"varden::gallant";"varden::gentleman"
"varden::gallant";"varden::pleasure"
"varden::gentleman";"varden::pleasure"
"joe::gentleman—";"willet::gentleman—"
"dolly::kinds";"dolly::wildly"
"joe::#-reproach";"joe::directly"
"joe::#-reproach";"joseph::#-reproach"
"joe::#-reproach";"joseph::directly"
"joe::#-reproach";"miggs::#-reproach"
"joe::#-reproach";"miggs::directly"
"joe::directly";"joseph::#-reproach"
"joe::directly";"joseph::directly"
"joe::directly";"miggs::#-reproach"
"joe::directly";"miggs::directly"
"joseph::#-reproach";"joseph::directly"
"joseph::#-reproach";"miggs::#-reproach"
"joseph::#-reproach";"miggs::directly"
"joseph::directly";"miggs::#-reproach"
"joseph::directly";"miggs::directly"
"miggs::#-reproach";"miggs::directly"
"tappertit::cautiously";"tappertit::negligently"
"crooked_billet::assured";"crooked_billet::gallant"
"crooked_billet::assured";"joe::assured"
"crooked_billet::assured";"joe::gallant"
"crooked_billet::gallant";"joe::assured"
"crooked_billet::gallant";"joe::gallant"
"joe::assured";"joe::gallant"
"crooked_billet::justice";"crooked_billet::loyal"
"crooked_billet::justice";"crooked_billet::stable"
"crooked_billet::justice";"joe::justice"
"crooked_billet::justice";"joe::loyal"
"crooked_billet::justice";"joe::stable"
"crooked_billet::loyal";"crooked_billet::stable"
"crooked_billet::loyal";"joe::justice"
"crooked_billet::loyal";"joe::loyal"
"crooked_billet::loyal";"joe::stable"
"crooked_billet::stable";"joe::justice"
"crooked_billet::stable";"joe::loyal"
"crooked_billet::stable";"joe::stable"
"joe::justice";"joe::loyal"
"joe::justice";"joe::stable"
"joe::loyal";"joe::stable"
"edward_chester::just";"joe::just"
"edward::reserved";"edward::silent"
"chester::conversation";"chester::sparkling"
"chester::coarse!'";"chester::confidence"
"chester::coarse!'";"edward::coarse!'"
"chester::coarse!'";"edward::confidence"
"chester::coarse!'";"ned::coarse!'"
"chester::coarse!'";"ned::confidence"
"chester::confidence";"edward::coarse!'"
"chester::confidence";"edward::confidence"
"chester::confidence";"ned::coarse!'"
"chester::confidence";"ned::confidence"
"edward::coarse!'";"edward::confidence"
"edward::coarse!'";"ned::coarse!'"
"edward::coarse!'";"ned::confidence"
"edward::confidence";"ned::coarse!'"
"edward::confidence";"ned::confidence"
"ned::coarse!'";"ned::confidence"
"edward::cool";"edward::exactly'"
"edward::cool";"ned::cool"
"edward::cool";"ned::exactly'"
"edward::exactly'";"ned::cool"
"edward::exactly'";"ned::exactly'"
"ned::cool";"ned::exactly'"
"edward::#-reflection";"edward::devoutly"
"edward::knowledge'";"edward::warmly"
"edward::anticipate";"edward::coldly"
"edward::just";"edward::question?—if"
"chester::amiable";"chester::calm"
"chester::amiable";"chester::placid"
"chester::calm";"chester::placid"
"cobb::companions";"phil_parkes::companions"
"parkes::directed";"parkes::tender"
"cobb::conversation";"messrs_parkes::conversation"
"cobb::conversation";"solomon::conversation"
"messrs_parkes::conversation";"solomon::conversation"
"john::contemplation";"parkes::contemplation"
"messrs_parkes::boisterous—a";"messrs_parkes::deep"
"messrs_parkes::boisterous—a";"messrs_parkes::loud"
"messrs_parkes::deep";"messrs_parkes::loud"
"solomon_daisy::certain";"willet::certain"
"solomon_daisy::fearful";"willet::fearful"
"john::directly";"parkes::directly"
"john_willet::submission";"parkes::submission"
"john_willet::submission";"solomon::submission"
"parkes::submission";"solomon::submission"
"parkes::eagerly";"tom_cobb::eagerly"
"parkes::eagerly";"willet::eagerly"
"tom_cobb::eagerly";"willet::eagerly"
"john::heretical";"john::opportune"
"john::heretical";"parkes::heretical"
"john::heretical";"parkes::opportune"
"john::opportune";"parkes::heretical"
"john::opportune";"parkes::opportune"
"parkes::heretical";"parkes::opportune"
"john_willet::quiet";"john_willet::solemnly"
"cobb::nervous";"phil_parkes::nervous"
"cobb::nervous";"solomon_daisy::nervous"
"phil_parkes::nervous";"solomon_daisy::nervous"
"john::confidences";"john::gentleman"
"hugh::quiet";"hugh::rough"
"hugh::steady";"willet::steady"
"john::timidly";"reuben::timidly"
"willet::dull";"willet::just"
"haredale::bold";"john::bold"
"haredale::bold";"willet::bold"
"john::bold";"willet::bold"
"haredale::question";"john::question"
"haredale::question";"willet::question"
"john::question";"willet::question"
"haredale::loud";"haredale::quick"
"haredale::loud";"john::loud"
"haredale::loud";"john::quick"
"haredale::quick";"john::loud"
"haredale::quick";"john::quick"
"john::loud";"john::quick"
"haredale::conversation";"solomon::conversation"
"haredale::conversation";"willet::conversation"
"solomon::conversation";"willet::conversation"
"haredale::foolish";"haredale::superstition"
"haredale::foolish";"solomon::foolish"
"haredale::foolish";"solomon::superstition"
"haredale::foolish";"willet::foolish"
"haredale::foolish";"willet::superstition"
"haredale::superstition";"solomon::foolish"
"haredale::superstition";"solomon::superstition"
"haredale::superstition";"willet::foolish"
"haredale::superstition";"willet::superstition"
"solomon::foolish";"solomon::superstition"
"solomon::foolish";"willet::foolish"
"solomon::foolish";"willet::superstition"
"solomon::superstition";"willet::foolish"
"solomon::superstition";"willet::superstition"
"willet::foolish";"willet::superstition"
"haredale::distracted";"haredale::unconscious"
"haredale::distracted";"john::distracted"
"haredale::distracted";"john::unconscious"
"haredale::unconscious";"john::distracted"
"haredale::unconscious";"john::unconscious"
"john::distracted";"john::unconscious"
"haredale::gentleman's";"hugh::gentleman's"
"haredale::gentleman's";"john::gentleman's"
"hugh::gentleman's";"john::gentleman's"
"haredale::observance";"hugh::observance"
"haredale::observance";"john::observance"
"hugh::observance";"john::observance"
"hugh::just";"john_willet::just"
"hugh::forward";"hugh::instruction"
"hugh::forward";"hugh::roughly"
"hugh::instruction";"hugh::roughly"
"mary::gruffly";"queen_elizabeth::gruffly"
"willet::accommodation";"willet::gentleman"
"gashford::considering";"gashford::gentleman"
"hugh::straight";"john::straight"
"hugh::contented";"john_grueby::contented"
"george::quickly";"george::stables"
"george::quickly";"hugh::quickly"
"george::quickly";"hugh::stables"
"george::stables";"hugh::quickly"
"george::stables";"hugh::stables"
"hugh::quickly";"hugh::stables"
"willet::cheerful";"willet::warming"
"willet::complexion";"willet::straight"
"gashford::meek";"gashford::warmed"
"gashford::unconsciousness";"john_grueby::unconsciousness"
"gashford::warmer";"mary::warmer"
"john_grueby::gloomy";"john_grueby::prophetic"
"john_grueby::gloomy";"john_grueby::unconscious"
"john_grueby::prophetic";"john_grueby::unconscious"
"george::expression";"george::malicious"
"mrs_varden::just";"tappertit::just"
"george::acquiescence";"george::expression"
"gashford::deep";"gashford::sly"
"george::impetuously";"george::silent"
"george::#-frugal";"george::quickly"
"george::earnest";"george::live"
"george::earnest";"john_grueby::earnest"
"george::earnest";"john_grueby::live"
"george::earnest";"john_willet::earnest"
"george::earnest";"john_willet::live"
"george::live";"john_grueby::earnest"
"george::live";"john_grueby::live"
"george::live";"john_willet::earnest"
"george::live";"john_willet::live"
"john_grueby::earnest";"john_grueby::live"
"john_grueby::earnest";"john_willet::earnest"
"john_grueby::earnest";"john_willet::live"
"john_grueby::live";"john_willet::earnest"
"john_grueby::live";"john_willet::live"
"john_willet::earnest";"john_willet::live"
"george_gordon::rigid";"george_gordon::straight"
"george_gordon::rigid";"george_gordon::ungracefully"
"george_gordon::rigid";"willet::rigid"
"george_gordon::rigid";"willet::straight"
"george_gordon::rigid";"willet::ungracefully"
"george_gordon::straight";"george_gordon::ungracefully"
"george_gordon::straight";"willet::rigid"
"george_gordon::straight";"willet::straight"
"george_gordon::straight";"willet::ungracefully"
"george_gordon::ungracefully";"willet::rigid"
"george_gordon::ungracefully";"willet::straight"
"george_gordon::ungracefully";"willet::ungracefully"
"willet::rigid";"willet::straight"
"willet::rigid";"willet::ungracefully"
"willet::straight";"willet::ungracefully"
"hurrah_geordie::earnest";"hurrah_geordie::unconscious"
"gashford::business";"john_grueby::business"
"dennis::earnest";"gashford::earnest"
"dennis::earnest";"george::earnest"
"dennis::earnest";"muster_gashford::earnest"
"gashford::earnest";"george::earnest"
"gashford::earnest";"muster_gashford::earnest"
"george::earnest";"muster_gashford::earnest"
"dennis::earnest";"dennis::slowly"
"gashford::blandest";"john::blandest"
"dennis::#-understand";"hugh::#-understand"
"hugh::blunt";"muster_gashford::blunt"
"dennis::prejudices";"muster_gashford::prejudices"
"dennis::intimate";"muster_gashford::intimate"
"dennis::civilised";"dennis::imagination"
"hugh::#-considered";"hugh::companion"
"hugh::#-considered";"hugh::curious"
"hugh::companion";"hugh::curious"
"mr_tappertit::deep";"mr_tappertit::unobservant"
"hugh::careless";"hugh::thoughtful"
"hugh::firmly";"tappertit::firmly"
"tappertit::condescending";"tappertit::playfulness"
"hugh::conciliatory";"hugh::expressions"
"hugh::thorough";"tappertit::thorough"
"hugh::lived";"tappertit::lived"
"hugh::#-particular";"hugh::acquisition"
"hugh::#-particular";"hugh::proud"
"hugh::#-particular";"tappertit::#-particular"
"hugh::#-particular";"tappertit::acquisition"
"hugh::#-particular";"tappertit::proud"
"hugh::acquisition";"hugh::proud"
"hugh::acquisition";"tappertit::#-particular"
"hugh::acquisition";"tappertit::acquisition"
"hugh::acquisition";"tappertit::proud"
"hugh::proud";"tappertit::#-particular"
"hugh::proud";"tappertit::acquisition"
"hugh::proud";"tappertit::proud"
"tappertit::#-particular";"tappertit::acquisition"
"tappertit::#-particular";"tappertit::proud"
"tappertit::acquisition";"tappertit::proud"
"hugh::definite";"hugh::expressive"
"hugh::definite";"hugh::loudest"
"hugh::definite";"hugh::passive"
"hugh::definite";"hugh::precise"
"hugh::definite";"tappertit::definite"
"hugh::definite";"tappertit::expressive"
"hugh::definite";"tappertit::loudest"
"hugh::definite";"tappertit::passive"
"hugh::definite";"tappertit::precise"
"hugh::expressive";"hugh::loudest"
"hugh::expressive";"hugh::passive"
"hugh::expressive";"hugh::precise"
"hugh::expressive";"tappertit::definite"
"hugh::expressive";"tappertit::expressive"
"hugh::expressive";"tappertit::loudest"
"hugh::expressive";"tappertit::passive"
"hugh::expressive";"tappertit::precise"
"hugh::loudest";"hugh::passive"
"hugh::loudest";"hugh::precise"
"hugh::loudest";"tappertit::definite"
"hugh::loudest";"tappertit::expressive"
"hugh::loudest";"tappertit::loudest"
"hugh::loudest";"tappertit::passive"
"hugh::loudest";"tappertit::precise"
"hugh::passive";"hugh::precise"
"hugh::passive";"tappertit::definite"
"hugh::passive";"tappertit::expressive"
"hugh::passive";"tappertit::loudest"
"hugh::passive";"tappertit::passive"
"hugh::passive";"tappertit::precise"
"hugh::precise";"tappertit::definite"
"hugh::precise";"tappertit::expressive"
"hugh::precise";"tappertit::loudest"
"hugh::precise";"tappertit::passive"
"hugh::precise";"tappertit::precise"
"tappertit::definite";"tappertit::expressive"
"tappertit::definite";"tappertit::loudest"
"tappertit::definite";"tappertit::passive"
"tappertit::definite";"tappertit::precise"
"tappertit::expressive";"tappertit::loudest"
"tappertit::expressive";"tappertit::passive"
"tappertit::expressive";"tappertit::precise"
"tappertit::loudest";"tappertit::passive"
"tappertit::loudest";"tappertit::precise"
"tappertit::passive";"tappertit::precise"
"hugh::business";"hugh::gentleman"
"hugh::business";"tappertit::business"
"hugh::business";"tappertit::gentleman"
"hugh::gentleman";"tappertit::business"
"hugh::gentleman";"tappertit::gentleman"
"tappertit::business";"tappertit::gentleman"
"jack::abruptly";"tappertit::abruptly"
"dennis::companions";"dennis::social"
"dennis::companions";"dennis::warmly"
"dennis::companions";"hugh::companions"
"dennis::companions";"hugh::social"
"dennis::companions";"hugh::warmly"
"dennis::social";"dennis::warmly"
"dennis::social";"hugh::companions"
"dennis::social";"hugh::social"
"dennis::social";"hugh::warmly"
"dennis::warmly";"hugh::companions"
"dennis::warmly";"hugh::social"
"dennis::warmly";"hugh::warmly"
"hugh::companions";"hugh::social"
"hugh::companions";"hugh::warmly"
"hugh::social";"hugh::warmly"
"hugh::pleasant";"john::pleasant"
"gordon::extravagant";"saville::extravagant"
"gabriel::hearty";"toby::hearty"
"varden::blaspheme";"varden::deep"
"dolly::relaxed";"mrs_varden::relaxed"
"dolly::serious";"dolly::tight"
"dolly::serious";"gabriel::serious"
"dolly::serious";"gabriel::tight"
"dolly::tight";"gabriel::serious"
"dolly::tight";"gabriel::tight"
"gabriel::serious";"gabriel::tight"
"dolly_varden::pleasant";"dolly_varden::whimsical"
"dolly::business";"haredale::business"
"dolly::lived";"dolly::opportunity"
"dolly::lived";"george_gordon::lived"
"dolly::lived";"george_gordon::opportunity"
"dolly::opportunity";"george_gordon::lived"
"dolly::opportunity";"george_gordon::opportunity"
"george_gordon::lived";"george_gordon::opportunity"
"george::hardened";"george::sentiment"
"george::hardened";"george::steady"
"george::hardened";"miggs::hardened"
"george::hardened";"miggs::sentiment"
"george::hardened";"miggs::steady"
"george::hardened";"mrs_varden::hardened"
"george::hardened";"mrs_varden::sentiment"
"george::hardened";"mrs_varden::steady"
"george::sentiment";"george::steady"
"george::sentiment";"miggs::hardened"
"george::sentiment";"miggs::sentiment"
"george::sentiment";"miggs::steady"
"george::sentiment";"mrs_varden::hardened"
"george::sentiment";"mrs_varden::sentiment"
"george::sentiment";"mrs_varden::steady"
"george::steady";"miggs::hardened"
"george::steady";"miggs::sentiment"
"george::steady";"miggs::steady"
"george::steady";"mrs_varden::hardened"
"george::steady";"mrs_varden::sentiment"
"george::steady";"mrs_varden::steady"
"miggs::hardened";"miggs::sentiment"
"miggs::hardened";"miggs::steady"
"miggs::hardened";"mrs_varden::hardened"
"miggs::hardened";"mrs_varden::sentiment"
"miggs::hardened";"mrs_varden::steady"
"miggs::sentiment";"miggs::steady"
"miggs::sentiment";"mrs_varden::hardened"
"miggs::sentiment";"mrs_varden::sentiment"
"miggs::sentiment";"mrs_varden::steady"
"miggs::steady";"mrs_varden::hardened"
"miggs::steady";"mrs_varden::sentiment"
"miggs::steady";"mrs_varden::steady"
"mrs_varden::hardened";"mrs_varden::sentiment"
"mrs_varden::hardened";"mrs_varden::steady"
"mrs_varden::sentiment";"mrs_varden::steady"
"mrs_varden::source";"varden::source"
"dolly::bright";"dolly::loving"
"dolly::bright";"miggs::bright"
"dolly::bright";"miggs::loving"
"dolly::loving";"miggs::bright"
"dolly::loving";"miggs::loving"
"miggs::bright";"miggs::loving"
"dolly::forgiving";"dolly::meek"
"dolly::forgiving";"mrs_varden::forgiving"
"dolly::forgiving";"mrs_varden::meek"
"dolly::meek";"mrs_varden::forgiving"
"dolly::meek";"mrs_varden::meek"
"mrs_varden::forgiving";"mrs_varden::meek"
"dolly::bold";"dolly::question)"
"dolly::bold";"miss_miggs::bold"
"dolly::bold";"miss_miggs::question)"
"dolly::question)";"miss_miggs::bold"
"dolly::question)";"miss_miggs::question)"
"miss_miggs::bold";"miss_miggs::question)"
"dolly::morality";"mrs_varden::morality"
"mrs_varden::exhibiting";"mrs_varden::lovingly"
"mrs_varden::exhibiting";"varden::exhibiting"
"mrs_varden::exhibiting";"varden::lovingly"
"mrs_varden::lovingly";"varden::exhibiting"
"mrs_varden::lovingly";"varden::lovingly"
"varden::exhibiting";"varden::lovingly"
"gabriel::honest";"joe_willet::honest"
"dolly::gracious";"gabriel::gracious"
"dolly::straightway";"miggs::straightway"
"haredale::reasonable";"varden::reasonable"
"mr_haredale::deeper";"varden::deeper"
"hugh::carelessly";"hugh::considering"
"hugh::carelessly";"hugh::expressing"
"hugh::carelessly";"hugh::questions"
"hugh::considering";"hugh::expressing"
"hugh::considering";"hugh::questions"
"hugh::expressing";"hugh::questions"
"gabriel::gloomy";"gabriel::narrow"
"haredale::thorough";"varden::thorough"
"gabriel::curiously";"gabriel::expression"
"haredale::rational—so";"haredale::suspicion"
"dolly::distracting";"miggs::distracting"
"dolly::distracting";"mrs_varden::distracting"
"dolly::distracting";"toby::distracting"
"miggs::distracting";"mrs_varden::distracting"
"miggs::distracting";"toby::distracting"
"mrs_varden::distracting";"toby::distracting"
"mr_haredale::consideration";"mr_haredale::superstitious"
"haredale::conciliatory";"haredale::pleasantest"
"gashford::coldly";"haredale::coldly"
"gashford::meekly";"gashford::silent"
"gashford::dull";"gashford::educated"
"gashford::dull";"haredale::dull"
"gashford::dull";"haredale::educated"
"gashford::dull";"john::dull"
"gashford::dull";"john::educated"
"gashford::educated";"haredale::dull"
"gashford::educated";"haredale::educated"
"gashford::educated";"john::dull"
"gashford::educated";"john::educated"
"haredale::dull";"haredale::educated"
"haredale::dull";"john::dull"
"haredale::dull";"john::educated"
"haredale::educated";"john::dull"
"haredale::educated";"john::educated"
"john::dull";"john::educated"
"haredale::humble";"john::humble"
"gashford::restless";"john::restless"
"george_gordon::direction";"haredale::direction"
"haredale::companions";"haredale::natural"
"george::disorderly";"george::forcible"
"george::kind";"george::sentiment"
"george::kind";"george::violent"
"george::kind";"haredale::kind"
"george::kind";"haredale::sentiment"
"george::kind";"haredale::violent"
"george::kind";"john::kind"
"george::kind";"john::sentiment"
"george::kind";"john::violent"
"george::sentiment";"george::violent"
"george::sentiment";"haredale::kind"
"george::sentiment";"haredale::sentiment"
"george::sentiment";"haredale::violent"
"george::sentiment";"john::kind"
"george::sentiment";"john::sentiment"
"george::sentiment";"john::violent"
"george::violent";"haredale::kind"
"george::violent";"haredale::sentiment"
"george::violent";"haredale::violent"
"george::violent";"john::kind"
"george::violent";"john::sentiment"
"george::violent";"john::violent"
"haredale::kind";"haredale::sentiment"
"haredale::kind";"haredale::violent"
"haredale::kind";"john::kind"
"haredale::kind";"john::sentiment"
"haredale::kind";"john::violent"
"haredale::sentiment";"haredale::violent"
"haredale::sentiment";"john::kind"
"haredale::sentiment";"john::sentiment"
"haredale::sentiment";"john::violent"
"haredale::violent";"john::kind"
"haredale::violent";"john::sentiment"
"haredale::violent";"john::violent"
"john::kind";"john::sentiment"
"john::kind";"john::violent"
"john::sentiment";"john::violent"
"george::inquisitive";"haredale::inquisitive"
"george::inquisitive";"john_chester::inquisitive"
"haredale::inquisitive";"john_chester::inquisitive"
"george_gordon::ignorant";"haredale::ignorant"
"george_gordon::gentleman";"george_gordon::ignorant"
"george_gordon::gentleman";"haredale::gentleman"
"george_gordon::gentleman";"haredale::ignorant"
"george_gordon::ignorant";"haredale::gentleman"
"haredale::gentleman";"haredale::ignorant"
"george::loud";"haredale::loud"
"gashford::indifferent";"haredale::indifferent"
"gashford::indifferent";"john::indifferent"
"haredale::indifferent";"john::indifferent"
