"anne_page::stable—generally";"hugh_evans::stable—generally"
"gabriel::honest";"solomon::honest"
"gabriel::kind";"joe::kind"
"gabriel::kind";"mr_varden::kind"
"joe::kind";"mr_varden::kind"
"gabriel_varden::adventure";"gabriel_varden::certain"
"gabriel_varden::adventure";"gabriel_varden::solemn"
"gabriel_varden::adventure";"mrs_varden::adventure"
"gabriel_varden::adventure";"mrs_varden::certain"
"gabriel_varden::adventure";"mrs_varden::solemn"
"gabriel_varden::certain";"gabriel_varden::solemn"
"gabriel_varden::certain";"mrs_varden::adventure"
"gabriel_varden::certain";"mrs_varden::certain"
"gabriel_varden::certain";"mrs_varden::solemn"
"gabriel_varden::solemn";"mrs_varden::adventure"
"gabriel_varden::solemn";"mrs_varden::certain"
"gabriel_varden::solemn";"mrs_varden::solemn"
"mrs_varden::adventure";"mrs_varden::certain"
"mrs_varden::adventure";"mrs_varden::solemn"
"mrs_varden::certain";"mrs_varden::solemn"
"gabriel_varden::consideration";"gabriel_varden::firmly"
"gabriel_varden::consideration";"gabriel_varden::kind"
"gabriel_varden::consideration";"mrs_varden::consideration"
"gabriel_varden::consideration";"mrs_varden::firmly"
"gabriel_varden::consideration";"mrs_varden::kind"
"gabriel_varden::firmly";"gabriel_varden::kind"
"gabriel_varden::firmly";"mrs_varden::consideration"
"gabriel_varden::firmly";"mrs_varden::firmly"
"gabriel_varden::firmly";"mrs_varden::kind"
"gabriel_varden::kind";"mrs_varden::consideration"
"gabriel_varden::kind";"mrs_varden::firmly"
"gabriel_varden::kind";"mrs_varden::kind"
"mrs_varden::consideration";"mrs_varden::firmly"
"mrs_varden::consideration";"mrs_varden::kind"
"mrs_varden::firmly";"mrs_varden::kind"
"gabriel::bold";"gabriel::straight"
"barnaby::exaggeration";"barnaby::inquiring"
"barnaby::exaggeration";"barnaby::sternly"
"barnaby::exaggeration";"varden::exaggeration"
"barnaby::exaggeration";"varden::inquiring"
"barnaby::exaggeration";"varden::sternly"
"barnaby::inquiring";"barnaby::sternly"
"barnaby::inquiring";"varden::exaggeration"
"barnaby::inquiring";"varden::inquiring"
"barnaby::inquiring";"varden::sternly"
"barnaby::sternly";"varden::exaggeration"
"barnaby::sternly";"varden::inquiring"
"barnaby::sternly";"varden::sternly"
"varden::exaggeration";"varden::inquiring"
"varden::exaggeration";"varden::sternly"
"varden::inquiring";"varden::sternly"
"girt::confused";"girt::disorder"
"girt::confused";"girt::eager"
"girt::confused";"girt::wildness"
"girt::disorder";"girt::eager"
"girt::disorder";"girt::wildness"
"girt::eager";"girt::wildness"
"barnaby::careful";"barnaby::hasty"
"gabriel::contemplation";"gabriel::patient"
"garland::politeness";"sim_gabriel::politeness"
"sim::thoroughly";"simon_tappertit::thoroughly"
"sim::enthusiasm";"simon_tappertit::enthusiasm"
"sim::intimate";"simon_tappertit::intimate"
"sim::simple";"simon_tappertit::simple"
"sim_tappertit::adventurous";"sim_tappertit::enterprising"
"sim_tappertit::certain";"sim_tappertit::just"
"emma::distracted'";"mrs_rudge::distracted'"
"joe_willet::wild-goose";"joe::wild-goose"
"joe_willet::wild-goose";"john::wild-goose"
"joe::wild-goose";"john::wild-goose"
"gabriel::pleasure";"gabriel::serious"
