"" "adams::certainely" "adams::perfection" "anthonie::curtizan" "anthonie::question" "bartoll::#-naturall" "bartoll::curtizan" "charles::reasonable" "cicely::complaine" "corinthian::intelligencer" "corinthian::shrewde" "cornelius_agrippa::curtesie" "cornelius_agrippa::destruction" "cornelius_agrippa::eloquently" "cornelius_agrippa::gentleman" "cornelius_agrippa::kinde" "cromwell::wilde" "destinie::certainely" "diamante::deliberating" "diamante::opportunitie" "diomed::intelligencers" "dole::cruell" "duke::bountifully" "emperour::reasonable" "esdras::#-naturall" "esdras::curtizan" "esdras::sensualitie" "esse::#-ostentation" "esse::assured" "esse::ceremonies" "esse::certaintie)" "esse::learned" "esse::thorough" "frego::mildly" "frego::sullenly" "geraldine::curious" "geraldine::wise" "golde::clownish" "golde::dull" "golde::ingenious" "golde::mercifull" "golde::milde" "gulph::direct" "hee::informed" "hee::intelligences" "henrie::gentleman" "henrie::wilde" "hermannus_buschius::naturall" "iuliana::informed" "lorde::lewd" "lucrecia::curtizans" "marques::curtizan" "nominatiuo::intelligence" "peters::solemnitie" "phao::clownish" "phao::dull" "phao::mercifull" "queene::pleasant" "tabitha::roughly" "tully::#-ostentation" "tully::assured" "tully::ceremonies" "tully::certaintie)" "tully::eloquent" "tully::learned" "zacharie::carefully" "zacharie::curtizan" "zacharie::gallant" "zacharie::gracious" "destinie::perfection" "cleopatra::curtizan" "cleopatra::question" "granado::#-naturall" "granado::curtizan" "gedeon::reasonable" "cicely::hereticall" "dionisius::intelligencer" "dionisius::shrewde" "cornelius_agrippa::violent" "thomas_moore::destruction" "lorde::wilde" "diamante::thorough" "nestor::intelligencers" "sucke::cruell" "wittenberg::bountifully" "granado::sensualitie" "tully::thorough" "tabitha::mildly" "tabitha::sullenly" "geraldine::passionate" "katherine_dowager::wise" "lorde::wise" "phao::milde" "phao::ingenious" "gulph::profoundly" "hee::serious" "iohn_russell::gentleman" "tully::naturall" "zachary::informed" "wei::lewd" "tabitha::curtizans" "zadoch::curtizan" "nominatiuo::solemne" "saint::solemnitie" "scoto::pleasant" "tabitha::thorough" "tully::vaine" "zadoch::carefully" "zacharie::thoroughly" "zadoch::gracious"
"adams::certainely" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"adams::perfection" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anthonie::curtizan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anthonie::question" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bartoll::#-naturall" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bartoll::curtizan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"charles::reasonable" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cicely::complaine" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"corinthian::intelligencer" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"corinthian::shrewde" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
