"henry_dashwood::cheerfulness";"henry_dashwood::constant"
"henry_dashwood::gentleman";"henry_dashwood::pleasure"
"henry_dashwood::#-unkind";"henry_dashwood::affection"
"john_dashwood::cold";"john_dashwood::selfish"
"john_dashwood::capable";"john_dashwood::warmed"
"dashwood::coolness";"dashwood::eagerness"
"dashwood::coolness";"dashwood::imprudence"
"dashwood::coolness";"dashwood::understanding"
"dashwood::coolness";"elinor::coolness"
"dashwood::coolness";"elinor::eagerness"
"dashwood::coolness";"elinor::imprudence"
"dashwood::coolness";"elinor::understanding"
"dashwood::eagerness";"dashwood::imprudence"
"dashwood::eagerness";"dashwood::understanding"
"dashwood::eagerness";"elinor::coolness"
"dashwood::eagerness";"elinor::eagerness"
"dashwood::eagerness";"elinor::imprudence"
"dashwood::eagerness";"elinor::understanding"
"dashwood::imprudence";"dashwood::understanding"
"dashwood::imprudence";"elinor::coolness"
"dashwood::imprudence";"elinor::eagerness"
"dashwood::imprudence";"elinor::imprudence"
"dashwood::imprudence";"elinor::understanding"
"dashwood::understanding";"elinor::coolness"
"dashwood::understanding";"elinor::eagerness"
"dashwood::understanding";"elinor::imprudence"
"dashwood::understanding";"elinor::understanding"
"elinor::coolness";"elinor::eagerness"
"elinor::coolness";"elinor::imprudence"
"elinor::coolness";"elinor::understanding"
"elinor::eagerness";"elinor::imprudence"
"elinor::eagerness";"elinor::understanding"
"elinor::imprudence";"elinor::understanding"
"elinor::clever";"elinor::eager"
"elinor::clever";"marianne::clever"
"elinor::clever";"marianne::eager"
"elinor::eager";"marianne::clever"
"elinor::eager";"marianne::eager"
"marianne::clever";"marianne::eager"
"elinor::considered";"margaret::considered"
"elinor::considered";"marianne::considered"
"margaret::considered";"marianne::considered"
"harry::#-affection";"harry::giving"
"dashwood::careless";"edward::careless"
"dashwood::conversation";"edward::conversation"
"edward::spiritless";"edward::tame"
"elinor::natural";"elinor::opportunities"
"elinor::natural";"elinor::pleasure"
"elinor::opportunities";"elinor::pleasure"
"elinor::direct";"elinor::distrusts"
"elinor::kind";"marianne::kind"
"elinor::#-consider";"marianne::#-consider"
"elinor::#-civil";"elinor::cordial"
"elinor::#-civil";"marianne::#-civil"
"elinor::#-civil";"marianne::cordial"
"elinor::cordial";"marianne::#-civil"
"elinor::cordial";"marianne::cordial"
"marianne::#-civil";"marianne::cordial"
"elinor::affectionate";"elinor::principle"
"elinor::assured";"elinor::quiet"
"elinor::affection";"elinor::imprudence"
"elinor::affection";"elinor::suspicion--the"
"elinor::imprudence";"elinor::suspicion--the"
"edward::natural";"edward::opportunity"
"edward::#-consider";"marianne::#-consider"
"edward::indifference";"marianne::indifference"
"edward::strictly";"marianne::strictly"
"elinor::certain";"elinor::considered"
"john_middleton::acceptance";"john_middleton::kindness"
"john::acquiescence";"john::moderate"
"john::acquiescence";"john::simple"
"john::moderate";"john::simple"
"edward::affection";"edward::kind"
"edward::affection";"john_dashwood::affection"
"edward::affection";"john_dashwood::kind"
"edward::kind";"john_dashwood::affection"
"edward::kind";"john_dashwood::kind"
"john_dashwood::affection";"john_dashwood::kind"
"edward::conversation";"john_dashwood::conversation"
"edward::disregarded";"elinor::disregarded"
"edward::disregarded";"john_dashwood::disregarded"
"elinor::disregarded";"john_dashwood::disregarded"
"dashwood::earnest";"dashwood::opportunity"
"dashwood::directly";"john::directly"
"dashwood::directly";"lady_middleton::directly"
"john::directly";"lady_middleton::directly"
"dashwood::cold";"dashwood::eagerness"
"dashwood::cold";"john::cold"
"dashwood::cold";"john::eagerness"
"dashwood::cold";"lady_middleton::cold"
"dashwood::cold";"lady_middleton::eagerness"
"dashwood::eagerness";"john::cold"
"dashwood::eagerness";"john::eagerness"
"dashwood::eagerness";"lady_middleton::cold"
"dashwood::eagerness";"lady_middleton::eagerness"
"john::cold";"john::eagerness"
"john::cold";"lady_middleton::cold"
"john::cold";"lady_middleton::eagerness"
"john::eagerness";"lady_middleton::cold"
"john::eagerness";"lady_middleton::eagerness"
"lady_middleton::cold";"lady_middleton::eagerness"
"dashwood::particular";"john::particular"
"dashwood::particular";"lady_middleton::particular"
"john::particular";"lady_middleton::particular"
"dashwood::accomplishment";"john::accomplishment"
"dashwood::accomplishment";"lady_middleton::accomplishment"
"john::accomplishment";"lady_middleton::accomplishment"
"elinor::properly";"marianne::properly"
"john_middleton::civility";"john_middleton::cordially"
"john_middleton::civility";"john_middleton::earnest"
"john_middleton::civility";"john_middleton::perseverance"
"john_middleton::civility";"john_middleton::sociable"
"john_middleton::cordially";"john_middleton::earnest"
"john_middleton::cordially";"john_middleton::perseverance"
"john_middleton::cordially";"john_middleton::sociable"
"john_middleton::earnest";"john_middleton::perseverance"
"john_middleton::earnest";"john_middleton::sociable"
"john_middleton::perseverance";"john_middleton::sociable"
"dashwood::anxious";"lady_middleton::anxious"
"john_dashwood::opportunity";"john::opportunity"
"john::lived";"lady_middleton::lived"
"john::sportsman";"lady_middleton::sportsman"
"john::resources";"lady_middleton::resources"
"john::independent";"middleton::independent"
"elinor::kindness";"margaret::kindness"
"elinor::kindness";"marianne::kindness"
"margaret::kindness";"marianne::kindness"
"dashwood::smart";"john::smart"
"dashwood::gentleman";"dashwood::particular"
"dashwood::gentleman";"john::gentleman"
"dashwood::gentleman";"john::particular"
"dashwood::particular";"john::gentleman"
"john::gentleman";"john::particular"
"jennings::merry";"lady_middleton::merry"
"jennings::witty";"lady_middleton::witty"
"elinor::earnestness";"jennings::earnestness"
"elinor::earnestness";"marianne::earnestness"
"jennings::earnestness";"marianne::earnestness"
"brandon::silent";"jennings::silent"
"brandon::silent";"john::silent"
"brandon::silent";"lady_middleton::silent"
"jennings::silent";"john::silent"
"jennings::silent";"lady_middleton::silent"
"john::silent";"lady_middleton::silent"
"margaret::gentlemanlike";"margaret::particularly"
"margaret::gentlemanlike";"marianne::gentlemanlike"
"margaret::gentlemanlike";"marianne::particularly"
"margaret::particularly";"marianne::gentlemanlike"
"margaret::particularly";"marianne::particularly"
"marianne::gentlemanlike";"marianne::particularly"
"middleton::kind";"middleton::noisy"
"lady_middleton::giving";"marianne::giving"
"john::conversation";"john::loud"
"brandon::pleasure";"brandon::reasonable"
"brandon::inconsiderable";"jennings::inconsiderable"
"brandon::inconsiderable";"john::inconsiderable"
"jennings::inconsiderable";"john::inconsiderable"
"brandon::complain";"elinor::complain"
"brandon::affection";"marianne::affection"
"edward::affectionate";"elinor::affectionate"
"edward::purposely";"elinor::purposely"
"edward::invariable";"elinor::invariable"
"edward::melancholy?";"elinor::melancholy?"
"dashwood::independence";"john::independence"
"margaret::direct";"marianne::direct"
"margaret::directly";"margaret::just"
"marianne::disregarded";"marianne::imagination"
"marianne::disregarded";"marianne::pleasant"
"marianne::disregarded";"marianne::reflections"
"marianne::imagination";"marianne::pleasant"
"marianne::imagination";"marianne::reflections"
"marianne::pleasant";"marianne::reflections"
"john::eagerly";"john::gentleman"
"john::eagerly";"marianne::eagerly"
"john::eagerly";"marianne::gentleman"
"john::eagerly";"willoughby::eagerly"
"john::eagerly";"willoughby::gentleman"
"john::gentleman";"marianne::eagerly"
"john::gentleman";"marianne::gentleman"
"john::gentleman";"willoughby::eagerly"
"john::gentleman";"willoughby::gentleman"
"marianne::eagerly";"marianne::gentleman"
"marianne::eagerly";"willoughby::eagerly"
"marianne::eagerly";"willoughby::gentleman"
"marianne::gentleman";"willoughby::eagerly"
"marianne::gentleman";"willoughby::gentleman"
"willoughby::eagerly";"willoughby::gentleman"
"john::expression";"john::particularly"
"john::expression";"john::warmly"
"john::expression";"marianne::expression"
"john::expression";"marianne::particularly"
"john::expression";"marianne::warmly"
"john::particularly";"john::warmly"
"john::particularly";"marianne::expression"
"john::particularly";"marianne::particularly"
"john::particularly";"marianne::warmly"
"john::warmly";"marianne::expression"
"john::warmly";"marianne::particularly"
"john::warmly";"marianne::warmly"
"marianne::expression";"marianne::particularly"
"marianne::expression";"marianne::warmly"
"marianne::particularly";"marianne::warmly"
"marianne::complexion";"marianne::eagerness"
"marianne::complexion";"marianne::transparency"
"marianne::eagerness";"marianne::transparency"
"willoughby::#-silent";"willoughby::shyness"
"cowper::certain";"cowper::proper"
"cowper::certain";"pope::certain"
"cowper::certain";"pope::proper"
"cowper::certain";"scott::certain"
"cowper::certain";"scott::proper"
"cowper::proper";"pope::certain"
"cowper::proper";"pope::proper"
"cowper::proper";"scott::certain"
"cowper::proper";"scott::proper"
"pope::certain";"pope::proper"
"pope::certain";"scott::certain"
"pope::certain";"scott::proper"
"pope::proper";"scott::certain"
"pope::proper";"scott::proper"
"scott::certain";"scott::proper"
"marianne::just?";"marianne::sentiments"
"elinor::capable";"elinor::conversation"
"marianne::affection";"marianne::exactly"
"marianne::affection";"marianne::natural"
"marianne::exactly";"marianne::natural"
"brandon::perceptible";"elinor::perceptible"
"brandon::perceptible";"marianne::perceptible"
"elinor::perceptible";"marianne::perceptible"
"brandon::justly";"elinor::justly"
"brandon::justly";"marianne::justly"
"elinor::justly";"marianne::justly"
"brandon::lively";"brandon::silent"
"brandon::lively";"elinor::lively"
"brandon::lively";"elinor::silent"
"brandon::lively";"jennings::lively"
"brandon::lively";"jennings::silent"
"brandon::lively";"willoughby::lively"
"brandon::lively";"willoughby::silent"
"brandon::silent";"elinor::lively"
"brandon::silent";"elinor::silent"
"brandon::silent";"jennings::lively"
"brandon::silent";"willoughby::lively"
"brandon::silent";"willoughby::silent"
"elinor::lively";"elinor::silent"
"elinor::lively";"jennings::lively"
"elinor::lively";"jennings::silent"
"elinor::lively";"willoughby::lively"
"elinor::lively";"willoughby::silent"
"elinor::silent";"jennings::lively"
"elinor::silent";"jennings::silent"
"elinor::silent";"willoughby::lively"
"elinor::silent";"willoughby::silent"
"jennings::lively";"jennings::silent"
"jennings::lively";"willoughby::lively"
"jennings::lively";"willoughby::silent"
"jennings::silent";"willoughby::lively"
"jennings::silent";"willoughby::silent"
"willoughby::lively";"willoughby::silent"
"brandon::indifferent";"elinor::indifferent"
"brandon::indifferent";"jennings::indifferent"
"brandon::indifferent";"willoughby::indifferent"
"elinor::indifferent";"jennings::indifferent"
"elinor::indifferent";"willoughby::indifferent"
"jennings::indifferent";"willoughby::indifferent"
"marianne::lively";"marianne::prejudiced"
"marianne::lively";"willoughby::lively"
"marianne::lively";"willoughby::prejudiced"
"marianne::prejudiced";"willoughby::lively"
"marianne::prejudiced";"willoughby::prejudiced"
"willoughby::lively";"willoughby::prejudiced"
"jennings::indifference";"lady_middleton::indifference"
"jennings::indifference";"marianne::indifference"
"lady_middleton::indifference";"marianne::indifference"
"marianne::capable";"marianne::giving"
"marianne::capable";"marianne::information"
"marianne::giving";"marianne::information"
"willoughby::consider";"willoughby::contrary"
"elinor::cold";"elinor::imagination"
"elinor::amiable";"elinor::gentle"
"elinor::amiable";"elinor::possessing"
"elinor::gentle";"elinor::possessing"
