"thomas_--_thomas_gradgrind::exactly";"thomas_gradgrind::exactly"
"thomas_gradgrind::imaginations";"thomas_gradgrind::tender"
"cecilia::curtsey";"sissy::curtsey"
"bitzer::intensely";"sissy::intensely"
"bitzer::narrow";"bitzer::sunny"
"bitzer::narrow";"sissy::narrow"
"bitzer::narrow";"sissy::sunny"
"bitzer::sunny";"sissy::narrow"
"bitzer::sunny";"sissy::sunny"
"sissy::narrow";"sissy::sunny"
"bitzer::deeper";"sissy::deeper"
"bitzer::cold";"sissy::cold"
"bitzer::natural";"sissy::natural"
"cecilia_jupe::gentleman";"cecilia_jupe::kind'"
"cecilia_jupe::gentleman";"cecilia_jupe::solemnly"
"cecilia_jupe::gentleman";"thomas_gradgrind::gentleman"
"cecilia_jupe::gentleman";"thomas_gradgrind::kind'"
"cecilia_jupe::gentleman";"thomas_gradgrind::solemnly"
"cecilia_jupe::kind'";"cecilia_jupe::solemnly"
"cecilia_jupe::kind'";"thomas_gradgrind::gentleman"
"cecilia_jupe::kind'";"thomas_gradgrind::kind'"
"cecilia_jupe::kind'";"thomas_gradgrind::solemnly"
"cecilia_jupe::solemnly";"thomas_gradgrind::gentleman"
"cecilia_jupe::solemnly";"thomas_gradgrind::kind'"
"cecilia_jupe::solemnly";"thomas_gradgrind::solemnly"
"thomas_gradgrind::gentleman";"thomas_gradgrind::kind'"
"thomas_gradgrind::gentleman";"thomas_gradgrind::solemnly"
"thomas_gradgrind::kind'";"thomas_gradgrind::solemnly"
"gradgrind::gentleman";"mchoakumchild::gentleman"
"gradgrinds::gracious";"gradgrinds::greedy"
"gradgrinds::gracious";"peter_piper::gracious"
"gradgrinds::gracious";"peter_piper::greedy"
"gradgrinds::greedy";"peter_piper::gracious"
"gradgrinds::greedy";"peter_piper::greedy"
"peter_piper::gracious";"peter_piper::greedy"
"sissy_jupe::affectionate";"sissy_jupe::practical'"
"louisa::graceful";"thomas::graceful"
"louisa::boldness";"thomas::boldness"
"gradgrind::exactness";"thomas::exactness"
"bounderby::approach";"bounderby::spiritual"
"bounderby::approach";"gradgrind::approach"
"bounderby::approach";"gradgrind::spiritual"
"bounderby::spiritual";"gradgrind::approach"
"bounderby::spiritual";"gradgrind::spiritual"
"gradgrind::approach";"gradgrind::spiritual"
"bounderby::formal";"bounderby::warming"
"bounderby::formal";"gradgrind::formal"
"bounderby::formal";"gradgrind::warming"
"bounderby::warming";"gradgrind::formal"
"bounderby::warming";"gradgrind::warming"
"gradgrind::formal";"gradgrind::warming"
"gradgrind::direction";"josiah_bounderby::direction"
"bounderby::practical";"bounderby::reproachful"
"bounderby::practical";"louisa::practical"
"bounderby::practical";"louisa::reproachful"
"bounderby::reproachful";"louisa::practical"
"bounderby::reproachful";"louisa::reproachful"
"louisa::practical";"louisa::reproachful"
"bounderby::imagination";"bounderby::practical"
"bounderby::imagination";"gradgrind::imagination"
"bounderby::imagination";"gradgrind::practical"
"bounderby::practical";"gradgrind::imagination"
"bounderby::practical";"gradgrind::practical"
"gradgrind::imagination";"gradgrind::practical"
"gradgrind::expressions";"gradgrind::refined"
"louisa::languidly";"louisa::revengefully"
"louisa::languidly";"thomas::languidly"
"louisa::languidly";"thomas::revengefully"
"louisa::revengefully";"thomas::languidly"
"louisa::revengefully";"thomas::revengefully"
"thomas::languidly";"thomas::revengefully"
"gradgrind::frightened";"gradgrind::quick"
"bitzer::anticipating";"bitzer::question"
"bitzer::anticipating";"gradgrind::anticipating"
"bitzer::anticipating";"gradgrind::question"
"bitzer::question";"gradgrind::anticipating"
"bitzer::question";"gradgrind::question"
"gradgrind::anticipating";"gradgrind::question"
"bounderby::rough";"gradgrind::rough"
"bounderby::stable";"bounderby::tight-fitting"
"bounderby::kind";"childers::kind"
"gradgrind::unmannerly";"tight-jeff::unmannerly"
"bounderby::unconsciousness";"childers::unconsciousness"
"childers::contrary'";"gradgrind::contrary'"
"bounderby::politely";"childers::politely"
"josephine::expressive";"sissy_jupe::expressive"
"josephine::accomplished";"josephine::tight-rope"
"josephine::accomplished";"sissy_jupe::accomplished"
"josephine::accomplished";"sissy_jupe::tight-rope"
"josephine::tight-rope";"sissy_jupe::accomplished"
"josephine::tight-rope";"sissy_jupe::tight-rope"
"sissy_jupe::accomplished";"sissy_jupe::tight-rope"
"bounderby::impatient)";"bounderby::kind"
"bounderby::communicated";"sleary::communicated"
"bounderby::contrary";"gradgrind::contrary"
"gradgrind::practical";"gradgrind::understand)"
"gradgrind::practical";"jupe::practical"
"gradgrind::practical";"jupe::understand)"
"gradgrind::understand)";"jupe::practical"
"gradgrind::understand)";"jupe::understand)"
"jupe::practical";"jupe::understand)"
"emma_gordon::detached";"emma_gordon::wild"
"gradgrind::calmly";"jupe::calmly"
"josephine::exactly";"sleary::exactly"
"josephine::disordered";"sleary::disordered"
"sparsit::brightened";"sparsit::juvenile"
"sparsit::certain";"sparsit::kind"
"bounderby::slow";"sparsit::slow"
"bounderby::independent";"bounderby::straight"
"bounderby::independent";"sparsit::independent"
"bounderby::independent";"sparsit::straight"
"bounderby::independent";"thomas::independent"
"bounderby::independent";"thomas::straight"
"bounderby::independent";"tom_gradgrind::independent"
"bounderby::independent";"tom_gradgrind::straight"
"bounderby::straight";"sparsit::independent"
"bounderby::straight";"sparsit::straight"
"bounderby::straight";"thomas::independent"
"bounderby::straight";"thomas::straight"
"bounderby::straight";"tom_gradgrind::independent"
"bounderby::straight";"tom_gradgrind::straight"
"sparsit::independent";"sparsit::straight"
"sparsit::independent";"thomas::independent"
"sparsit::independent";"thomas::straight"
"sparsit::independent";"tom_gradgrind::independent"
"sparsit::independent";"tom_gradgrind::straight"
"sparsit::straight";"thomas::independent"
"sparsit::straight";"thomas::straight"
"sparsit::straight";"tom_gradgrind::independent"
"sparsit::straight";"tom_gradgrind::straight"
"thomas::independent";"thomas::straight"
"thomas::independent";"tom_gradgrind::independent"
"thomas::independent";"tom_gradgrind::straight"
"thomas::straight";"tom_gradgrind::independent"
"thomas::straight";"tom_gradgrind::straight"
"tom_gradgrind::independent";"tom_gradgrind::straight"
"bounderby::certainly";"bounderby::serenely"
"bounderby::certainly";"sparsit::certainly"
"bounderby::certainly";"sparsit::serenely"
"bounderby::serenely";"sparsit::certainly"
"bounderby::serenely";"sparsit::serenely"
"sparsit::certainly";"sparsit::serenely"
"bounderby::curtseyed";"louisa::curtseyed"
"bounderby::curtseyed";"sparsit::curtseyed"
"bounderby::curtseyed";"tom_gradgrind::curtseyed"
"louisa::curtseyed";"sparsit::curtseyed"
"louisa::curtseyed";"tom_gradgrind::curtseyed"
"sparsit::curtseyed";"tom_gradgrind::curtseyed"
"bounderby::conciliatory";"gradgrind::conciliatory"
"gradgrind::coldly";"louisa::coldly"
"tom::complimentary";"tom::expressive"
"louisa::thoughtfully";"tom::thoughtfully"
"tom::brighten";"tom::pleasure"
"bounderby::live";"tom::live"
"tom::#-indecision";"tom::contemplate"
"gradgrind::inconsiderate";"louisa::inconsiderate"
"gradgrind::inconsiderate";"tom::inconsiderate"
"louisa::inconsiderate";"tom::inconsiderate"
"louisa::morally";"louisa::participation"
"louisa::morally";"tom::morally"
"louisa::morally";"tom::participation"
"louisa::participation";"tom::morally"
"louisa::participation";"tom::participation"
"tom::morally";"tom::participation"
"gradgrind::consolation";"jupe::consolation"
"gradgrind::knowledge";"jupe::knowledge"
"sissy::communication";"sissy::discouraged"
"louisa::directed";"louisa::silent"
"louisa::directed";"sissy::directed"
"louisa::directed";"sissy::silent"
"louisa::silent";"sissy::directed"
"louisa::silent";"sissy::silent"
"sissy::directed";"sissy::silent"
"louisa::brighter";"louisa::wiser"
"louisa::brighter";"miss_louisa::brighter"
"louisa::brighter";"miss_louisa::wiser"
"louisa::brighter";"sissy::brighter"
"louisa::brighter";"sissy::wiser"
"louisa::wiser";"miss_louisa::brighter"
"louisa::wiser";"miss_louisa::wiser"
"louisa::wiser";"sissy::brighter"
"louisa::wiser";"sissy::wiser"
"miss_louisa::brighter";"miss_louisa::wiser"
"miss_louisa::brighter";"sissy::brighter"
"miss_louisa::brighter";"sissy::wiser"
"miss_louisa::wiser";"sissy::brighter"
"miss_louisa::wiser";"sissy::wiser"
"sissy::brighter";"sissy::wiser"
"mchoakumchild::eagerly";"sissy::eagerly"
"louisa::question'";"sissy::question'"
"louisa::intelligence";"sissy::intelligence"
"louisa::just";"sissy::just"
