"sallee::business";"sallee::proper"
"maresco::constantly";"maresco::merry"
"mahomet::faithful";"xury::faithful"
"xury::cooling";"xury::pleasure"
"xury::foolish";"xury::pensive"
"david::kind";"jesus::kind"
"christ::earnest";"christ::question"
"jesus_christ::instructors";"jesus_christ::reasonable"
"jesus_christ::instructors";"saviour_jesus_christ::instructors"
"jesus_christ::instructors";"saviour_jesus_christ::reasonable"
"jesus_christ::reasonable";"saviour_jesus_christ::instructors"
"jesus_christ::reasonable";"saviour_jesus_christ::reasonable"
"saviour_jesus_christ::instructors";"saviour_jesus_christ::reasonable"
"christ::ignorant";"christ::instruct"
"christ::ignorant";"christ::knowledge"
"christ::ignorant";"christ::seriously"
"christ::instruct";"christ::knowledge"
"christ::instruct";"christ::seriously"
"christ::knowledge";"christ::seriously"
"christ_jesus::#-considered";"christ_jesus::affection"
"christ_jesus::#-considered";"christ_jesus::information"
"christ_jesus::#-considered";"christ_jesus::informed"
"christ_jesus::#-considered";"christ_jesus::naturally"
"christ_jesus::#-considered";"christ_jesus::principle"
"christ_jesus::#-considered";"christ_jesus::wild"
"christ_jesus::affection";"christ_jesus::information"
"christ_jesus::affection";"christ_jesus::informed"
"christ_jesus::affection";"christ_jesus::naturally"
"christ_jesus::affection";"christ_jesus::principle"
"christ_jesus::affection";"christ_jesus::wild"
"christ_jesus::information";"christ_jesus::informed"
"christ_jesus::information";"christ_jesus::naturally"
"christ_jesus::information";"christ_jesus::principle"
"christ_jesus::information";"christ_jesus::wild"
"christ_jesus::informed";"christ_jesus::naturally"
"christ_jesus::informed";"christ_jesus::principle"
"christ_jesus::informed";"christ_jesus::wild"
"christ_jesus::naturally";"christ_jesus::principle"
"christ_jesus::naturally";"christ_jesus::wild"
"christ_jesus::principle";"christ_jesus::wild"
"robinson::lives";"smith::lives"
"robinson::lives";"will_atkins::lives"
"smith::lives";"will_atkins::lives"
