"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-satisfied";0;0;2;4069;0;"#-satisfied";0,0616772608889402;"#-satisfied";0,757528012736257;"#-satisfied";303,333333333333;"#-satisfied";2,53239471481146e-05;"#-satisfied";0,790888170401255
"#-serious";0;0;1;147;0;"#-serious";0,00654193925988977;"#-serious";0,753703733362496;"#-serious";308;"#-serious";2,31250580429229e-05;"#-serious";0,77851665019989
"#-strange";0;0;0;0;0;"#-strange";0;"#-strange";0,756098559345881;"#-strange";319;"#-strange";2,03139725742201e-05;"#-strange";0,785889267921448
"#-strong";2;2;1;1137;1;"#-strong";0,0125450918721102;"#-strong";0,754513614705132;"#-strong";318,5;"#-strong";2,02505580566418e-05;"#-strong";0,780358880758286
"#-successful";0;0;1;2889;0;"#-successful";0,1022950558715;"#-successful";0,830573787036178;"#-successful";151;"#-successful";0,000131721915093695;"#-successful";0,860249638557434
"#-surprised";1;1;3;2493;1;"#-surprised";0,0311011248010965;"#-surprised";0,757444966862359;"#-surprised";296,5;"#-surprised";2,67184705234075e-05;"#-surprised";0,791342720389366
"#-tired";0;0;0;0;0;"#-tired";0;"#-tired";0,779000344805707;"#-tired";209;"#-tired";6,22022457396049e-05;"#-tired";0,816506385803223
"#-understanding";0;0;0;0;0;"#-understanding";0;"#-understanding";0,831473477519879;"#-understanding";137;"#-understanding";0,000107122994183578;"#-understanding";0,869470477104187
"#-unreasonable";0;0;0;0;0;"#-unreasonable";0;"#-unreasonable";0,880508238274442;"#-unreasonable";93;"#-unreasonable";0,000225974772998069;"#-unreasonable";0,881689667701721
"#-well";1;1;2;6245,5;1;"#-well";0,12627670193453;"#-well";0,810132618507011;"#-well";200,333333333333;"#-well";9,85898152577177e-05;"#-well";0,83926655848821
"#-worthy";0;0;0;0;0;"#-worthy";0;"#-worthy";0,755025760875354;"#-worthy";321;"#-worthy";2,0278833263687e-05;"#-worthy";0,787591576576233
"accomplished";0;0;3;4492,66666666667;0;"accomplished";0,0747026817517365;"accomplished";0,787945162386083;"accomplished";244,25;"accomplished";5,98685384726021e-05;"accomplished";0,814250111579895
"active";2;2;2;2500,5;1;"active";0,0386366221780303;"active";0,755636261069873;"active";303,333333333333;"active";2,42789957582092e-05;"active";0,789291719595591
"admirable";0;0;2;3869;0;"admirable";0,0570209185858452;"admirable";0,756898227014412;"admirable";300,666666666667;"admirable";2,58258307004821e-05;"admirable";0,791369954744975
"adventurous";0;0;1;9959;0;"adventurous";0,56425952643276;"adventurous";0,832512026988393;"adventurous";180;"adventurous";0,000178826606329553;"adventurous";0,798173755407333
"affectionate";8;7;8;1801;0,875;"affectionate";0,0451442896432938;"affectionate";0,792477026421816;"affectionate";229,888888888889;"affectionate";7,91738448342696e-05;"affectionate";0,818872974978553
"afraid";10;10;29;529,827586206897;1;"afraid";0,0650072024161828;"afraid";0,778286297739621;"afraid";254,166666666667;"afraid";6,41056114509465e-05;"afraid";0,774953589836756
"aggravating";0;0;1;3483;0;"aggravating";0,0518551904607998;"aggravating";0,756359632782801;"aggravating";298,5;"aggravating";2,51940813135247e-05;"aggravating";0,790169388055802
"agreeable";3;3;23;654,652173913043;1;"agreeable";0,0343429266794709;"agreeable";0,798845600921154;"agreeable";222,166666666667;"agreeable";0,000104732184932665;"agreeable";0,808546163141727
"alone";9;6;41;372,756097560976;0,666666666666667;"alone";0,0237877068737154;"alone";0,780593755134931;"alone";252,02380952381;"alone";6,21869783632432e-05;"alone";0,806512387025924
"amazing";0;0;3;3854,33333333333;0;"amazing";0,0757496825505033;"amazing";0,794145765483699;"amazing";227,5;"amazing";6,94965322891029e-05;"amazing";0,821954667568207
"ambitious";0;0;0;0;0;"ambitious";0;"ambitious";0,754859778555932;"ambitious";298;"ambitious";2,59800967348137e-05;"ambitious";0,786055088043213
"angry";3;3;7;1977,71428571429;1;"angry";0,0912401314209628;"angry";0,796888067342335;"angry";231,375;"angry";9,02241839139166e-05;"angry";0,812626048922539
"anxious";7;7;13;1110,76923076923;1;"anxious";0,0235079677962385;"anxious";0,785372383495079;"anxious";226,714285714286;"anxious";6,58890770589612e-05;"anxious";0,818998766796929
"appealing";0;0;3;2919;0;"appealing";0,0441968427769999;"appealing";0,757459491611285;"appealing";297,75;"appealing";2,65275215501409e-05;"appealing";0,792805969715118
"appreciated";0;0;0;0;0;"appreciated";0;"appreciated";0,754846235845224;"appreciated";326;"appreciated";1,8237336081092e-05;"appreciated";0,778845310211182
"argumentative";0;0;0;0;0;"argumentative";0;"argumentative";0,754622780148382;"argumentative";327;"argumentative";1,82267419942952e-05;"argumentative";0,779954016208649
"artificial";1;1;0;0;1;"artificial";0;"artificial";0,778680745048859;"artificial";211;"artificial";6,18043357758812e-05;"artificial";0,808457136154175
"ashamed";4;4;6;2159,66666666667;1;"ashamed";0,0386034762765384;"ashamed";0,768698924156532;"ashamed";272,428571428571;"ashamed";3,81243873620701e-05;"ashamed";0,805184943335397
"attentive";5;5;2;3505,5;1;"attentive";0,0635353662729599;"attentive";0,766765572438576;"attentive";255,333333333333;"attentive";4,30293876640611e-05;"attentive";0,802309393882752
"average";0;0;0;0;0;"average";0;"average";0,753072849406429;"average";308;"average";2,3117803818195e-05;"average";0,780444443225861
"awake";1;1;5;2460;1;"awake";0,054639732795674;"awake";0,771063951019389;"awake";263;"awake";4,23231894376291e-05;"awake";0,801839003960292
"awful";3;2;12;1141,08333333333;0,666666666666667;"awful";0,0218113574891117;"awful";0,786527207702146;"awful";240,769230769231;"awful";6,18254494232159e-05;"awful";0,817923536667457
"awkward";0;0;3;1372,33333333333;0;"awkward";0,0315837655341401;"awkward";0,782822815818959;"awkward";209,75;"awkward";6,38143931623708e-05;"awkward";0,820741519331932
"bad";5;5;36;418,777777777778;1;"bad";0,0113937444227233;"bad";0,775270826259825;"bad";261,27027027027;"bad";5,0445533010957e-05;"bad";0,805839686780363
"bashful";2;2;3;780,333333333333;1;"bashful";0,0178782562344798;"bashful";0,770817960153681;"bashful";242;"bashful";4,70679390886927e-05;"bashful";0,807575181126595
"beautiful";9;8;34;458;0,888888888888889;"beautiful";0,0270752933781853;"beautiful";0,776502923716674;"beautiful";260,285714285714;"beautiful";6,01894339990671e-05;"beautiful";0,798015667710985
"big";3;2;3;3639;0,666666666666667;"big";0,114413013003867;"big";0,825211207821391;"big";184,25;"big";0,00012916025581208;"big";0,836123481392861
"bitter";0;0;6;1972;0;"bitter";0,0395469013076467;"bitter";0,761804070344051;"bitter";288,857142857143;"bitter";3,20546559516168e-05;"bitter";0,792734725134713
"blind";3;3;6;1871,66666666667;1;"blind";0,035197508907095;"blind";0,758959379194418;"blind";298,571428571429;"blind";2,76756072462422e-05;"blind";0,788929087775094
"bold";3;3;5;1544,2;1;"bold";0,030125966417212;"bold";0,761952582920198;"bold";269,833333333333;"bold";3,59297184299583e-05;"bold";0,794337590535482
"brave";0;0;1;14731;0;"brave";0,83420558167734;"brave";0,842765789133117;"brave";186,5;"brave";0,000206279366229553;"brave";0,783841580152512
"bright";24;18;31;453,903225806452;0,75;"bright";0,00836937626317163;"bright";0,775749310533355;"bright";252,4375;"bright";4,98086953150479e-05;"bright";0,809861499816179
"brilliant";0;0;0;0;0;"brilliant";0;"brilliant";0,774471886637493;"brilliant";230;"brilliant";5,19570586893773e-05;"brilliant";0,812963247299194
"busy";5;5;8;1749,625;1;"busy";0,0896638998066863;"busy";0,787793450600981;"busy";234,666666666667;"busy";8,03146244306701e-05;"busy";0,812362922562493
"calm";7;7;12;1072,91666666667;1;"calm";0,0192361381269675;"calm";0,763765765929339;"calm";284;"calm";3,33727797959294e-05;"calm";0,795364563281719
"capable";2;2;7;1604,85714285714;1;"capable";0,0296769538048399;"capable";0,764885513420455;"capable";279,625;"capable";3,48138757644453e-05;"capable";0,800214506685734
"careful";0;0;4;3401,5;0;"careful";0,0714624552803975;"careful";0,781342506509086;"careful";262,8;"careful";5,77180419058615e-05;"careful";0,806832540035248
"careless";0;0;0;0;0;"careless";0;"careless";0,763395112946566;"careless";271;"careless";3,48506226626981e-05;"careless";0,815909147262573
"casual";0;0;1;11951;0;"casual";1,55525403555309;"casual";0,857381313462801;"casual";163,5;"casual";0,000416858948861553;"casual";0,669776976108551
"certain";15;14;34;459,676470588235;0,933333333333333;"certain";0,0323455446244588;"certain";0,785580714485328;"certain";231,542857142857;"certain";6,83969356329745e-05;"certain";0,814729544094631
"charming";1;1;4;2389,25;1;"charming";0,0384313584216927;"charming";0,759793723996527;"charming";297,4;"charming";2,77457317988908e-05;"charming";0,788863265514374
