"accustomed" "afraid" "beautiful" "best" "brave" "calm" "capable" "cheerful" "compassionate" "cruel" "curious" "dangerous" "delicate" "determined" "different" "extraordinary" "fair" "faithful" "familiar" "free" "friendly" "gentle" "greatest" "happy" "honest" "loose" "moral" "mysterious" "natural" "neat" "original" "peaceful" "pleasant" "polite" "popular" "powerful" "quiet" "rich" "sacred" "safe" "special" "strong" "uncertain" "weak" "worth"
"accustomed" 0 1 0 2 1 0 1 1 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 2 0 0 1 0 3 1 0 0
"afraid" 1 0 2 6 2 0 0 0 0 1 1 1 3 0 0 1 1 0 1 1 0 0 0 1 2 0 0 0 1 1 0 0 1 0 1 1 2 1 0 1 3 7 0 3 0
"beautiful" 0 2 0 6 1 0 1 1 2 0 2 1 0 0 0 1 3 2 1 3 0 3 1 4 0 3 0 0 2 0 1 1 2 1 1 1 3 1 1 2 1 7 0 4 0
"best" 2 6 6 0 0 1 1 2 2 2 5 2 2 0 0 2 5 0 3 5 0 1 2 3 2 2 0 2 6 2 1 0 6 0 3 1 8 1 0 4 3 8 0 1 2
"brave" 1 2 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 2 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 4 0 1 1
"calm" 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 0 3 1 0 2 0 3 0 0 1
"capable" 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 2 1 1 1 0 3 1 1 1
"cheerful" 1 0 1 2 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 2 2 0 0 0 4 0 0 1 0 1 1 0 1
"compassionate" 0 0 2 2 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 2 0 1 0
"cruel" 0 1 0 2 1 0 0 0 1 0 1 1 2 0 0 1 0 1 0 3 2 1 3 2 1 0 0 0 0 0 0 1 0 2 2 0 4 2 2 1 0 3 0 1 1
"curious" 2 1 2 5 1 0 1 0 0 1 0 1 1 0 1 0 3 0 2 1 1 1 0 0 0 0 0 1 2 2 0 0 3 1 1 2 2 1 0 1 1 6 1 1 1
"dangerous" 0 1 1 2 1 0 0 0 1 1 1 0 0 2 0 2 2 1 0 3 1 1 1 4 1 1 2 1 2 0 1 0 0 0 0 1 4 0 0 5 1 4 0 0 0
"delicate" 2 3 0 2 0 1 1 1 0 2 1 0 0 0 0 1 1 0 1 0 0 0 0 2 0 1 1 1 3 1 0 0 2 1 1 0 1 0 0 3 1 3 1 1 2
"determined" 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 2 0 2 1 0 1
"different" 0 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 3 0 1 1 0 1 1 1 0 0 0 0 1 1 0 0 1 2 0 0 0 0 4 1 0 1
"extraordinary" 0 1 1 2 1 0 0 0 1 1 0 2 1 0 0 0 2 1 0 2 0 0 2 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0
"fair" 0 1 3 5 0 1 0 0 1 0 3 2 1 1 0 2 0 1 1 2 0 1 2 2 0 1 0 1 4 1 1 0 2 0 1 1 1 1 2 4 0 3 0 2 2
"faithful" 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 4 1 2 1 4 0 0 0 0 1 0 1 1 0 0 0 0 0 0 3 1 0 2 0 1 0
"familiar" 0 1 1 3 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 2 1 0 0 1 0 0 0 1 2 0 0 0 1 0 1 1 0 0 0 1 2 2 1 2 1
"free" 1 1 3 5 2 1 0 0 1 3 1 3 0 0 3 2 2 4 2 0 1 3 2 5 1 2 2 0 2 0 1 1 1 0 0 0 4 1 1 3 0 7 1 0 3
"friendly" 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 1 1 1 0 0 1 2 0 0 0 0 1 0 1 1 0 1 0 0 2 1 1 1 0 4 0 1 1
"gentle" 0 0 3 1 1 0 1 0 0 1 1 1 0 0 1 0 1 2 0 3 0 0 0 2 1 0 0 0 1 1 0 1 1 0 0 0 1 0 1 0 0 3 0 1 0
"greatest" 0 0 1 2 0 0 0 0 2 3 0 1 0 0 1 2 2 1 0 2 1 0 0 3 0 1 0 1 1 1 1 0 0 2 2 0 0 1 1 3 0 6 0 1 2
"happy" 0 1 4 3 1 0 1 1 1 2 0 4 2 0 0 3 2 4 1 5 2 2 3 0 0 2 1 0 3 1 2 1 1 3 0 1 6 2 4 2 0 7 0 1 2
"honest" 0 2 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 3 0 1 0 0 0 2 1 3 0 1 2 1 3 0 0 1
"loose" 0 0 3 2 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 2 0 0 1 2 0 0 0 0 1 0 2 0 0 1 0 1 1 1 1 1 0 3 0 1 1
"moral" 0 0 0 0 0 0 1 0 0 0 0 2 1 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 3 0 1 2
"mysterious" 1 0 0 2 0 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 2 0 1 0 2 0 1 0 1 0 0 1 1 3 0 0 0
"natural" 0 1 2 6 1 2 1 2 0 0 2 2 3 1 0 1 4 1 2 2 1 1 1 3 3 1 1 2 0 1 0 2 2 1 3 1 1 1 1 5 3 7 1 1 2
"neat" 1 1 0 2 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2 0 1 1 0 0
"original" 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 0 1 2 1 2 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 3 0 1 0
"peaceful" 0 0 1 0 1 1 0 2 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 2 1 0 1
"pleasant" 1 1 2 6 0 0 0 2 1 0 3 0 2 0 1 0 2 0 1 1 0 1 0 1 0 0 1 2 2 1 0 0 0 0 0 0 3 1 0 0 1 3 0 0 1
"polite" 1 0 1 0 1 0 0 0 1 2 1 0 1 0 0 0 0 0 0 0 1 0 2 3 0 1 0 0 1 0 1 0 0 0 0 0 1 2 2 0 0 3 0 0 0
"popular" 0 1 1 3 0 1 0 0 0 2 1 0 1 0 0 0 1 0 1 0 0 0 2 0 2 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 1
"powerful" 0 1 1 1 0 0 0 0 0 0 2 1 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 2 1 0 0 0 1 0 1 0
"quiet" 2 2 3 8 1 3 2 4 1 4 2 4 1 2 2 0 1 0 0 4 2 1 0 6 3 1 1 1 1 0 1 1 3 1 0 2 0 3 3 1 0 9 0 0 1
"rich" 0 1 1 1 0 1 1 0 1 2 1 0 0 0 0 0 1 0 0 1 1 0 1 2 0 1 1 0 1 1 1 0 1 2 0 1 3 0 3 1 0 4 0 0 0
"sacred" 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 2 3 0 1 1 1 1 4 1 1 0 0 1 0 1 0 0 2 0 0 3 3 0 0 1 2 0 0 1
"safe" 1 1 2 4 0 2 1 1 1 1 1 5 3 2 0 2 4 1 1 3 1 0 3 2 2 1 0 1 5 2 0 1 0 0 0 0 1 1 0 0 1 5 2 2 4
"special" 0 3 1 3 0 0 0 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 3 0 0 0 1 0 0 0 0 0 1 1 0 2 0 1 0
"strong" 3 7 7 8 4 3 3 1 2 3 6 4 3 2 4 2 3 2 2 7 4 3 6 7 3 3 3 3 7 1 3 2 3 3 2 1 9 4 2 5 2 0 2 5 4
"uncertain" 1 0 0 0 0 0 1 1 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 2 0 2 0 0 2
"weak" 0 3 4 1 1 0 1 0 1 1 1 0 1 0 0 0 2 1 2 0 1 1 1 1 0 1 1 0 1 0 1 0 0 0 1 1 0 0 0 2 1 5 0 0 2
"worth" 0 0 0 2 1 1 1 1 0 1 1 0 2 1 1 0 2 0 1 3 1 0 2 2 1 1 2 0 2 0 0 1 1 0 1 0 1 0 1 4 0 4 2 2 0
