"MR1";"MR2"
"accustomed";0.520235256927811;0.0558590140317535
"afraid";0.587947244757134;0.47409396101317
"appropriate";0.451455803473833;0.299441498445838
"beautiful";0.579541714884966;0.601724707112747
"best";0.331121099939711;0.528780065525434
"capable";0.738772520615248;0.164688312105349
"careful";0.0330805739744642;0.687387156044072
"cheerful";0.602078169435341;0.313979115963394
"clean";0.293503000993143;0.613744898323761
"comfortable";0.532043314210492;0.540844357457326
"cruel";0.363742577068891;0.694835988990921
"curious";0.106636571545836;0.781135967680153
"delicate";0.664552060644756;0.220894907207993
"delighted";0.570173573110487;0.0455497800293499
"delightful";0.607529919900968;0.216024057151322
"determined";0.0727300190660585;0.399641043053674
"different";0.415134406038432;0.671741880484851
"extraordinary";0.550229254746092;0.39140013256986
"fair";0.458202946010775;0.504942753398184
"faithful";0.248235506473484;0.555343521576703
"familiar";0.466242351268076;0.317435832279147
"free";0.54388275082597;0.464226451046887
"friendly";0.279495556070559;0.440833430802427
"generous";0.488939769915846;0.497489932371849
"gentle";0.57338257497638;0.117386787595838
"greatest";0.0582915696140339;0.674670182513567
"happy";0.529324855388048;0.559320610832963
"harmless";0.416510647701679;0.0578173415963209
"honest";0.414650116972657;0.572094501950149
"humble";0.433385300894842;0.385875323770972
"independent";0.331796024389735;0.443601964797286
"interesting";0.545504636469008;0.294679068284674
"legal";-0.0767049679919816;0.268675706699646
"loose";0.459914030057401;0.55509446051387
"married";0.764492332608856;0.309003155454636
"modest";0.30027663212776;0.487963758726335
"moral";0.377233574117845;0.385163527817455
"mysterious";0.615570214394333;0.263682305247526
"natural";0.533473749907357;0.434592214997716
"neat";0.157644776104633;0.262156707120358
"official";0.257450844766036;0.510175932025625
"original";0.488416375008468;0.563615338155127
"playful";0.570124730427919;0.346276213640475
"pleasant";0.526979439270234;0.551658406331815
"polite";0.45647175782139;-0.0780066094278032
"powerful";0.288663303526193;0.468200252172
"professional";0.4496668020349;0.303128352601042
"proud";0.475911629771173;0.553670053106659
"quiet";0.522455196650961;0.529301189829824
"respected";0.0267135894424953;0.330562165235116
"rich";0.54317576678897;0.521756999097744
"safe";0.564313183335899;0.481124373662431
"selfish";0.278996641570768;0.372176896684207
"social";0.445865275560284;0.124048924632053
"special";0.485588824869069;0.528353756208726
"strong";0.528800100758691;0.50724342498582
"superior";0.087014179526419;0.244566107127354
"sympathetic";0.437468841201646;0.560374114985388
"thoughtful";0.362004665514436;0.275575725016846
"weak";0.571182779796338;0.341762157307934
"welcome";0.475771621302237;0.279921183823974
"wise";0.296889929842311;0.516653686372674
"worth";0.565893174577313;0.49738520645739
