"accustomed" "beautiful" "best" "calm" "capable" "cheerful" "dangerous" "delighted" "delightful" "different" "extreme" "fair" "familiar" "free" "generous" "gentle" "greatest" "happier" "happy" "harmless" "heavenly" "interesting" "loose" "mighty" "natural" "peaceful" "pleasant" "powerful" "safe" "selfish" "weak" "superior" "rich" "strong"
"accustomed" 0 1 1 1 1 0 0 2 0 1 1 0 0 2 1 4 5 0 2 0 0 1 0 1 1 1 2 0 0 0 0 1 0 0
"beautiful" 1 0 0 2 3 3 1 1 0 4 4 5 1 1 0 4 3 1 7 0 2 0 1 0 2 2 2 1 0 0 0 0 2 0
"best" 1 0 0 2 2 1 0 0 0 2 1 1 3 1 2 2 1 1 3 1 0 0 0 0 0 0 2 0 3 0 0 0 0 1
"calm" 1 2 2 0 1 0 0 0 0 1 1 2 2 3 0 1 3 2 6 0 3 1 0 0 2 2 2 1 2 1 1 1 0 1
"capable" 1 3 2 1 0 2 1 1 0 4 4 2 0 3 0 3 6 1 6 0 0 0 1 2 2 1 2 0 1 0 0 2 1 0
"cheerful" 0 3 1 0 2 0 0 1 2 3 2 4 2 1 0 5 3 1 9 0 0 0 0 1 1 0 2 0 0 1 0 3 1 1
"dangerous" 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 2 0 0 1 0 2 0 0 0 0 2 0 1 1 0 0
"delighted" 2 1 0 0 1 1 0 0 0 1 2 1 0 1 0 3 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0
"delightful" 0 0 0 0 0 2 0 0 0 1 0 1 2 1 0 1 0 0 3 0 0 1 0 1 2 0 1 0 0 1 0 1 0 0
"different" 1 4 2 1 4 3 0 1 1 0 7 5 1 3 0 6 4 0 5 1 0 0 0 3 2 0 2 2 1 2 1 1 1 0
"extreme" 1 4 1 1 4 2 0 2 0 7 0 2 1 2 2 7 6 0 5 0 0 0 1 2 2 1 1 1 2 0 0 2 1 2
"fair" 0 5 1 2 2 4 0 1 1 5 2 0 1 0 1 4 2 0 4 1 1 0 0 0 1 0 2 1 0 2 0 0 1 0
"familiar" 0 1 3 2 0 2 0 0 2 1 1 1 0 2 0 1 2 1 4 0 1 0 0 1 2 0 1 0 1 0 0 1 0 1
"free" 2 1 1 3 3 1 1 1 1 3 2 0 2 0 1 3 3 0 7 1 2 1 2 4 1 2 0 0 0 1 1 2 0 0
"generous" 1 0 2 0 0 0 0 0 0 0 2 1 0 1 0 3 2 0 2 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1
"gentle" 4 4 2 1 3 5 0 3 1 6 7 4 1 3 3 0 4 0 7 1 0 1 0 2 1 1 4 1 1 0 1 5 2 0
"greatest" 5 3 1 3 6 3 1 1 0 4 6 2 2 3 2 4 0 1 8 0 1 1 2 2 4 1 5 1 1 0 1 3 1 3
"happier" 0 1 1 2 1 1 1 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0
"happy" 2 7 3 6 6 9 2 1 3 5 5 4 4 7 2 7 8 2 0 2 2 2 3 6 3 2 3 2 3 1 2 4 2 2
"harmless" 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0
"heavenly" 0 2 0 3 0 0 0 0 0 0 0 1 1 2 0 0 1 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"interesting" 1 0 0 1 0 0 1 1 1 0 0 0 0 1 0 1 1 0 2 0 0 0 1 2 0 1 1 0 1 0 2 1 0 0
"loose" 0 1 0 0 1 0 0 1 0 0 1 0 0 2 1 0 2 0 3 0 1 1 0 0 0 0 0 1 2 0 1 0 0 1
"mighty" 1 0 0 0 2 1 2 0 1 3 2 0 1 4 0 2 2 0 6 1 0 2 0 0 0 0 1 1 1 1 1 2 0 0
"natural" 1 2 0 2 2 1 0 0 2 2 2 1 2 1 0 1 4 1 3 0 0 0 0 0 0 2 0 1 0 1 0 1 1 0
"peaceful" 1 2 0 2 1 0 0 0 0 0 1 0 0 2 0 1 1 1 2 1 0 1 0 0 2 0 1 0 0 0 0 0 1 0
"pleasant" 2 2 2 2 2 2 0 1 1 2 1 2 1 0 0 4 5 1 3 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0
"powerful" 0 1 0 1 0 0 0 0 0 2 1 1 0 0 1 1 1 0 2 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0
"safe" 0 0 3 2 1 0 2 0 0 1 2 0 1 0 1 1 1 1 3 0 0 1 2 1 0 0 1 1 0 0 1 0 0 1
"selfish" 0 0 0 1 0 1 0 0 1 2 0 2 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0
"weak" 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 1 0 2 0 0 2 1 1 0 0 0 0 1 1 0 0 0 0
"superior" 1 0 0 1 2 3 1 0 1 1 2 0 1 2 0 5 3 1 4 0 0 1 0 2 1 0 1 1 0 0 0 0 0 0
"rich" 0 2 0 0 1 1 0 0 0 1 1 1 0 0 0 2 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"strong" 0 0 1 1 0 1 0 0 0 0 2 0 1 0 1 0 3 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
