"accustomed" "afraid" "best" "capable" "curious" "delighted" "determined" "direct" "familiar" "famous" "free" "friendly" "gentle" "greatest" "holy" "honest" "passionate" "pleasant" "quiet" "reasonable" "rich" "sacred" "sincere" "strong" "wise" "worth" "modest" "welcome"
"accustomed" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0
"afraid" 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 1 0 0
"best" 0 1 0 1 1 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 2 0 1 0 1 1 1 0
"capable" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"curious" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0
"delighted" 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 1 0 0 2 0 0 0 1 0 0 0
"determined" 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0
"direct" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"familiar" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0
"famous" 0 1 0 0 0 2 1 0 0 0 0 0 1 1 1 0 0 1 1 1 2 0 0 0 2 0 0 0
"free" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 2 0 0 0 1 0 0 1
"friendly" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"gentle" 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0
"greatest" 0 0 1 0 0 1 1 0 1 1 1 1 0 0 1 0 0 3 0 1 3 0 1 0 3 0 1 1
"holy" 0 1 0 0 1 0 0 0 1 1 2 0 1 1 0 1 1 0 1 1 0 0 0 0 1 1 1 0
"honest" 1 1 2 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 2 1 0 1 0 2 0 0
"passionate" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0
"pleasant" 0 0 0 0 0 1 1 0 0 1 1 0 0 3 0 0 0 0 0 1 3 0 0 0 2 0 0 1
"quiet" 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0
"reasonable" 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 1 1 0 1 0 0 0 2 0 0 0
"rich" 0 0 2 0 0 2 1 0 0 2 2 0 1 3 0 2 0 3 0 1 0 0 0 1 3 0 0 1
"sacred" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"sincere" 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"strong" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0
"wise" 0 1 1 1 0 1 1 0 0 2 1 1 1 3 1 0 0 2 1 2 3 0 1 0 0 0 0 0
"worth" 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0
"modest" 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"welcome" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0
