"afraid" "beautiful" "best" "capable" "cheerful" "clever" "comfortable" "delighted" "delightful" "determined" "different" "fair" "free" "friendly" "gentle" "genuine" "greatest" "happier" "happy" "honest" "independent" "interesting" "modest" "moral" "natural" "pleasant" "pleasing" "quiet" "reasonable" "rich" "safe" "selfish" "strong" "superior" "unpleasant" "welcome" "worth"
"afraid" 0 1 13 1 2 3 5 3 2 4 10 7 0 1 4 1 5 4 15 0 1 2 1 0 7 3 0 6 1 1 0 1 6 0 1 1 7
"beautiful" 1 0 4 2 4 0 3 2 1 3 3 1 0 0 1 1 1 0 3 1 1 1 0 0 2 5 0 2 1 1 0 0 2 2 2 3 0
"best" 13 4 0 9 4 6 11 5 5 8 17 10 4 5 7 2 13 5 27 3 3 8 4 1 11 11 2 10 5 3 8 4 15 2 4 10 9
"capable" 1 2 9 0 1 0 2 1 1 4 6 3 1 2 3 1 8 2 8 1 3 1 4 1 5 3 1 2 3 0 3 1 4 1 3 3 2
"cheerful" 2 4 4 1 0 1 4 0 1 2 2 4 1 0 1 1 2 0 5 1 1 0 1 1 4 4 0 3 2 0 2 0 2 1 3 3 2
"clever" 3 0 6 0 1 0 1 0 0 0 3 5 1 0 3 0 2 1 7 1 0 1 2 0 2 4 2 0 1 1 0 2 5 1 1 1 1
"comfortable" 5 3 11 2 4 1 0 2 3 4 6 4 2 2 3 1 4 2 12 2 4 2 0 0 7 5 0 3 0 1 4 0 8 1 5 2 7
"delighted" 3 2 5 1 0 0 2 0 0 0 2 5 2 0 1 0 2 4 5 1 0 1 0 0 3 2 1 4 3 3 2 0 6 2 1 4 4
"delightful" 2 1 5 1 1 0 3 0 0 4 4 3 1 1 1 2 6 3 8 0 0 3 2 1 5 4 1 0 2 0 4 1 4 1 1 0 1
"determined" 4 3 8 4 2 0 4 0 4 0 6 2 1 2 2 0 6 2 10 2 5 1 0 1 6 5 2 1 3 0 5 2 6 1 2 3 2
"different" 10 3 17 6 2 3 6 2 4 6 0 5 3 5 6 3 14 3 24 4 2 1 4 2 10 8 0 7 4 5 1 1 9 1 5 3 7
"fair" 7 1 10 3 4 5 4 5 3 2 5 0 0 3 4 0 4 4 9 2 0 2 5 1 5 7 4 4 2 3 2 1 4 3 5 4 8
"free" 0 0 4 1 1 1 2 2 1 1 3 0 0 0 0 0 1 0 1 1 0 0 1 0 1 4 0 1 0 0 2 1 2 1 2 4 1
"friendly" 1 0 5 2 0 0 2 0 1 2 5 3 0 0 2 0 3 2 4 2 1 1 1 3 4 3 2 2 3 1 2 1 2 0 1 0 3
"gentle" 4 1 7 3 1 3 3 1 1 2 6 4 0 2 0 0 5 2 6 0 1 1 2 1 2 2 1 2 1 1 0 0 4 1 1 2 2
"genuine" 1 1 2 1 1 0 1 0 2 0 3 0 0 0 0 0 1 1 5 0 0 1 0 1 2 1 0 1 0 1 1 2 0 1 0 0 1
"greatest" 5 1 13 8 2 2 4 2 6 6 14 4 1 3 5 1 0 3 18 2 2 2 4 2 9 5 1 5 6 2 4 2 10 1 2 3 6
"happier" 4 0 5 2 0 1 2 4 3 2 3 4 0 2 2 1 3 0 7 0 0 2 2 2 4 2 0 3 2 1 4 1 5 0 0 2 2
"happy" 15 3 27 8 5 7 12 5 8 10 24 9 1 4 6 5 18 7 0 3 4 7 9 4 20 18 3 12 7 3 8 4 15 4 4 8 10
