"MR1";"MR2"
"accustomed";0.610447381013573;0.207818247278585
"afraid";0.68377125988846;0.335567568936242
"beautiful";0.538487900809705;0.537114594214871
"best";0.538151528357708;0.356433576682664
"brave";0.280781343448281;0.633033273528697
"calm";0.543698404493355;0.397445218998085
"capable";0.515267476658808;0.460249351198181
"cheerful";0.447616181026542;0.136696494454332
"compassionate";0.344400549740242;0.542003663805844
"cruel";0.149286552298596;0.590172973699799
"curious";0.722054959679709;0.240842638712189
"dangerous";0.367504132054193;0.564823660823713
"delicate";0.62363213518713;0.0874339851032522
"determined";0.405332820378694;0.30297856466345
"different";0.220687343222008;0.463818391527773
"extraordinary";0.316378239738176;0.56357257947949
"fair";0.646008444160238;0.276093000398782
"faithful";-0.0895400007116936;0.68369082726951
"familiar";0.694871333001716;0.106052230690156
"free";0.380739584218237;0.628589433242702
"friendly";0.223745300944559;0.786325818592595
"gentle";0.202926870286888;0.657743839289004
"greatest";0.286353388216258;0.661738771248512
"happy";0.221750442682465;0.71493697121246
"honest";0.582222949348743;0.289139047333749
"loose";0.349478852230043;0.663351650035215
"moral";0.30982108860024;0.527050657466787
"mysterious";0.738473527050075;0.117878298402036
"natural";0.646897903318077;0.279314890754029
"neat";0.603744214060339;0.00672575360671215
"original";0.0680332140957283;0.71842809977949
"peaceful";0.212212141987596;0.427488658356014
"pleasant";0.727349881015226;0.125944380983138
"polite";0.0238097019865519;0.637754917657204
"popular";0.593241171813659;0.0815705002726865
"powerful";0.381673421581072;0.231814117494484
"quiet";0.406452081202266;0.495723242464791
"rich";0.220092159933424;0.65551184451633
"sacred";-0.117697578808399;0.644565278109986
"safe";0.4872488573522;0.312562629299272
"special";0.743211998249353;-0.0260314559805115
"strong";0.315916851429083;0.226223818556818
"uncertain";0.381736672561969;0.0862058438604937
"weak";0.4233061612793;0.355048732835721
"worth";0.480540804376645;0.38431871514228
