"accustomed" "afraid" "beautiful" "best" "capable" "cheerful" "comfortable" "cruel" "dangerous" "delicate" "delighted" "delightful" "determined" "different" "extraordinary" "extreme" "fair" "familiar" "free" "generous" "gentle" "greatest" "happy" "humble" "improper" "interesting" "modest" "natural" "polite" "productive" "proud" "quiet" "safe" "smart" "strong" "superior" "unpleasant" "weak" "welcome" "worth"
"accustomed" 0 0 1 1 1 1 0 2 0 0 0 1 0 0 1 0 1 0 1 1 0 1 3 0 0 0 2 0 1 0 0 1 0 1 0 1 0 1 0 2
"afraid" 0 0 0 4 0 0 0 3 0 1 2 1 3 2 2 2 1 1 2 2 2 3 6 1 2 0 0 1 2 2 1 2 3 1 1 1 0 3 1 2
"beautiful" 1 0 0 2 0 1 0 0 1 1 2 2 2 2 4 0 1 0 3 3 0 2 4 2 1 0 3 0 0 0 0 2 0 0 0 0 1 1 0 2
"best" 1 4 2 0 4 4 0 10 0 3 2 3 3 8 2 5 5 0 7 7 4 7 15 8 4 4 1 6 1 2 5 3 8 3 5 5 3 8 3 3
"capable" 1 0 0 4 0 0 2 3 0 0 2 0 1 1 2 1 0 0 1 3 0 2 1 2 2 0 1 2 2 0 0 0 1 0 1 3 1 2 0 1
"cheerful" 1 0 1 4 0 0 0 2 0 1 0 2 0 1 1 2 0 0 2 1 1 3 3 0 0 1 2 0 0 2 1 0 1 0 1 1 0 2 0 0
"comfortable" 0 0 0 0 2 0 0 3 0 0 1 0 2 2 2 0 1 0 0 1 0 1 0 0 0 1 0 1 2 0 1 0 0 0 1 1 0 0 0 0
"cruel" 2 3 0 10 3 2 3 0 0 1 2 1 2 6 2 3 3 0 4 4 1 5 7 1 3 2 4 1 3 3 4 4 4 1 6 5 0 6 2 1
"dangerous" 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 2 0 0 0 1 2 0 1 0 0 0 0 1 1 0 2 0 0
"delicate" 0 1 1 3 0 1 0 1 1 0 0 1 0 2 0 1 0 1 1 3 1 1 3 2 1 1 0 2 1 2 1 0 1 1 1 1 1 1 0 1
"delighted" 0 2 2 2 2 0 1 2 0 0 0 1 2 2 1 0 2 0 2 3 1 2 2 1 0 0 1 1 0 1 0 1 0 0 1 0 0 2 0 1
"delightful" 1 1 2 3 0 2 0 1 0 1 1 0 0 0 1 0 0 0 2 2 1 3 3 0 1 0 2 0 0 1 0 1 0 0 1 0 0 2 0 0
"determined" 0 3 2 3 1 0 2 2 0 0 2 0 0 2 2 0 1 0 2 3 0 2 1 3 0 0 0 2 1 1 2 0 2 1 1 1 0 1 1 2
"different" 0 2 2 8 1 1 2 6 1 2 2 0 2 0 2 3 3 2 3 3 0 4 3 1 1 2 0 2 1 1 6 2 1 1 1 3 0 4 0 3
"extraordinary" 1 2 4 2 2 1 2 2 1 0 1 1 2 2 0 0 4 0 4 3 0 4 4 3 1 1 4 2 1 0 1 1 1 0 3 1 2 2 0 2
"extreme" 0 2 0 5 1 2 0 3 0 1 0 0 0 3 0 0 0 1 0 1 0 3 1 0 1 0 0 1 0 0 3 1 2 1 3 1 0 2 2 1
"fair" 1 1 1 5 0 0 1 3 0 0 2 0 1 3 4 0 0 1 3 0 0 1 2 0 0 1 1 1 2 2 2 3 0 1 1 2 0 0 1 1
"familiar" 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0 2 1 0 1 0 1 2 0 0 0 0 1 2
"free" 1 2 3 7 1 2 0 4 1 1 2 2 2 3 4 0 3 0 0 4 2 2 7 3 1 2 4 3 2 1 0 2 2 2 2 1 0 2 1 2
"generous" 1 2 3 7 3 1 1 4 1 3 3 2 3 3 3 1 0 0 4 0 1 3 4 3 2 0 2 3 2 3 2 0 1 0 3 1 1 4 1 2
"gentle" 0 2 0 4 0 1 0 1 0 1 1 1 0 0 0 0 0 0 2 1 0 0 3 2 1 2 0 1 0 0 0 0 1 1 1 0 0 2 0 0
