"MR1";"MR2"
"afraid";0.592777240979817;0.476591658365987
"beautiful";0.561962676464579;0.338988400892191
"best";0.497416582860908;0.407559327746375
"calm";0.533451811694892;0.19431574640699
"capable";0.322893075089795;0.45704407754575
"cheerful";0.643837816956238;0.184474377932841
"comfortable";0.541121786161576;0.456983277653501
"cruel";0.24048842750498;0.540845536629572
"delicate";0.569647921097312;0.530816046627751
"delighted";0.568533045050266;0.481417431245908
"delightful";0.592118887964366;0.352686307058785
"determined";0.7727969814873;0.299256052545164
"different";0.708947642945083;0.387624008769887
"extraordinary";0.596372702994896;0.447288006658266
"fair";0.453046209682516;0.22785674892533
"free";0.782645989005426;0.281763658716751
"friendly";0.329419539203584;0.469081594620617
"generous";0.419449282999232;0.0665685288046554
"gentle";0.277109385859336;0.604768560583691
"greatest";0.637760752100358;0.499415367768619
"happier";0.654593681939835;0.364155836657728
"happy";0.105569952370454;0.183857431009871
"independent";-0.0772356663248991;0.695866415611947
"interesting";0.457459524193942;0.0545673765105688
"married";0.800870578429037;0.24333645336916
"natural";0.656791621225376;0.396579393068129
"pleasant";0.599733225465376;0.294884977214371
"pleasing";0.295841294809918;0.406706119232276
"proud";0.393922271336991;0.43994849327077
"prudent";0.407453442508251;0.368621260459868
"quiet";0.0727323045971381;0.671002092322784
"reasonable";0.49480907520268;0.437317604322052
"rich";0.608908910655315;0.222485142320639
"safe";0.233896582792077;0.545963693624551
"selfish";0.732187045887132;0.531303269364213
"sincere";0.640315620418064;0.488942960079524
"smart";0.619012374227647;0.274563625781748
"strong";0.49335314185074;0.556658350278841
"superior";0.424092784306413;0.538081549212873
"uncertain";0.691385614683326;0.381159221481702
"unpleasant";0.685219498695654;0.188902489382383
"welcome";0.353077857227741;0.301994516479381
"worth";0.53137986829302;0.355015254566325
