"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","little",3256,104,187,337,324,310,148,85,308,261,79,277,116,283,231,206
"2","good",2795,98,202,282,250,236,125,79,255,258,70,226,113,224,212,165
"3","great",2631,86,202,248,237,252,114,63,226,238,48,254,111,152,233,167
"4","old",2584,81,175,234,256,244,121,51,214,225,48,207,134,183,222,189
"5","young",1894,52,111,174,145,180,80,52,126,195,59,206,120,131,162,101
"6","poor",1378,47,91,132,125,123,53,37,144,98,40,143,63,125,64,93
"7","short",1223,32,78,98,114,107,41,29,96,125,26,118,59,94,116,90
"8","open",850,34,68,72,59,69,50,11,65,76,30,67,38,71,76,64
"9","strong",831,50,85,55,65,61,39,19,74,92,21,66,41,60,46,57
"10","certain",824,25,59,57,70,61,44,13,85,100,24,63,24,102,43,54
"11","happy",795,20,40,88,116,88,19,18,55,63,11,77,31,47,60,62
"12","glad",730,6,46,78,93,81,33,14,70,89,17,51,25,48,33,46
"13","quiet",710,27,61,71,72,57,36,27,65,59,18,47,29,43,48,50
"14","cold",637,27,52,48,36,71,37,14,36,45,16,55,45,36,66,53
"15","bad",620,26,35,61,60,44,40,29,37,59,16,47,26,77,36,27
"16","afraid",615,15,25,62,91,69,32,11,54,54,12,37,28,47,42,36
"17","bright",601,21,61,62,58,66,27,11,52,56,24,28,16,45,31,43
"18","strange",581,18,50,47,53,61,32,11,38,70,20,33,25,28,42,53
"19","hard",576,27,35,44,49,56,27,19,49,50,19,56,24,55,30,36
"20","natural",529,19,34,64,56,56,22,15,48,46,12,45,7,43,32,30
"21","alone",522,15,39,49,40,65,19,17,52,44,20,32,24,39,25,42
"22","pleasant",505,9,35,52,50,32,19,11,36,70,6,51,14,28,48,44
"23","beautiful",504,14,16,53,56,67,23,8,46,41,10,51,21,29,38,31
"24","fine",445,17,33,60,39,24,16,16,42,33,5,44,13,27,60,16
"25","proud",409,5,35,27,37,85,21,11,45,33,12,34,10,27,21,6
"26","kind",380,7,16,34,47,47,5,7,43,37,7,40,15,29,16,30
"27","fair",378,16,28,35,17,40,8,8,35,46,9,38,7,38,26,27
"28","anxious",375,14,22,36,35,27,15,10,30,31,3,48,23,18,32,31
"29","extraordinary",374,7,16,17,32,46,14,8,10,36,7,68,11,20,51,31
"30","pretty",367,16,14,50,54,31,14,9,30,10,12,34,8,35,35,15
"31","private",361,8,32,32,23,38,21,9,31,34,5,41,7,17,42,21
"32","agreeable",350,6,15,47,45,21,13,12,37,37,5,26,7,31,29,19
"33","remarkable",349,18,20,20,17,29,12,15,27,51,7,34,11,26,32,30
"34","rich",348,8,23,31,15,39,18,7,43,32,7,33,9,32,28,23
"35","gentle",347,9,30,17,34,44,10,8,22,38,5,28,27,15,27,33
"36","sweet",332,12,15,22,43,56,9,2,20,38,10,22,20,22,21,20
"37","difficult",321,14,24,36,29,20,20,10,37,27,13,15,10,26,19,21
"38","handsome",320,11,29,42,26,38,14,8,32,21,8,33,8,23,18,9
"39","cheerful",317,5,33,27,36,23,12,10,15,36,7,22,12,20,26,33
"40","curious",311,11,14,51,24,21,20,11,35,27,10,13,11,20,28,15
"41","plain",309,13,20,35,27,31,9,15,31,24,2,24,12,22,12,32
"42","honest",308,13,35,18,21,25,14,10,21,31,4,34,8,38,11,25
"43","weak",305,12,16,27,24,39,14,8,34,21,6,25,13,34,8,24
"44","comfortable",303,1,14,26,31,16,13,7,25,37,1,24,9,33,36,30
"45","worthy",301,7,25,21,22,18,7,9,20,32,7,47,17,29,25,15
"46","surprised",294,7,15,36,44,26,20,8,29,28,3,26,7,14,13,18
"47","angry",288,13,17,27,19,30,9,5,28,31,8,24,12,29,21,15
"48","loud",287,14,27,15,7,13,6,6,17,27,2,52,22,4,60,15
"49","busy",286,11,26,41,27,31,13,4,22,27,7,14,9,16,19,19
"50","innocent",282,17,11,30,29,50,13,9,26,13,6,11,11,25,14,17
"51","warm",270,5,19,25,18,25,10,3,15,23,8,33,13,16,29,28
"52","friendly",251,7,18,26,32,22,10,4,23,21,11,11,5,22,17,22
"53","violent",248,5,14,13,13,22,13,6,16,16,5,51,26,8,28,12
