"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"153","consistent",13,1,5,1,2,3,1
"154","devoted",13,4,4,0,2,0,3
"155","distinguished",13,1,3,3,2,2,2
"156","encouraging",13,3,2,0,3,2,3
"157","famous",13,3,2,6,1,0,1
"158","accomplished",12,4,2,0,2,3,1
"159","amazing",12,3,5,2,0,1,1
"160","dependent",12,3,2,0,2,1,4
"161","expressive",12,2,4,0,1,2,3
"162","faithful",12,2,1,4,1,3,1
"163","playful",12,2,5,1,1,2,1
"164","prosperous",12,4,3,0,2,2,1
"165","bold",11,0,2,4,1,1,3
"166","confused",11,3,2,0,2,2,2
"167","exciting",11,5,3,0,0,1,2
"168","helpless",11,2,4,1,3,0,1
"169","mean",11,0,2,0,0,5,4
"170","shy",11,0,3,1,2,2,3
"171","terrible",11,0,8,0,0,0,3
"172","thoughtless",11,4,3,1,1,1,1
"173","critical",10,2,3,1,1,1,2
"174","rough",10,1,4,0,4,1,0
"175","social",10,5,2,1,1,1,0
"176","stable",10,2,4,2,1,0,1
"177","suspicious",10,2,2,0,3,1,2
"178","attractive",9,2,3,1,1,0,2
"179","considerate",9,2,4,0,0,0,3
"180","courteous",9,0,5,0,3,1,0
"181","entertaining",9,4,2,1,2,0,0
"182","firm",9,2,0,1,1,3,2
"183","innocent",9,1,3,1,0,2,2
"184","punctual",9,1,3,1,0,3,1
"185","romantic",9,1,1,1,1,1,4
"186","artificial",8,0,2,0,4,1,1
"187","cheap",8,2,2,1,1,1,1
"188","disgusting",8,1,3,1,1,1,1
"189","negative",8,1,3,0,2,1,1
"190","respectful",8,2,2,1,0,1,2
"191","admirable",7,2,1,0,0,3,1
"192","healthy",7,3,0,0,2,1,1
"193","irritable",7,1,0,1,1,2,2
"194","observant",7,2,0,0,3,0,2
"195","offensive",7,0,4,0,2,1,0
"196","youthful",7,2,0,2,1,0,2
"197","compatible",6,1,1,0,2,2,0
"198","conscientious",6,0,2,1,0,1,2
"199","depressed",6,5,0,0,0,1,0
"200","elderly",6,2,0,0,0,1,3
"201","productive",6,1,0,1,0,1,3
"202","sympathetic",6,0,3,1,2,0,0
"203","wealthy",6,0,0,3,1,0,2
"204","disrespectful",5,0,2,1,1,1,0
"205","excited",5,1,1,0,0,1,2
"206","feminine",5,1,3,0,0,0,1
"207","harmless",5,2,0,2,0,0,1
"208","intellectual",5,3,1,1,0,0,0
"209","irrational",5,1,2,0,1,0,1
"210","patient",5,2,0,2,1,0,0
"211","prompt",5,3,0,0,1,1,0
"212","spontaneous",5,1,1,0,2,0,1
"213","stubborn",5,0,0,2,0,0,3
"214","unemployed",5,1,2,0,1,0,1
"215","unfair",5,4,0,0,0,0,1
"216","ambitious",4,0,3,0,1,0,0
"217","competent",4,3,1,0,0,0,0
"218","conceited",4,2,0,0,0,2,0
"219","embarrassing",4,1,2,1,0,0,0
"220","fat",4,0,1,0,2,0,1
"221","hopeful",4,0,3,1,0,0,0
"222","lazy",4,1,2,1,0,0,0
"223","popular",4,1,1,0,1,1,0
"224","prominent",4,3,1,0,0,0,0
"225","respected",4,0,1,0,0,1,2
"226","talkative",4,2,2,0,0,0,0
"227","terrific",4,0,1,2,0,1,0
"228","witty",4,2,0,0,0,1,1
"229","clean",3,1,0,2,0,0,0
"230","disturbed",3,0,0,0,0,1,2
"231","encouraged",3,1,0,0,0,1,1
"232","inconsiderate",3,2,1,0,0,0,0
"233","inexperienced",3,0,1,0,0,0,2
"234","irritated",3,0,1,1,0,0,1
"235","lonely",3,1,1,1,0,0,0
"236","mature",3,0,0,1,1,1,0
"237","pathetic",3,0,1,0,1,1,0
"238","prejudiced",3,1,1,0,0,0,1
"239","professional",3,1,2,0,0,0,0
"240","religious",3,0,1,1,1,0,0
