"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","abnormal",0,0,0,0,0,0,0
"2","abusive",2,0,0,0,0,2,0
"3","accomplished",12,4,2,0,2,3,1
"4","active",36,7,10,2,5,4,8
"5","admirable",7,2,1,0,0,3,1
"6","adorable",0,0,0,0,0,0,0
"7","adventurous",1,1,0,0,0,0,0
"8","affectionate",68,7,13,10,3,16,19
"9","afraid",151,44,30,15,12,31,19
"10","aggravating",0,0,0,0,0,0,0
"11","aggressive",0,0,0,0,0,0,0
"12","agreeable",176,38,41,16,29,34,18
"13","alcoholic",0,0,0,0,0,0,0
"14","alert",2,1,1,0,0,0,0
"15","alone",69,10,18,7,7,11,16
"16","amazing",12,3,5,2,0,1,1
"17","ambitious",4,0,3,0,1,0,0
"18","amusing",16,5,3,2,3,2,1
"19","angry",75,15,20,9,4,17,10
"20","annoyed",1,0,0,0,0,1,0
"21","annoying",0,0,0,0,0,0,0
"22","anxious",142,28,35,16,17,22,24
"23","appealing",0,0,0,0,0,0,0
"24","appreciated",0,0,0,0,0,0,0
"25","appreciative",0,0,0,0,0,0,0
"26","argumentative",1,1,0,0,0,0,0
"27","arrogant",1,0,0,0,0,1,0
"28","artificial",8,0,2,0,4,1,1
"29","artistic",0,0,0,0,0,0,0
"30","ashamed",86,21,20,12,9,15,9
"31","assertive",0,0,0,0,0,0,0
"32","athletic",0,0,0,0,0,0,0
"33","attentive",32,8,6,1,4,9,4
"34","attractive",9,2,3,1,1,0,2
"35","average",0,0,0,0,0,0,0
"36","awake",14,2,5,3,1,2,1
"37","awesome",0,0,0,0,0,0,0
"38","awful",14,0,4,4,2,1,3
"39","awkward",33,11,5,1,3,10,3
"40","bad",127,38,38,8,21,13,9
"41","bashful",2,0,0,0,0,1,1
"42","beautiful",68,18,10,11,5,12,12
"43","believable",0,0,0,0,0,0,0
"44","big",0,0,0,0,0,0,0
"45","bitter",13,2,5,2,0,2,2
"46","blind",19,8,3,0,1,5,2
"47","bold",11,0,2,4,1,1,3
"48","bored",0,0,0,0,0,0,0
"49","boring",0,0,0,0,0,0,0
"50","bossy",0,0,0,0,0,0,0
"51","brave",1,0,0,0,1,0,0
"52","bright",18,2,4,5,5,1,1
"53","brilliant",13,6,3,1,1,0,2
"54","businesslike",0,0,0,0,0,0,0
"55","busy",46,18,12,4,4,1,7
"56","calm",33,4,7,3,3,3,13
"57","capable",70,6,21,5,8,14,16
"58","carefree",0,0,0,0,0,0,0
"59","careful",22,5,2,0,5,4,6
"60","careless",23,3,7,4,5,2,2
