"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","abusive",2,0,0,0,0,2,0
"2","accomplished",12,4,2,0,2,3,1
"3","active",36,7,10,2,5,4,8
"4","admirable",7,2,1,0,0,3,1
"5","adorable",0,0,0,0,0,0,0
"6","adventurous",1,1,0,0,0,0,0
"7","affectionate",68,7,13,10,3,16,19
"8","afraid",151,44,30,15,12,31,19
"9","aggravating",0,0,0,0,0,0,0
"10","aggressive",0,0,0,0,0,0,0
"11","agreeable",176,38,41,16,29,34,18
"12","alcoholic",0,0,0,0,0,0,0
"13","alert",2,1,1,0,0,0,0
"14","alone",69,10,18,7,7,11,16
"15","amazing",12,3,5,2,0,1,1
"16","ambitious",4,0,3,0,1,0,0
"17","amusing",16,5,3,2,3,2,1
"18","angry",75,15,20,9,4,17,10
"19","annoyed",1,0,0,0,0,1,0
"20","annoying",0,0,0,0,0,0,0
"21","anxious",142,28,35,16,17,22,24
"22","appealing",0,0,0,0,0,0,0
"23","appreciated",0,0,0,0,0,0,0
"24","appreciative",0,0,0,0,0,0,0
"25","argumentative",1,1,0,0,0,0,0
"26","arrogant",1,0,0,0,0,1,0
"27","artificial",8,0,2,0,4,1,1
"28","artistic",0,0,0,0,0,0,0
"29","ashamed",86,21,20,12,9,15,9
"30","assertive",0,0,0,0,0,0,0
"31","athletic",0,0,0,0,0,0,0
"32","attentive",32,8,6,1,4,9,4
"33","attractive",9,2,3,1,1,0,2
"34","average",0,0,0,0,0,0,0
"35","awake",14,2,5,3,1,2,1
"36","awesome",0,0,0,0,0,0,0
"37","awful",14,0,4,4,2,1,3
"38","awkward",33,11,5,1,3,10,3
"39","bad",127,38,38,8,21,13,9
"40","bashful",2,0,0,0,0,1,1
"41","beautiful",68,18,10,11,5,12,12
"42","believable",0,0,0,0,0,0,0
"43","big",0,0,0,0,0,0,0
"44","bitter",13,2,5,2,0,2,2
"45","blind",19,8,3,0,1,5,2
"46","bold",11,0,2,4,1,1,3
"47","bored",0,0,0,0,0,0,0
"48","boring",0,0,0,0,0,0,0
"49","bossy",0,0,0,0,0,0,0
"50","brave",1,0,0,0,1,0,0
"51","bright",18,2,4,5,5,1,1
"52","brilliant",13,6,3,1,1,0,2
"53","businesslike",0,0,0,0,0,0,0
"54","busy",46,18,12,4,4,1,7
"55","calm",33,4,7,3,3,3,13
"56","capable",70,6,21,5,8,14,16
"57","carefree",0,0,0,0,0,0,0
"58","careful",22,5,2,0,5,4,6
"59","careless",23,3,7,4,5,2,2
"60","caring",0,0,0,0,0,0,0
"61","casual",1,0,0,0,0,1,0
"62","cautious",18,6,2,0,4,4,2
"63","certain",136,24,22,11,12,38,29
"64","charming",65,17,4,15,2,16,11
"65","cheap",8,2,2,1,1,1,1
"66","cheerful",73,27,13,7,8,6,12
"67","childish",0,0,0,0,0,0,0
"68","chubby",0,0,0,0,0,0,0
"69","clean",3,1,0,2,0,0,0
"70","clever",53,17,13,5,7,6,5
"71","closed-minded",0,0,0,0,0,0,0
"72","clumsy",1,0,0,0,1,0,0
"73","cocky",0,0,0,0,0,0,0
"74","cold",100,32,17,7,11,14,19
"75","colorful",0,0,0,0,0,0,0
"76","comfortable",107,29,25,11,11,11,20
"77","comical",0,0,0,0,0,0,0
"78","compassionate",13,4,1,0,1,2,5
"79","compatible",6,1,1,0,2,2,0
"80","competent",4,3,1,0,0,0,0
"81","competitive",0,0,0,0,0,0,0
"82","complaining",0,0,0,0,0,0,0
"83","complicated",1,0,0,0,0,0,1
"84","compulsive",0,0,0,0,0,0,0
"85","conceited",4,2,0,0,0,2,0
"86","concerned",31,10,4,3,3,6,5
"87","confident",15,3,2,2,2,3,3
"88","confused",11,3,2,0,2,2,2
"89","confusing",0,0,0,0,0,0,0
"90","conscientious",6,0,2,1,0,1,2
"91","conservative",0,0,0,0,0,0,0
"92","considerate",9,2,4,0,0,0,3
"93","consistent",13,1,5,1,2,3,1
"94","constructive",0,0,0,0,0,0,0
"95","controlling",0,0,0,0,0,0,0
"96","controversial",0,0,0,0,0,0,0
"97","cool",18,4,4,2,5,2,1
"98","cooperative",0,0,0,0,0,0,0
"99","corrupt",0,0,0,0,0,0,0
"100","courageous",1,1,0,0,0,0,0
"101","courteous",9,0,5,0,3,1,0
"102","crabby",0,0,0,0,0,0,0
"103","cranky",0,0,0,0,0,0,0
"104","crazy",0,0,0,0,0,0,0
"105","creative",1,0,0,0,0,1,0
"106","critical",10,2,3,1,1,1,2
"107","cruel",25,4,3,2,4,4,8
"108","curious",16,3,3,1,3,5,1
"109","cute",0,0,0,0,0,0,0
"110","dangerous",27,8,6,1,8,1,3
"111","daring",2,0,1,0,0,1,0
"112","decent",20,1,2,5,6,3,3
"113","dedicated",0,0,0,0,0,0,0
"114","defensive",0,0,0,0,0,0,0
"115","delighted",74,20,14,7,11,11,11
"116","delightful",105,33,17,18,6,17,14
"117","demanding",0,0,0,0,0,0,0
"118","democratic",0,0,0,0,0,0,0
"119","dependable",0,0,0,0,0,0,0
"120","dependent",12,3,2,0,2,1,4
"121","depressed",6,5,0,0,0,1,0
"122","desirable",56,15,13,2,10,11,5
"123","determined",75,13,21,7,12,9,13
"124","devoted",13,4,4,0,2,0,3
"125","difficult",41,7,10,4,4,11,5
"126","direct",22,6,4,2,3,3,4
"127","disabled",1,0,0,0,1,0,0
"128","disappointed",43,11,5,8,2,7,10
"129","disgusting",8,1,3,1,1,1,1
"130","dishonest",0,0,0,0,0,0,0
"131","disobedient",0,0,0,0,0,0,0
"132","disorganized",0,0,0,0,0,0,0
"133","disrespectful",5,0,2,1,1,1,0
"134","distinguished",13,1,3,3,2,2,2
"135","disturbed",3,0,0,0,0,1,2
"136","dominant",0,0,0,0,0,0,0
"137","down-to-earth",0,0,0,0,0,0,0
"138","dumb",0,0,0,0,0,0,0
"139","eager",89,18,18,12,10,13,18
"140","easygoing",0,0,0,0,0,0,0
"141","educated",0,0,0,0,0,0,0
"142","effective",0,0,0,0,0,0,0
"143","efficient",0,0,0,0,0,0,0
"144","elderly",6,2,0,0,0,1,3
"145","embarrassed",15,1,2,3,2,5,2
"146","embarrassing",4,1,2,1,0,0,0
"147","emotional",0,0,0,0,0,0,0
"148","employed",0,0,0,0,0,0,0
"149","encouraged",3,1,0,0,0,1,1
"150","encouraging",13,3,2,0,3,2,3
"151","energetic",2,1,0,0,0,1,0
"152","entertaining",9,4,2,1,2,0,0
"153","enthusiastic",2,0,0,0,0,0,2
"154","ethical",0,0,0,0,0,0,0
"155","evil",15,6,5,0,2,1,1
"156","excellent",101,25,19,11,18,18,10
"157","exceptional",0,0,0,0,0,0,0
"158","excited",5,1,1,0,0,1,2
"159","exciting",11,5,3,0,0,1,2
"160","exhausted",2,1,0,0,0,1,0
"161","experienced",2,0,0,1,1,0,0
"162","expressive",12,2,4,0,1,2,3
"163","extraordinary",69,19,8,7,10,16,9
"164","fair",97,22,28,11,11,17,8
"165","faithful",12,2,1,4,1,3,1
"166","familiar",14,3,5,1,1,3,1
"167","famous",13,3,2,6,1,0,1
"168","fascinating",1,0,0,0,0,0,1
"169","fat",4,0,1,0,2,0,1
"170","feminine",5,1,3,0,0,0,1
"171","fine",157,31,39,24,23,20,20
"172","firm",9,2,0,1,1,3,2
"173","flexible",0,0,0,0,0,0,0
"174","foolish",33,8,8,5,2,6,4
"175","forgetful",2,0,1,0,1,0,0
"176","forgiving",1,1,0,0,0,0,0
"177","fortunate",52,23,5,3,2,15,4
"178","forward",2,0,1,0,1,0,0
"179","friendly",52,18,12,2,7,7,6
"180","frightening",1,0,0,1,0,0,0
"181","frustrated",0,0,0,0,0,0,0
"182","frustrating",0,0,0,0,0,0,0
"183","funny",0,0,0,0,0,0,0
"184","furious",1,0,0,1,0,0,0
"185","generous",31,4,6,5,2,9,5
"186","gentle",58,14,17,7,7,5,8
"187","genuine",18,3,7,3,0,2,3
"188","gifted",1,0,0,0,1,0,0
"189","giving",0,0,0,0,0,0,0
"190","glad",201,41,51,23,25,27,34
"191","glamorous",0,0,0,0,0,0,0
"192","good",577,132,135,57,74,93,86
"193","good-for-nothing",0,0,0,0,0,0,0
"194","good-humored",0,0,0,0,0,0,0
"195","good-looking",0,0,0,0,0,0,0
"196","good-natured",0,0,0,0,0,0,0
"197","gorgeous",0,0,0,0,0,0,0
"198","graceful",14,4,2,2,1,1,4
"199","gracious",15,2,1,2,0,7,3
"200","grateful",58,14,13,4,4,12,11
"201","great",534,130,120,54,60,86,84
"202","greedy",2,0,0,2,0,0,0
"203","grouchy",0,0,0,0,0,0,0
"204","grumpy",0,0,0,0,0,0,0
"205","handicapped",0,0,0,0,0,0,0
"206","handsome",115,25,18,18,13,22,19
"207","happy",352,85,76,35,43,52,61
"208","hard",33,8,8,3,3,7,4
"209","hard-working",0,0,0,0,0,0,0
"210","harmless",5,2,0,2,0,0,1
"211","healthy",7,3,0,0,2,1,1
"212","heartbroken",0,0,0,0,0,0,0
"213","helpful",0,0,0,0,0,0,0
"214","helpless",11,2,4,1,3,0,1
"215","hilarious",0,0,0,0,0,0,0
"216","homeless",0,0,0,0,0,0,0
"217","honest",26,5,6,7,1,1,6
"218","hopeful",4,0,3,1,0,0,0
"219","hostile",1,0,0,0,0,0,1
"220","hot-tempered",0,0,0,0,0,0,0
"221","humiliated",0,0,0,0,0,0,0
"222","humorous",1,0,1,0,0,0,0
"223","idealistic",0,0,0,0,0,0,0
"224","ignorant",37,9,3,4,2,14,5
"225","imaginative",0,0,0,0,0,0,0
"226","immature",0,0,0,0,0,0,0
"227","impatient",54,11,12,8,6,8,9
"228","impolite",1,1,0,0,0,0,0
"229","important",66,17,14,7,6,10,12
"230","impressive",1,0,0,0,0,1,0
"231","impulsive",0,0,0,0,0,0,0
"232","incompetent",1,0,1,0,0,0,0
"233","inconsiderate",3,2,1,0,0,0,0
"234","indecisive",1,0,0,0,1,0,0
"235","independent",35,9,11,4,2,2,7
"236","inexperienced",3,0,1,0,0,0,2
"237","influential",0,0,0,0,0,0,0
"238","informal",0,0,0,0,0,0,0
"239","innocent",9,1,3,1,0,2,2
"240","insane",1,1,0,0,0,0,0
"241","insecure",0,0,0,0,0,0,0
"242","insensitive",0,0,0,0,0,0,0
"243","insulting",0,0,0,0,0,0,0
"244","intellectual",5,3,1,1,0,0,0
"245","intelligent",15,4,1,2,3,4,1
"246","interested",41,11,9,4,3,6,8
"247","interesting",87,27,13,8,10,14,15
"248","intimidating",0,0,0,0,0,0,0
"249","involved",2,0,1,0,0,0,1
"250","irrational",5,1,2,0,1,0,1
"251","irresponsible",0,0,0,0,0,0,0
"252","irritable",7,1,0,1,1,2,2
"253","irritated",3,0,1,1,0,0,1
"254","irritating",0,0,0,0,0,0,0
"255","jealous",23,3,3,4,5,3,5
"256","joyful",16,3,5,4,0,2,2
"257","kind",131,41,33,13,12,17,15
"258","kind-hearted",0,0,0,0,0,0,0
"259","knowledgeable",0,0,0,0,0,0,0
"260","laid-back",0,0,0,0,0,0,0
"261","laughing",0,0,0,0,0,0,0
"262","lazy",4,1,2,1,0,0,0
"263","level-headed",0,0,0,0,0,0,0
"264","liberal",23,7,3,4,2,3,4
"265","likeable",0,0,0,0,0,0,0
"266","little",591,142,140,58,73,92,86
"267","lively",60,9,18,6,6,14,7
"268","logical",0,0,0,0,0,0,0
"269","lonely",3,1,1,1,0,0,0
"270","lonesome",0,0,0,0,0,0,0
"271","loud",16,2,6,4,0,0,4
"272","lovable",0,0,0,0,0,0,0
"273","lovely",33,10,9,2,5,3,4
"274","loving",0,0,0,0,0,0,0
"275","loyal",1,0,1,0,0,0,0
"276","lucky",32,5,5,3,4,6,9
"277","masculine",0,0,0,0,0,0,0
"278","materialistic",0,0,0,0,0,0,0
"279","mature",3,0,0,1,1,1,0
"280","mean",11,0,2,0,0,5,4
"281","messy",0,0,0,0,0,0,0
"282","middle-aged",0,0,0,0,0,0,0
"283","middle-class",0,0,0,0,0,0,0
"284","modest",26,3,15,1,3,2,2
"285","moody",0,0,0,0,0,0,0
"286","motherly",0,0,0,0,0,0,0
"287","muscular",0,0,0,0,0,0,0
"288","naive",0,0,0,0,0,0,0
"289","narrow-minded",0,0,0,0,0,0,0
"290","natural",153,41,35,11,18,19,29
"291","neat",17,6,3,3,2,1,2
"292","needy",0,0,0,0,0,0,0
"293","negative",8,1,3,0,2,1,1
"294","neglected",0,0,0,0,0,0,0
"295","neighborly",0,0,0,0,0,0,0
"296","nervous",25,10,3,0,3,4,5
"297","nice",42,9,11,3,9,5,5
"298","noisy",16,2,5,1,1,3,4
"299","normal",0,0,0,0,0,0,0
"300","nosy",0,0,0,0,0,0,0
