"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","abnormal",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2","abusive",7,0,0,1,1,0,0,1,1,0,0,0,0,2,1,0
"3","accomplished",36,0,1,6,1,10,0,1,5,1,1,6,3,0,1,0
"4","active",123,4,18,19,7,9,1,1,11,10,2,12,8,7,6,8
"5","admirable",59,4,2,3,4,8,2,2,12,5,2,3,0,2,8,2
"6","adorable",7,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0
"7","adventurous",26,2,3,2,2,4,0,0,2,0,0,4,0,1,4,2
"8","affectionate",192,5,4,23,26,15,4,6,18,14,10,22,6,13,12,14
"9","afraid",615,15,25,62,91,69,32,11,54,54,12,37,28,47,42,36
"10","aggravating",13,0,0,0,3,0,2,1,1,1,0,2,0,1,1,1
"11","aggressive",5,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
"12","agreeable",350,6,15,47,45,21,13,12,37,37,5,26,7,31,29,19
"13","alcoholic",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"14","alert",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15","alone",522,15,39,49,40,65,19,17,52,44,20,32,24,39,25,42
"16","amazing",52,0,7,1,5,3,1,2,5,5,3,1,0,9,0,10
"17","ambitious",22,0,1,2,1,8,0,0,0,1,0,3,2,4,0,0
"18","amusing",16,0,2,1,1,0,0,1,2,1,0,0,1,2,4,1
"19","angry",288,13,17,27,19,30,9,5,28,31,8,24,12,29,21,15
"20","annoyed",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","annoying",3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"22","anxious",375,14,22,36,35,27,15,10,30,31,3,48,23,18,32,31
"23","appealing",9,2,0,1,1,0,0,0,1,0,0,0,1,1,1,1
"24","appreciated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","appreciative",8,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0
"26","argumentative",20,1,0,3,1,1,3,1,3,1,0,1,0,2,2,1
"27","arrogant",9,0,0,1,1,3,0,1,1,0,0,1,0,1,0,0
"28","artificial",41,0,1,2,2,11,1,1,5,3,0,4,1,6,2,2
"29","artistic",5,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
"30","ashamed",176,2,7,24,22,8,12,6,26,10,4,16,4,15,13,7
