"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","Crusoe","David Copperfield","Dombey and Son","Emma","Evelina","Frankenstein","Great Expectations","Hard Times","Little Dorrit","Mansfield Park","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Northanger Abbey","Oliver Twist","Our Mutual Friend","Persuasion","Pickwick","Pride and Prejudice","Sense and Sensibility","The Old Curiosity Shop","The unfortunate traveler"
"1","little",4091,104,187,337,103,324,310,142,83,33,148,85,308,140,261,79,277,58,116,283,73,231,92,86,206,25
"2","good",3611,98,202,282,86,250,236,132,97,26,125,79,255,135,258,70,226,57,113,224,74,212,93,86,165,30
"3","great",3436,86,202,248,114,237,252,130,97,34,114,63,226,120,238,48,254,54,111,152,60,233,86,84,167,26
"4","old",2872,81,175,234,27,256,244,59,35,20,121,51,214,46,225,48,207,23,134,183,29,222,13,31,189,5
"5","young",2420,52,111,174,28,145,180,96,80,15,80,52,126,78,195,59,206,47,120,131,43,162,70,60,101,9
"6","poor",1698,47,91,132,34,125,123,70,39,22,53,37,144,52,98,40,143,21,63,125,28,64,23,31,93,0
"7","short",1567,32,78,98,27,114,107,53,50,15,41,29,96,46,125,26,118,34,59,94,39,116,34,37,90,9
"8","happy",1241,20,40,88,17,116,88,85,41,35,19,18,55,76,63,11,77,35,31,47,43,60,52,61,62,1
"9","strong",1030,50,85,55,31,65,61,35,12,5,39,19,74,40,92,21,66,10,41,60,23,46,15,25,57,3
"10","open",1028,34,68,72,19,59,69,26,18,8,50,11,65,21,76,30,67,18,38,71,20,76,11,28,64,9
"11","certain",1001,25,59,57,17,70,61,24,19,5,44,13,85,22,100,24,63,11,24,102,12,43,38,29,54,0
"12","glad",1000,6,46,78,16,93,81,41,43,5,33,14,70,51,89,17,51,23,25,48,25,33,27,34,46,5
"13","quiet",820,27,61,71,9,72,57,24,13,3,36,27,65,22,59,18,47,8,29,43,11,48,7,12,50,1
"14","afraid",800,15,25,62,10,91,69,44,21,1,32,11,54,30,54,12,37,15,28,47,12,42,31,19,36,2
"15","bad",777,26,35,61,3,60,44,38,18,1,40,29,37,38,59,16,47,8,26,77,21,36,13,9,27,8
"16","cold",773,27,52,48,7,36,71,32,5,22,37,14,36,17,45,16,55,7,45,36,11,66,14,19,53,2
"17","strange",732,18,50,47,19,53,61,12,34,24,32,11,38,9,70,20,33,19,25,28,3,42,10,16,53,5
"18","natural",712,19,34,64,6,56,56,41,13,10,22,15,48,35,46,12,45,11,7,43,18,32,19,29,30,1
"19","fine",650,17,33,60,11,39,24,31,25,6,16,16,42,39,33,5,44,24,13,27,23,60,20,20,16,6
"20","pleasant",650,9,35,52,11,50,32,30,4,10,19,11,36,36,70,6,51,12,14,28,11,48,17,11,44,3
"21","hard",645,27,35,44,18,49,56,8,5,7,27,19,49,8,50,19,56,3,24,55,3,30,7,4,36,6
"22","alone",634,15,39,49,5,40,65,10,25,12,19,17,52,18,44,20,32,7,24,39,7,25,11,16,42,1
"23","bright",631,21,61,62,3,58,66,2,0,7,27,11,52,4,56,24,28,5,16,45,5,31,1,1,43,2
"24","beautiful",597,14,16,53,1,56,67,18,10,14,23,8,46,10,41,10,51,11,21,29,5,38,12,12,31,0
"25","agreeable",550,6,15,47,9,45,21,38,10,5,13,12,37,41,37,5,26,16,7,31,29,29,34,18,19,0
"26","anxious",538,14,22,36,8,35,27,28,8,5,15,10,30,35,31,3,48,16,23,18,17,32,22,24,31,0
"27","kind",538,7,16,34,4,47,47,41,14,9,5,7,43,33,37,7,40,13,15,29,12,16,17,15,30,0
"28","fair",511,16,28,35,12,17,40,22,13,11,8,8,35,28,46,9,38,11,7,38,11,26,17,8,27,0
"29","pretty",479,16,14,50,0,54,31,20,15,1,14,9,30,27,10,12,34,11,8,35,11,35,11,16,15,0
"30","proud",468,5,35,27,0,37,85,6,15,2,21,11,45,5,33,12,34,2,10,27,4,21,17,7,6,1
"31","extraordinary",465,7,16,17,5,32,46,19,16,1,14,8,10,8,36,7,68,7,11,20,10,51,16,9,31,0
"32","handsome",450,11,29,42,10,26,38,25,4,1,14,8,32,18,21,8,33,18,8,23,13,18,22,19,9,0
"33","surprised",448,7,15,36,30,44,26,0,40,9,20,8,29,18,28,3,26,13,7,14,7,13,21,16,18,0
"34","sweet",445,12,15,22,2,43,56,20,23,12,9,2,20,17,38,10,22,11,20,22,7,21,6,10,20,5
"35","gentle",442,9,30,17,2,34,44,14,10,22,10,8,22,17,38,5,28,7,27,15,7,27,5,8,33,3
"36","private",438,8,32,32,3,23,38,10,12,1,21,9,31,17,34,5,41,6,7,17,6,42,11,11,21,0
"37","rich",435,8,23,31,7,15,39,14,1,3,18,7,43,9,32,7,33,8,9,32,9,28,11,14,23,11
"38","comfortable",423,1,14,26,7,31,16,29,5,1,13,7,25,25,37,1,24,11,9,33,11,36,11,20,30,0
"39","cheerful",416,5,33,27,6,36,23,27,9,11,12,10,15,13,36,7,22,7,12,20,8,26,6,12,33,0
"40","difficult",390,14,24,36,8,29,20,7,18,2,20,10,37,10,27,13,15,4,10,26,4,19,11,5,21,0
"41","angry",388,13,17,27,3,19,30,15,20,2,9,5,28,20,31,8,24,9,12,29,4,21,17,10,15,0
"42","remarkable",385,18,20,20,6,17,29,3,1,2,12,15,27,3,51,7,34,8,11,26,4,32,7,2,30,0
"43","pleased",384,2,6,16,10,32,18,34,34,5,7,6,19,29,17,4,17,10,6,24,15,10,27,21,12,3
"44","proper",375,4,13,14,25,7,15,36,18,2,3,6,26,24,19,1,33,8,12,8,16,27,16,20,18,4
"45","plain",368,13,20,35,13,27,31,12,2,2,9,15,31,5,24,2,24,7,12,22,5,12,8,4,32,1
"46","warm",367,5,19,25,4,18,25,25,5,7,10,3,15,20,23,8,33,6,13,16,14,29,6,10,28,0
"47","excellent",364,3,7,32,9,25,22,25,16,12,6,4,11,19,23,3,20,11,6,17,18,33,18,10,7,7
"48","serious",362,3,17,19,9,23,16,23,16,3,13,4,12,28,30,4,31,4,6,19,15,16,19,21,10,1
"49","satisfied",360,6,7,8,12,17,24,36,22,8,8,6,13,37,15,6,10,10,7,19,18,19,21,21,10,0
"50","worthy",358,7,25,21,0,22,18,18,17,5,7,9,20,3,32,7,47,5,17,29,5,25,3,1,15,0
"51","weak",356,12,16,27,6,24,39,5,20,4,14,8,34,3,21,6,25,0,13,34,4,8,7,2,24,0
"52","honest",354,13,35,18,12,21,25,5,2,1,14,10,21,6,31,4,34,7,8,38,1,11,1,6,25,5
"53","busy",345,11,26,41,3,27,31,18,4,6,13,4,22,12,27,7,14,4,9,16,4,19,1,7,19,0
"54","curious",339,11,14,51,3,24,21,3,5,1,20,11,35,3,27,10,13,1,11,20,3,28,5,1,15,3
"55","unhappy",333,10,14,24,5,40,19,15,29,12,5,5,25,11,14,5,25,6,4,6,4,18,12,18,7,0
