"MR1";"MR2"
"afraid";0.51462899956144;0.391694413648476
"beautiful";0.0192503620129237;0.665010707507836
"best";0.181103726082211;0.41708295064316
"capable";0.54773336375678;0.178733525906502
"cheerful";0.602464360980991;0.350659691455909
"cruel";0.578976969042765;0.2469205864594
"delicate";0.490828590133559;0.298723197138857
"delighted";0.215862691631682;0.686963786322105
"delightful";0.369390944482334;0.538742348168867
"determined";0.423785724210727;0.23812799145672
"different";0.7516504729467;0.110334484115302
"extraordinary";0.042806749768527;0.627769549263877
"extreme";0.777919143988022;-0.065381127119931
"fair";0.503934101425393;0.223204322485905
"free";0.421523307093496;0.639432305412116
"generous";0.62689868268983;0.286256303005377
"gentle";0.588290330265865;0.362024756291185
"greatest";0.496922855554534;0.501245035484119
"happy";0.683141737172007;0.144529322263969
"humble";0.580031782629954;0.468517071819418
"improper";0.640940752234484;0.361148280913559
"modest";0.0866168033619442;0.495702249228494
"natural";0.590945712026287;0.426013737950761
"polite";0.162837373844191;0.48812233903358
"productive";0.316438081498016;0.29904992571304
"proud";0.586256376721173;0.103508894197396
"quiet";0.409414579868813;0.480152482782216
"safe";0.840874618512821;0.157173493139254
"smart";0.594727146839977;0.195813106621312
"strong";0.704974003798082;0.250986136479151
"superior";0.609770623981854;0.396380482079322
"weak";0.702875391975613;0.454726074582094
"worth";0.342276089521931;0.49250363128589
