"accustomed" "beautiful" "best" "calm" "capable" "cheerful" "delighted" "different" "extreme" "fair" "familiar" "free" "generous" "gentle" "greatest" "happy" "interesting" "mighty" "natural" "peaceful" "pleasant" "safe" "superior"
"accustomed" 0 1 1 1 1 0 2 1 1 0 0 2 1 4 5 2 1 1 1 1 2 0 1
"beautiful" 1 0 0 2 3 3 1 4 4 5 1 1 0 4 3 7 0 0 2 2 2 0 0
"best" 1 0 0 2 2 1 0 2 1 1 3 1 2 2 1 3 0 0 0 0 2 3 0
"calm" 1 2 2 0 1 0 0 1 1 2 2 3 0 1 3 6 1 0 2 2 2 2 1
"capable" 1 3 2 1 0 2 1 4 4 2 0 3 0 3 6 6 0 2 2 1 2 1 2
"cheerful" 0 3 1 0 2 0 1 3 2 4 2 1 0 5 3 9 0 1 1 0 2 0 3
"delighted" 2 1 0 0 1 1 0 1 2 1 0 1 0 3 1 1 1 0 0 0 1 0 0
"different" 1 4 2 1 4 3 1 0 7 5 1 3 0 6 4 5 0 3 2 0 2 1 1
"extreme" 1 4 1 1 4 2 2 7 0 2 1 2 2 7 6 5 0 2 2 1 1 2 2
"fair" 0 5 1 2 2 4 1 5 2 0 1 0 1 4 2 4 0 0 1 0 2 0 0
"familiar" 0 1 3 2 0 2 0 1 1 1 0 2 0 1 2 4 0 1 2 0 1 1 1
"free" 2 1 1 3 3 1 1 3 2 0 2 0 1 3 3 7 1 4 1 2 0 0 2
"generous" 1 0 2 0 0 0 0 0 2 1 0 1 0 3 2 2 0 0 0 0 0 1 0
"gentle" 4 4 2 1 3 5 3 6 7 4 1 3 3 0 4 7 1 2 1 1 4 1 5
"greatest" 5 3 1 3 6 3 1 4 6 2 2 3 2 4 0 8 1 2 4 1 5 1 3
"happy" 2 7 3 6 6 9 1 5 5 4 4 7 2 7 8 0 2 6 3 2 3 3 4
"interesting" 1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 2 0 2 0 1 1 1 1
"mighty" 1 0 0 0 2 1 0 3 2 0 1 4 0 2 2 6 2 0 0 0 1 1 2
"natural" 1 2 0 2 2 1 0 2 2 1 2 1 0 1 4 3 0 0 0 2 0 0 1
"peaceful" 1 2 0 2 1 0 0 0 1 0 0 2 0 1 1 2 1 0 2 0 1 0 0
"pleasant" 2 2 2 2 2 2 1 2 1 2 1 0 0 4 5 3 1 1 0 1 0 1 1
"safe" 0 0 3 2 1 0 0 1 2 0 1 0 1 1 1 3 1 1 0 0 1 0 0
"superior" 1 0 0 1 2 3 0 1 2 0 1 2 0 5 3 4 1 2 1 0 1 0 0
