"MR1";"MR3";"MR2";"MR4"
"accustomed";0.355560939976612;0.382155846873339;0.542899657484735;0.250930329192915
"afraid";0.479516658493435;0.575689374296771;0.437888968696689;0.0323327511251484
"beautiful";0.418244651996964;0.473172137741808;0.24723173319036;0.303322555249461
"best";0.656027725616152;0.61066185371448;-0.326659048256631;0.164025697977505
"careful";0.173742406061981;0.643553278235601;0.174295915032438;0.155581082340172
"cheerful";0.685699496979421;0.274609143224299;0.324248641247833;0.279976887931274
"comfortable";0.448793039170477;0.561454693816947;0.0874660551036237;0.250773152631672
"cruel";0.388293940391492;0.477753469335497;0.522496244103517;0.0463588645795104
"delicate";0.586226196185981;0.280474383386888;0.405326260413506;0.221824466981892
"delighted";0.41408591287957;0.410417304711866;0.301038099824638;0.148663043360393
"delightful";0.290754091119488;0.6059411083326;0.340449959817217;0.086656115241294
"different";0.448275473355672;0.453894006810525;0.34439326935634;0.331461795609398
"extraordinary";0.338126453836027;0.315864501251898;0.57864046626719;0.359527517616614
"extreme";-0.0261948727477008;0.208406532507568;0.503622720918901;0.648012735245066
"fair";0.357713745922779;0.418056789412171;0.422847617532132;0.399225955209645
"faithful";0.66293753402053;0.292982928329884;0.362747501751235;0.151177690709546
"free";0.460743475373456;0.469327917270193;0.469458687722559;0.27272321983654
"gentle";0.548023169982965;0.315186254154991;0.292025653979726;0.442743066959439
"graceful";0.396469985282619;0.122090900281061;0.0796946394594504;0.587144578274606
"greatest";0.263212446924235;0.723754743086515;0.309242227997445;-0.0223977179291836
"happy";0.170559215073634;0.200608684335185;0.335151058448176;0.633235443165626
"honest";0.472362113640298;0.390100211862565;0.547648706975783;0.240634308119172
"humble";0.516665199239817;0.196533753276833;0.343739855924553;0.589582355037834
"interesting";0.0622638445507858;0.643741103100659;0.0377251222144064;0.352316209062819
"married";0.375394582265228;0.45555269338885;0.627392126388522;0.248830467985829
"moral";0.105192050747537;0.133821792278145;0.739252810757146;0.275002636237788
"mysterious";0.612139514956832;0.384687923838219;0.332019411637387;0.177315687359309
"natural";0.515399083498668;0.35328866988731;0.563173346494978;0.273686914944571
"original";0.397133418005656;0.440540013810685;0.334459472821261;0.382344075168334
"pleasant";0.715086416300974;0.397214309293285;0.174413971908144;0.0947448697063641
"proud";0.261471155505299;0.65718779449114;0.232419475805325;0.332533433099723
"quiet";0.288598306499726;0.468791744989606;0.403500102865591;0.436575602080037
"rich";0.501493533396713;0.18647769187857;0.319642166699371;0.286797626760331
"strong";0.55746786193407;0.0314393610907894;0.547256112477582;0.236984749616851
"weak";0.485824892304346;0.437069830345349;0.348379399835493;0.298244049221259
"worth";0.300968873327989;0.141862198573202;0.610124833211416;0.262628365695132
