"accustomed" "afraid" "appropriate" "beautiful" "best" "cheerful" "clean" "comfortable" "compassionate" "curious" "dangerous" "delicate" "different" "extraordinary" "fair" "faithful" "familiar" "free" "gentle" "graceful" "greatest" "happy" "holy" "honest" "humble" "independent" "interesting" "loose" "modest" "moral" "mysterious" "natural" "pleasant" "polite" "popular" "proud" "quiet" "respected" "rich" "safe" "social" "strong" "surprising" "thoughtful" "uncertain" "united" "weak" "worth"
"accustomed" 0 0 1 0 3 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 2 0 0 0 0 0 0
"afraid" 0 0 0 1 0 0 0 2 0 0 0 0 4 1 1 1 0 1 1 0 2 3 0 0 1 0 1 0 2 1 1 1 3 0 0 1 3 1 1 0 0 3 1 1 0 0 1 2
"appropriate" 1 0 0 1 4 1 0 1 1 1 1 1 0 0 1 0 1 0 0 1 0 1 1 0 0 2 1 0 0 1 0 0 0 1 2 0 0 0 1 0 1 0 1 0 0 0 0 0
"beautiful" 0 1 1 0 3 1 0 0 0 2 2 1 2 0 0 0 1 0 0 2 0 1 0 1 1 1 1 0 0 0 0 1 1 0 0 3 1 0 1 1 0 0 0 1 0 0 0 0
"best" 3 0 4 3 0 2 0 1 1 3 3 3 3 1 1 2 1 4 2 3 2 5 2 3 2 2 2 2 0 4 0 3 3 2 2 3 7 0 3 3 1 6 1 1 2 1 0 1
"cheerful" 1 0 1 1 2 0 1 1 3 3 0 1 1 1 0 0 2 0 1 1 2 5 1 1 1 1 0 1 1 0 0 4 1 1 1 1 4 0 0 2 0 1 0 1 1 0 1 0
"clean" 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 2 0 1 0 1 0 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1
"comfortable" 0 2 1 0 1 1 0 0 0 1 0 0 2 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 1 1 1 0 0 0 1 2 1 0 0 0 1 1
"compassionate" 1 0 1 0 1 3 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 2 1 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0
"curious" 0 0 1 2 3 3 1 1 1 0 2 1 1 0 1 0 2 2 1 2 1 2 0 1 1 1 1 1 1 1 0 2 0 0 0 2 2 0 0 1 0 2 0 0 0 0 1 0
