"MR1";"MR2";"MR6";"MR3";"MR8";"MR4";"MR5";"MR7";"MR9"
"afraid";0.056511605146757;0.292492664393542;0.100055942459128;-0.146818419128594;0.869211046681403;0.028021660429395;-0.100263972603304;0.0869524054184967;-0.0530324326950326
"beautiful";0.294698226884374;0.556547807398862;0.125957292435688;0.335234889635893;0.367260054778816;0.158686964355174;0.134735348626132;-0.00231582837722886;-0.150067734743299
"best";0.457861744458397;0.201889253217482;0.240819276123593;0.15214260670946;0.0789255459560727;0.525367353263552;0.229539747562863;-0.181278165642601;0.0489967440055119
"capable";0.438179844402599;0.227553038831685;0.2218860511772;0.208548388549106;0.00812340146595497;-0.406871792292136;0.0444763562989778;0.357834902207983;-0.0234254611793669
"cheerful";0.839167357589877;0.0561543767398946;-0.0593257449479714;0.0581748377066206;-0.000603998630949042;-0.0000375536825052243;-0.0526200365306692;0.18431526742464;0.167361494336355
"clever";0.427367030629446;0.149204774326207;0.225808747191095;0.266369601378477;-0.0806100235132248;0.0524351813401124;0.19687301528592;0.0595149784654191;0.675541853613873
"comfortable";0.661789828233714;0.0180120273780326;0.0693429629355533;0.0347262783365264;0.00501901992167065;0.147491934429791;0.226821565649334;0.035884693933041;0.219628334323847
"delighted";0.207924797816147;0.584183493504389;0.413714353370719;0.0922467779758682;0.362416306586904;0.0457907925282753;0.0160994595894674;0.0878123032356987;-0.0809030426886468
"delightful";0.135896748237298;0.319643235495732;0.356745154751761;0.310467892459401;0.235589253718291;0.274071930994576;0.0779063662136286;0.2269778670014;0.290502944784158
"determined";0.039850693523387;0.516992972440227;0.0475943954638159;0.472060787287593;0.563521241071767;-0.198487325671343;-0.0908925361338421;0.0715481443082488;0.288654583602689
"different";0.329851336767316;0.382513238073952;0.346312319280253;-0.205508195458083;-0.0184343690799182;0.529453672258549;0.103175216794307;0.0544543256711356;-0.00486887993193516
"extraordinary";-0.0251021120287356;0.751680263970992;0.0241445758289538;0.116350535668834;0.0891821181473451;-0.0645784453327517;-0.000736338356666406;0.166021758656139;0.0566972840342789
"fair";0.243719470561173;0.23666183124185;0.187081831388934;0.0468177622228952;0.112350166256287;0.189684802715761;0.0846604249923991;0.722868210142686;0.0509339715607703
"famous";0.359269620724647;0.498629035328854;0.43799734063783;0.182068266848047;-0.224108907814013;-0.0637835404665628;-0.00543425996648073;0.00505072524828112;-0.304906312872908
"generous";0.231386612148413;0.398219144967561;0.55649747598016;0.337919264635057;0.403590566353136;-0.00891878636233525;-0.110067970950229;-0.0334430641113352;-0.0120075196513952
"gentle";0.468982277177266;0.135860300525556;0.113729343511879;0.394484841569639;0.0470733080942395;0.308185502008877;0.111829486086487;0.140072227521088;0.239766039558618
"greatest";0.152055271021037;0.00290064408237277;0.173431566615202;0.916469177974391;-0.0274888460486403;-0.142171102207206;0.0530933559096442;0.0832370259107036;0.0193059696009859
"happy";-0.023026694529678;0.220829930508375;0.0807822564383627;-0.0145729854562734;0.00800441087686878;-0.734438897094716;0.0938192656210242;-0.210787569726909;-0.0228624618347278
"honest";0.657002160973722;0.0938365048683736;0.270469293147577;0.142222684307872;0.00277527638436564;0.134407910517969;0.274480588598985;0.00290737259089133;0.000655878997261536
"interesting";0.243078957150354;0.140525802487513;0.00637862210630466;0.053285964267233;-0.101281201904486;-0.0318283110386139;0.94421605261155;0.0640338692979039;0.109772333801354
"natural";0.449964013815963;0.600392961009132;0.28421967264971;0.0781568402352701;0.244498614735527;0.243675136483236;0.148278805115234;0.193030748571036;0.00425985907717505
"pleasant";0.254558727834102;0.499755366513627;0.380088897866661;0.0803348569090642;0.0933177665310294;-0.236517337713761;-0.292141407978246;-0.165002224266223;0.129371777378921
"pleasing";0.255516732172085;0.399716759908528;0.0643652327352526;0.584791600701437;-0.0975680588942865;0.195573376387121;-0.00709442670338727;-0.0457831585603285;0.180024362401011
"quiet";0.707546144434623;0.250493248751511;0.232374894782638;0.310484627972524;0.304546087906028;0.160986346254611;0.0618665556973194;0.186203850367567;0.0313286177734979
"rich";0.158736493480511;0.141381005447365;0.876557830241024;-0.00478795246651869;-0.0210111958032489;-0.0489609692661495;0.0444193410107693;0.273065080906014;0.137643295173343
"safe";0.268424234086022;0.11740819798802;0.582774831695265;0.292855763721564;0.184098401738313;0.115000897277719;0.0503816013182557;-0.0190778975667501;0.0811188307472548
"secure";0.580032184132805;-0.0113862077264306;0.363055791211438;0.055548672596707;0.100585630224842;-0.0285967431761322;0.0122699530470701;-0.0824314159077778;-0.128125483861304
"strong";0.0664022527826348;0.856171044386504;0.140518905116371;-0.0230480193340961;0.216199997143239;-0.0798810802184251;0.248637049659495;0.121110749070348;0.16976934342157
"unpleasant";0.475329966780471;0.222759582492814;0.534109063273724;0.163082229750332;0.0837062266252442;0.211396681394562;-0.01264803092978;0.42247167453678;0.0778808240631197
"worth";0.732196720604302;0.288852230197;0.298520631407797;0.137493076148134;0.0473443871424561;-0.0938876098164088;-0.060996982531638;0.193036638132695;-0.0246220279663418
