"MR1";"MR2"
"afraid";0.400498277283716;0.440768790213967
"best";0.561918898000893;0.252669564559041
"capable";0.718753184106747;0.294717818230279
"careful";0.110527724145308;0.730007732091167
"cheerful";0.476085202509028;0.718364322007753
"comfortable";0.51583875361227;0.568655572036023
"dangerous";0.760341978659296;0.403363226634655
"delighted";0.639993843305055;0.612666130045542
"determined";0.747890908195376;0.517624540867033
"different";0.384739642769948;0.405516133242612
"extraordinary";0.484216734689085;0.509737721742633
"fair";0.350628860659193;0.698610355604433
"gentle";0.590554182119394;0.328367401255238
"greatest";0.21745197809661;0.507144325806527
"happy";0.0664383165526491;0.307494802689899
"interesting";0.532848311398818;0.646989386908527
"married";0.646351178400033;0.201463025537492
"natural";0.597030809088452;0.276564231234372
"pleasant";0.62119318445571;0.564300218676606
"quiet";0.571392111830205;0.463484390788841
"rich";0.493906438653263;0.0206750900336672
"safe";0.00573142916883864;0.680712807106506
"strong";0.513502869889704;0.473074518636572
"superior";0.307494008798439;0.757954550298495
"uncertain";0.523056319310449;0.0174982777113539
"worth";0.479372728092256;0.629354043617001
