"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","sure",1360,25,87,136,152,121,46,43,91,147,33,131,45,127,64,112
"2","strong",796,48,75,45,116,49,42,17,65,79,21,59,40,57,39,44
"3","open",724,31,55,60,52,58,52,10,63,68,25,45,37,55,67,46
"4","certain",701,24,43,54,61,50,42,13,62,91,22,45,17,101,30,46
"5","true",675,32,41,71,54,61,29,24,70,61,29,51,21,63,35,33
"6","quiet",658,28,59,80,63,39,38,23,60,44,15,43,27,53,39,47
"7","cold",598,22,40,45,32,60,34,11,33,41,18,55,51,34,65,57
"8","general",575,23,37,72,54,66,30,23,54,69,14,40,10,42,26,15
"9","heavy",505,25,46,37,39,41,28,21,39,38,15,36,40,37,40,23
"10","particular",494,17,27,39,34,37,25,13,40,65,4,50,18,40,55,30
"11","natural",480,17,28,54,49,52,25,12,43,47,11,42,5,44,25,26
"12","silent",451,16,43,28,44,50,15,9,30,49,13,37,29,33,19,36
"13","pleasant",426,11,23,49,39,23,18,9,33,67,6,43,12,20,41,32
"14","second",422,25,23,26,40,46,14,5,43,36,9,39,20,32,44,20
"15","easy",341,9,32,31,21,31,12,7,33,49,9,28,5,32,23,19
"16","proud",336,5,23,20,32,76,23,10,34,25,10,27,9,20,17,5
"17","free",322,16,37,28,23,31,12,11,40,28,8,18,15,21,8,26
"18","original",314,16,38,8,12,35,2,2,44,3,5,39,2,42,8,58
"19","loud",296,13,25,10,8,9,6,7,18,22,2,55,29,5,73,14
"20","sudden",284,11,15,20,21,27,15,3,28,18,16,27,17,16,29,21
"21","curious",280,9,12,48,23,18,20,7,30,24,10,13,7,18,26,15
"22","handsome",271,10,19,30,24,37,18,7,26,18,5,25,4,25,14,9
"23","quick",266,14,14,25,18,31,6,12,30,22,10,22,16,21,7,18
"24","sweet",266,11,9,12,34,50,5,1,20,37,8,14,14,18,14,19
"25","fresh",264,7,12,34,19,17,9,8,21,21,7,30,16,14,28,21
"26","honest",261,16,24,13,19,20,9,5,19,27,4,27,8,44,8,18
"27","busy",250,9,25,40,24,22,12,6,21,23,5,9,9,13,17,15
"28","gentle",247,10,20,15,26,35,4,5,14,26,3,18,19,11,18,23
"29","weak",242,11,13,18,18,20,12,7,32,20,5,19,15,26,7,19
"30","close",241,11,14,21,25,26,8,6,17,20,3,15,20,19,19,17
"31","cheerful",239,4,34,27,25,15,9,6,10,20,5,13,9,17,19,26
"32","friendly",210,7,11,23,27,15,8,4,17,18,10,5,5,28,14,18
"33","melancholy",209,1,11,21,16,30,8,9,11,30,1,22,7,12,19,11
"34","gracious",208,8,17,18,15,20,5,2,24,34,4,15,7,23,8,8
"35","serious",206,3,13,15,23,16,10,4,12,22,7,31,5,23,14,8
"36","unhappy",197,8,11,21,41,18,5,5,23,14,5,19,3,4,14,6
"37","familiar",192,4,13,26,24,19,8,6,19,19,3,11,8,10,6,16
"38","violent",192,6,12,9,9,15,11,4,9,13,4,41,21,5,22,11
"39","slow",182,6,10,12,19,10,11,8,15,17,5,11,9,12,11,26
"40","rough",177,11,19,16,22,13,7,6,12,11,3,12,9,15,12,9
"41","delicate",176,9,5,12,14,14,3,3,24,18,9,20,7,21,10,7
"42","vain",175,14,16,10,22,12,10,4,17,13,2,13,5,16,14,7
"43","affectionate",173,4,4,20,26,10,6,5,17,12,10,18,6,16,11,8
"44","gloomy",164,11,12,15,9,11,8,0,17,13,8,13,12,16,5,14
"45","grateful",161,2,7,13,16,17,11,3,11,26,5,6,7,14,7,16
"46","fast",154,3,15,8,9,18,2,5,11,13,3,11,9,10,21,16
"47","sufficient",153,2,13,14,17,13,4,4,12,17,5,23,1,4,14,10
"48","domestic",148,4,5,12,21,14,8,5,14,19,2,10,3,16,13,2
"49","expressive",147,1,5,10,10,18,10,3,17,11,5,10,7,20,19,1
"50","careful",146,4,11,16,9,7,6,2,14,11,2,18,5,11,19,11
"51","soft",142,5,3,13,20,22,4,3,13,10,4,12,8,5,12,8
"52","thoughtful",142,3,11,11,17,18,7,5,10,12,2,8,4,13,7,14
"53","sensible",141,4,5,23,27,15,6,5,20,6,7,4,0,11,4,4
"54","bold",140,3,31,6,15,16,4,3,6,18,0,13,3,10,7,5
"55","constant",137,2,12,14,11,17,9,1,11,11,2,16,3,3,12,13
"56","humble",137,1,12,7,7,13,6,4,13,15,2,15,5,7,12,18
"57","steady",135,12,13,13,10,18,8,6,14,7,6,7,2,7,9,3
"58","clean",133,4,7,13,7,10,10,4,10,6,5,15,7,12,19,4
"59","grave",133,4,8,10,27,11,9,2,10,14,3,5,3,8,15,4
