"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","Crusoe","David Copperfield","Dombey and Son","Emma","Evelina","Frankenstein","Great Expectations","Hard Times","Little Dorrit","Mansfield Park","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Northanger Abbey","Oliver Twist","Our Mutual Friend","Persuasion","Pickwick","Pride and Prejudice","Sense and Sensibility","The Old Curiosity Shop","The unfortunate traveler"
"1","sure",2091,25,87,136,30,152,121,169,105,1,46,43,91,101,147,33,131,75,45,127,53,64,77,112,112,8
"2","strong",965,48,75,45,30,116,49,25,10,6,42,17,65,35,79,21,59,8,40,57,19,39,16,17,44,3
"3","general",902,23,37,72,8,54,66,47,36,3,30,23,54,55,69,14,40,71,10,42,25,26,40,40,15,2
"4","true",893,32,41,71,19,54,61,47,17,20,29,24,70,24,61,29,51,15,21,63,18,35,21,21,33,16
"5","certain",863,24,43,54,13,61,50,23,20,5,42,13,62,16,91,22,45,7,17,101,7,30,44,27,46,0
"6","open",855,31,55,60,13,52,58,18,15,11,52,10,63,13,68,25,45,12,37,55,10,67,10,21,46,8
"7","quiet",749,28,59,80,4,63,39,15,13,3,38,23,60,24,44,15,43,7,27,53,11,39,6,7,47,1
"8","cold",718,22,40,45,8,32,60,34,6,23,34,11,33,10,41,18,55,7,51,34,8,65,12,9,57,3
"9","particular",668,17,27,39,20,34,37,31,22,0,25,13,40,20,65,4,50,13,18,40,13,55,22,32,30,1
"10","natural",647,17,28,54,5,49,52,34,12,20,25,12,43,33,47,11,42,9,5,44,14,25,19,20,26,1
"11","silent",611,16,43,28,2,44,50,20,37,10,15,9,30,16,49,13,37,8,29,33,10,19,24,33,36,0
"12","second",588,25,23,26,27,40,46,23,16,3,14,5,43,26,36,9,39,13,20,32,14,44,24,17,20,3
"13","heavy",567,25,46,37,16,39,41,6,6,4,28,21,39,11,38,15,36,4,40,37,2,40,3,10,23,0
"14","pleasant",550,11,23,49,9,39,23,31,2,10,18,9,33,23,67,6,43,9,12,20,9,41,15,13,32,3
"15","easy",460,9,32,31,24,21,31,17,14,0,12,7,33,14,49,9,28,5,5,32,8,23,18,19,19,0
"16","handsome",402,10,19,30,7,24,37,27,4,1,18,7,26,16,18,5,25,18,4,25,16,14,23,19,9,0
"17","proud",388,5,23,20,0,32,76,4,13,0,23,10,34,5,25,10,27,2,9,20,5,17,16,6,5,1
"18","sudden",384,11,15,20,17,21,27,13,7,7,15,3,28,13,18,16,27,18,17,16,7,29,7,11,21,0
"19","free",380,16,37,28,4,23,31,1,15,13,12,11,40,6,28,8,18,3,15,21,4,8,6,4,26,2
"20","sweet",370,11,9,12,2,34,50,15,21,19,5,1,20,12,37,8,14,9,14,18,3,14,7,11,19,5
"21","fresh",351,7,12,34,21,19,17,12,3,9,9,8,21,6,21,7,30,9,16,14,4,28,8,12,21,3
"22","loud",346,13,25,10,8,8,9,3,21,6,6,7,18,2,22,2,55,4,29,5,0,73,2,4,14,0
"23","serious",339,3,13,15,6,23,16,25,13,3,10,4,12,29,22,7,31,5,5,23,11,14,21,19,8,1
"24","quick",337,14,14,25,2,18,31,18,11,6,6,12,30,9,22,10,22,6,16,21,5,7,7,5,18,2
"25","gentle",330,10,20,15,1,26,35,12,6,25,4,5,14,15,26,3,18,5,19,11,5,18,3,6,23,5
"26","original",328,16,38,8,1,12,35,3,0,2,2,2,44,2,3,5,39,1,2,42,1,8,4,0,58,0
"27","cheerful",315,4,34,27,5,25,15,16,5,10,9,6,10,12,20,5,13,5,9,17,6,19,6,11,26,0
"28","unhappy",310,8,11,21,5,41,18,14,26,18,5,5,23,10,14,5,19,6,3,4,3,14,12,19,6,0
