"" "black" "bustling" "cold" "first" "fresh" "full" "gentle" "red" "little"
"black" 0 0 0 0 0 0 0 1 0
"bustling" 0 0 0 0 0 1 0 0 0
"cold" 0 0 0 0 0 0 0 0 1
"first" 0 0 0 0 0 0 0 0 1
"fresh" 0 0 0 0 0 0 0 1 0
"full" 0 1 0 0 0 0 0 0 2
"gentle" 0 0 0 0 0 0 0 0 1
"red" 1 0 0 0 1 0 0 0 0
"little" 0 0 1 1 0 2 1 0 0
