"source" "tag"
"1" 1 "domestic"
"2" 1 "first"
"3" 1 "girl"
"4" 1 "good"
"5" 1 "great"
"6" 1 "handsome"
"7" 1 "inferior"
"8" 1 "it"
"9" 1 "little"
"10" 1 "lost"
"11" 1 "must"
"12" 1 "near"
"13" 1 "personal"
"14" 1 "still"
"15" 1 "strong"
"16" 1 "called"
"17" 1 "distressed"
"18" 2 "equal"
"19" 1 "even"
"20" 2 "evil"
"21" 2 "first"
"22" 1 "gone"
"23" 2 "good"
"24" 2 "growing"
"25" 2 "it"
"26" 1 "last"
"27" 1 "new"
"28" 2 "out"
"29" 1 "possible"
"30" 2 "present"
"31" 1 "real"
"32" 2 "taking"
"33" 1 "unwelcome"
"34" 3 "able"
"35" 1 "ancient"
"36" 1 "character"
"37" 1 "dear"
"38" 3 "done"
"39" 3 "even"
"40" 1 "excellent"
"41" 2 "excused"
"42" 3 "first"
"43" 3 "good"
"44" 2 "great"
"45" 2 "having"
"46" 3 "it"
"47" 3 "last"
"48" 2 "leading"
"49" 2 "least"
"50" 2 "little"
"51" 2 "must"
"52" 1 "nobody"
"53" 2 "old"
"54" 3 "out"
"55" 3 "possible"
"56" 3 "present"
"57" 1 "private"
"58" 1 "rank"
"59" 1 "sensible"
"60" 2 "still"
"61" 2 "strong"
"62" 1 "well"
"63" 3 "whole"
"64" 4 "character"
"65" 4 "dear"
"66" 4 "decided"
"67" 1 "deserving"
"68" 4 "excellent"
"69" 4 "first"
"70" 1 "forming"
"71" 4 "good"
"72" 4 "great"
"73" 4 "having"
"74" 1 "high"
"75" 4 "it"
"76" 4 "least"
"77" 4 "little"
"78" 1 "make"
"79" 4 "must"
"80" 2 "near"
"81" 2 "open"
"82" 4 "out"
"83" 4 "quick"
"84" 2 "seen"
"85" 1 "settled"
"86" 4 "short"
"87" 3 "small"
"88" 4 "still"
"89" 3 "vain"
"90" 2 "young"
"91" 5 "better"
"92" 5 "choice"
"93" 4 "done"
"94" 3 "equal"
"95" 5 "excellent"
"96" 5 "fond"
"97" 5 "good"
"98" 5 "having"
"99" 5 "high"
"100" 5 "it"
"101" 5 "least"
"102" 5 "little"
"103" 5 "make"
"104" 5 "must"
"105" 4 "nobody"
"106" 4 "old"
"107" 5 "open"
