"source" "tag"
"1" 1 "child"
"2" 1 "fell"
"3" 1 "it"
"4" 1 "old"
"5" 1 "proper"
"6" 2 "child"
"7" 1 "cold"
"8" 1 "dear"
"9" 2 "fell"
"10" 1 "first"
"11" 1 "great"
"12" 1 "having"
"13" 2 "it"
"14" 1 "little"
"15" 1 "out"
"16" 1 "pale"
"17" 1 "possible"
"18" 2 "proper"
"19" 1 "round"
"20" 1 "small"
"21" 1 "troublesome"
"22" 1 "young"
"23" 3 "able"
"24" 3 "child"
"25" 3 "cold"
"26" 3 "dear"
"27" 1 "face"
"28" 3 "great"
"29" 3 "having"
"30" 3 "hungry"
"31" 3 "interesting"
"32" 3 "it"
"33" 1 "last"
"34" 3 "little"
"35" 3 "make"
"36" 3 "off"
"37" 2 "old"
"38" 3 "out"
"39" 1 "poor"
"40" 1 "put"
"41" 1 "shaking"
"42" 3 "small"
"43" 3 "well"
"44" 1 "will"
"45" 4 "behind"
"46" 4 "brick"
"47" 1 "brief"
"48" 1 "certain"
"49" 4 "child"
"50" 3 "extraordinary"
"51" 4 "face"
"52" 3 "fat"
"53" 3 "first"
"54" 3 "good"
"55" 3 "grasping"
"56" 4 "great"
"57" 2 "hard"
"58" 4 "having"
"59" 4 "humane"
"60" 4 "it"
"61" 4 "last"
"62" 1 "lay"
"63" 4 "leaving"
"64" 4 "led"
"65" 4 "little"
"66" 3 "live"
"67" 1 "low"
"68" 4 "make"
"69" 1 "necessary"
"70" 1 "nobody"
"71" 4 "old"
"72" 4 "out"
"73" 4 "poor"
"74" 4 "right"
"75" 3 "round"
"76" 4 "set"
"77" 4 "small"
"78" 4 "sure"
"79" 4 "telling"
"80" 2 "tender"
"81" 3 "thin"
"82" 1 "useful"
"83" 1 "white"
"84" 5 "behind"
"85" 1 "excellent"
"86" 1 "faint"
"87" 5 "fat"
"88" 3 "fell"
"89" 5 "first"
"90" 5 "frightened"
"91" 5 "great"
"92" 5 "high"
"93" 4 "hungry"
"94" 5 "it"
"95" 5 "large"
"96" 5 "last"
"97" 5 "morning"
"98" 4 "off"
"99" 5 "out"
"100" 3 "pale"
"101" 1 "pauper"
"102" 5 "right"
"103" 1 "rose"
"104" 5 "small"
"105" 4 "taking"
"106" 5 "tender"
"107" 5 "thin"
"108" 4 "well"
"109" 5 "white"
"110" 4 "will"
"111" 6 "behind"
"112" 6 "catching"
"113" 5 "certain"
"114" 4 "character"
"115" 4 "cold"
"116" 3 "comfortable"
"117" 3 "even"
"118" 4 "feel"
"119" 4 "feeling"
"120" 6 "first"
"121" 6 "full"
"122" 6 "general"
"123" 5 "good"
"124" 5 "hard"
"125" 5 "having"
"126" 6 "it"
"127" 5 "knowing"
"128" 5 "little"
"129" 6 "morning"
"130" 6 "out"
"131" 1 "profound"
"132" 6 "prophetic"
"133" 6 "read"
"134" 4 "ready"
"135" 6 "right"
"136" 5 "round"
"137" 5 "sage"
"138" 5 "set"
"139" 6 "small"
"140" 3 "still"
"141" 6 "stone"
"142" 6 "well"
"143" 6 "white"
"144" 4 "blessed"
"145" 5 "child"
"146" 3 "clean"
"147" 6 "desperate"
"148" 4 "determined"
"149" 6 "done"
"150" 7 "even"
"151" 6 "expensive"
"152" 5 "face"
"153" 1 "failed"
"154" 7 "general"
"155" 7 "gentle"
"156" 7 "good"
"157" 6 "great"
"158" 5 "happy"
"159" 7 "hard"
"160" 7 "having"
"161" 5 "humane"
