"source" "tag"
"1" 1 "good"
"2" 1 "gray"
"3" 1 "it"
"4" 1 "massive"
"5" 1 "morning"
"6" 1 "must"
"7" 1 "old"
"8" 1 "out"
"9" 1 "square"
"10" 1 "white"
"11" 1 "bad"
"12" 2 "beneath"
"13" 1 "better"
"14" 2 "broken"
"15" 1 "coming"
"16" 2 "good"
"17" 2 "having"
"18" 1 "high"
"19" 2 "it"
"20" 1 "kind"
"21" 1 "little"
"22" 1 "low"
"23" 2 "old"
"24" 2 "out"
"25" 1 "set"
"26" 2 "square"
"27" 1 "strange"
"28" 1 "well"
"29" 4 "better"
"30" 2 "black"
"31" 4 "comely"
"32" 1 "dark"
"33" 4 "deep"
"34" 1 "devoted"
"35" 1 "face"
"36" 4 "feel"
"37" 4 "glad"
"38" 4 "good"
"39" 4 "it"
"40" 4 "little"
"41" 4 "make"
"42" 4 "musical"
"43" 2 "must"
"44" 4 "old"
"45" 4 "present"
"46" 1 "small"
"47" 1 "still"
"48" 4 "strange"
"49" 1 "watchful"
"50" 4 "will"
"51" 5 "better"
"52" 5 "concentrated"
"53" 5 "dark"
"54" 5 "dear"
"55" 5 "devoted"
"56" 4 "done"
"57" 5 "face"
"58" 5 "fellow"
"59" 4 "gone"
"60" 2 "gray"
"61" 4 "having"
"62" 1 "holding"
"63" 1 "hurt"
"64" 5 "it"
"65" 4 "kind"
"66" 1 "large"
"67" 1 "light"
"68" 5 "little"
"69" 5 "must"
"70" 5 "off"
"71" 5 "old"
"72" 4 "out"
"73" 5 "right"
"74" 5 "seen"
"75" 4 "silent"
"76" 5 "strange"
"77" 5 "taking"
"78" 5 "thick"
"79" 4 "well"
"80" 5 "will"
"81" 5 "young"
"82" 1 "bear"
"83" 5 "best"
"84" 6 "better"
"85" 2 "certain"
"86" 6 "dear"
"87" 6 "done"
"88" 6 "even"
"89" 6 "face"
"90" 5 "feel"
"91" 6 "fellow"
"92" 2 "gloomy"
"93" 5 "good"
"94" 6 "having"
"95" 6 "it"
"96" 6 "kind"
"97" 1 "last"
"98" 4 "late"
"99" 6 "little"
"100" 6 "must"
"101" 6 "off"
"102" 6 "old"
"103" 6 "out"
"104" 1 "poor"
"105" 6 "put"
"106" 6 "quiet"
"107" 1 "real"
"108" 6 "right"
"109" 4 "round"
"110" 4 "short"
"111" 4 "sound"
"112" 1 "spirit"
"113" 5 "still"
"114" 6 "troubled"
"115" 6 "well"
"116" 6 "will"
"117" 6 "young"
"118" 6 "gone"
"119" 7 "must"
"120" 7 "old"
"121" 7 "out"
"122" 1 "ready"
"123" 7 "still"
"124" 1 "ancient"
"125" 4 "behind"
"126" 4 "beneath"
"127" 4 "broken"
"128" 7 "certain"
"129" 1 "clash"
"130" 1 "dim"
"131" 2 "distinct"
"132" 1 "drowsy"
"133" 7 "even"
"134" 7 "having"
"135" 7 "it"
"136" 6 "large"
"137" 7 "little"
"138" 4 "low"
"139" 5 "make"
"140" 7 "monotonous"
"141" 8 "must"
"142" 8 "old"
"143" 8 "out"
"144" 7 "poor"
"145" 5 "present"
"146" 7 "queer"
"147" 6 "seen"
"148" 6 "silent"
"149" 5 "small"
"150" 6 "sooner"
"151" 6 "strange"
"152" 4 "venerable"
"153" 7 "will"
"154" 7 "young"
"155" 6 "affectionate"
"156" 9 "behind"
"157" 7 "better"
"158" 5 "bright"
"159" 9 "called"
"160" 4 "chief"
"161" 5 "childish"
"162" 6 "cut"
"163" 6 "dark"
"164" 7 "dear"
"165" 7 "done"
"166" 9 "even"
"167" 7 "face"
"168" 6 "fierce"
"169" 5 "glad"
"170" 7 "good"
"171" 9 "it"
"172" 9 "lady"
"173" 7 "last"
"174" 7 "lay"
"175" 9 "little"
"176" 9 "making"
"177" 1 "mouth"
"178" 9 "must"
"179" 7 "off"
"180" 9 "old"
"181" 2 "open"
"182" 9 "out"
"183" 9 "present"
"184" 6 "pretty"
"185" 7 "round"
"186" 9 "scholastic"
"187" 9 "seen"
"188" 1 "weak"
"189" 9 "will"
"190" 9 "young"
"191" 10 "better"
"192" 10 "bright"
"193" 5 "clear"
"194" 4 "close"
"195" 10 "dear"
"196" 7 "devilish"
"197" 10 "done"
"198" 10 "engaged"
"199" 10 "even"
"200" 10 "face"
"201" 7 "feel"
"202" 1 "first"
"203" 7 "fond"
"204" 10 "foolish"
"205" 8 "gone"
"206" 7 "great"
"207" 10 "it"
"208" 10 "lady"
"209" 10 "last"
"210" 6 "laughing"
"211" 5 "least"
"212" 10 "little"
"213" 9 "make"
"214" 5 "miss"
"215" 10 "must"
"216" 1 "nobody"
"217" 10 "off"
"218" 10 "old"
"219" 10 "out"
"220" 9 "poor"
"221" 10 "pouting"
"222" 10 "pretty"
"223" 7 "put"
"224" 7 "quiet"
"225" 4 "rosy"
"226" 7 "short"
"227" 5 "somebody"
"228" 10 "sure"
"229" 6 "taking"
"230" 7 "tired"
"231" 7 "well"
"232" 10 "will"
"233" 10 "young"
"234" 11 "better"
