"target" "tag"
"1" 2 "cold"
"2" 2 "evil"
"3" 2 "great"
"4" 2 "well"
"5" 3 "affectionate"
"6" 3 "firm"
"7" 3 "fortunate"
"8" 3 "good"
"9" 3 "little"
"10" 3 "secure"
"11" 3 "well"
"12" 3 "young"
"13" 4 "good"
"14" 4 "great"
"15" 4 "impatient"
"16" 4 "little"
"17" 4 "strange"
"18" 4 "well"
"19" 5 "calm"
"20" 5 "excited"
"21" 5 "gentle"
"22" 5 "little"
"23" 5 "secure"
"24" 5 "strange"
"25" 5 "weak"
"26" 5 "wonderful"
"27" 6 "determined"
"28" 6 "great"
"29" 7 "alone"
"30" 7 "devoted"
"31" 7 "direct"
"32" 7 "good"
"33" 7 "little"
"34" 7 "pleasant"
"35" 7 "poor"
"36" 7 "proud"
"37" 8 "expressive"
"38" 8 "fair"
"39" 8 "good"
"40" 8 "kind"
"41" 8 "little"
"42" 8 "old"
"43" 8 "passionate"
"44" 8 "poor"
"45" 8 "thin"
"46" 9 "busy"
"47" 9 "calm"
"48" 9 "childish"
"49" 9 "fortunate"
"50" 9 "good"
"51" 9 "satisfied"
"52" 9 "sweet"
"53" 10 "beautiful"
"54" 10 "childish"
"55" 10 "excited"
"56" 10 "great"
"57" 10 "little"
"58" 10 "old"
"59" 10 "practical"
"60" 10 "strange"
"61" 10 "thin"
"62" 10 "violent"
"63" 10 "wonderful"
"64" 11 "evil"
"65" 11 "good"
"66" 11 "secure"
"67" 11 "strong"
"68" 11 "terrible"
"69" 11 "worthy"
"70" 12 "alone"
"71" 12 "determined"
"72" 12 "devoted"
"73" 12 "evil"
"74" 12 "feminine"
"75" 12 "firm"
"76" 12 "fortunate"
"77" 12 "happy"
"78" 12 "hard"
"79" 12 "little"
"80" 12 "rude"
"81" 12 "sweet"
"82" 13 "distinguished"
"83" 13 "evil"
"84" 13 "expressive"
"85" 13 "familiar"
"86" 13 "hard"
"87" 13 "kind"
"88" 13 "little"
"89" 13 "natural"
"90" 13 "old"
"91" 14 "alone"
"92" 14 "attractive"
"93" 14 "great"
"94" 14 "happy"
"95" 14 "little"
"96" 14 "natural"
"97" 14 "neglected"
"98" 14 "pretty"
"99" 15 "alone"
"100" 15 "bold"
"101" 15 "capable"
"102" 15 "determined"
"103" 15 "eager"
