"ShannonWiener";"Pielou";"Richness"
"1";2.99573227355399;1;20
"2";3.28172034324206;0.984849619289878;28
"3";3.53947104002767;0.973027410103712;38
"4";3.61460631939004;0.961024728332889;43
"5";3.7103014470906;0.948435487711179;50
"6";3.72724396846394;0.943309052523365;52
"7";3.79622331231708;0.93895008023243;57
"8";3.88155095292167;0.933315718456322;64
"9";3.91554674225859;0.931232576717046;67
"10";3.97079405602053;0.928478853741826;72
"11";3.95299883070641;0.924317849628133;72
"12";3.9449388826737;0.922433216175716;72
"13";3.99834279211102;0.920470049601061;77
"14";4.01607246089975;0.916487460190582;80
"15";4.04435078805803;0.912777704804636;84
"16";4.09626907410118;0.912586526661688;89
"17";4.08352919228388;0.909748274513839;89
"18";4.07525900495192;0.90790580240188;89
"19";4.06395987568651;0.9031403933554;90
"20";4.06820990662288;0.899690429418049;92
"21";4.07843617197488;0.8976824897849;94
"22";4.07887008263038;0.895691776418838;95
"23";4.083848261319;0.892700824272626;97
"24";4.08448278211165;0.890842258121308;98
"25";4.10341412869269;0.889123938089747;101
"26";4.11122754212602;0.8852027384013;104
"27";4.11470797855959;0.884130432787276;105
"28";4.13301159304164;0.88447742030713;107
"29";4.15147530980775;0.88320235098097;110
"30";4.14354645989923;0.88151553404068;110
"31";4.13315526624694;0.879304867716464;110
"32";4.13366314167068;0.876054706045973;112
"33";4.14725436718361;0.874038712249018;115
"34";4.15226012273551;0.875093681090822;115
"35";4.14442466265533;0.873442348707513;115
"36";4.13735873499764;0.871953196182979;115
"37";4.18321870641211;0.872268850492842;121
"38";4.20826024612274;0.871579701544829;125
"39";4.21738918100906;0.870608237406504;127
"40";4.21897117496956;0.86952697025458;128
"41";4.21567184961317;0.86745567500293;129
"42";4.2271938488714;0.867081590473089;131
"43";4.2370551220793;0.866411581461055;133
"44";4.24082066288716;0.86585532318343;134
"45";4.25251881507422;0.865625392783331;136
"46";4.25578065412799;0.864999421397484;137
"47";4.27664957657136;0.864186113552692;141
"48";4.27463085903086;0.863778189631302;141
"49";4.27056924725411;0.862957456383637;141
"50";4.2693948850787;0.862720152048527;141
"51";4.26528937803657;0.860661465475165;142
"52";4.26425924457529;0.860453602398161;142
"53";4.25820681274892;0.859232326563468;142
"54";4.26434847582029;0.860471607716742;142
"55";4.26831969791647;0.86127293150186;142
"56";4.2736525272524;0.861129623360502;143
"57";4.28069718581015;0.860141893732919;145
"58";4.28012121987684;0.858840102112565;146
"59";4.28587361532572;0.859994365658131;146
"60";4.28587382750624;0.859994408233826;146
"61";4.29126562919392;0.85873190773254;148
"62";4.29478837917767;0.858280268530219;149
"63";4.30140456372788;0.858454928618729;150
"64";4.30694857753218;0.858423033518961;151
"65";4.30889585807376;0.858811148315206;151
"66";4.32121346096415;0.860134599744868;152
"67";4.33431931852696;0.860504289131095;154
"68";4.32735120217148;0.859120889900349;154
"69";4.32851250977337;0.857155630489145;156
"70";4.3293586165731;0.856239744514332;157
"71";4.33735577347083;0.856745551476095;158
"72";4.34293823953125;0.856780492641586;159
"73";4.34379253721142;0.85694902959673;159
"74";4.35307414895519;0.858780118008246;159
"75";4.3649717256204;0.859008929834251;161
"76";4.36312108385024;0.858644730955903;161
"77";4.36971772907952;0.858896311961419;162
"78";4.37389138157006;0.859716670381295;162
"79";4.37168992316855;0.859283959478846;162
"80";4.37166114896744;0.859278303723316;162
"81";4.36686068218563;0.8583347408961;162
"82";4.36395507636017;0.857763625258379;162
"83";4.36631618677589;0.857190874040965;163
"84";4.37108252590998;0.858126597024266;163
"85";4.37570913829859;0.859034888991132;163
"86";4.37253950956435;0.858412630613849;163
"87";4.37694099598699;0.859276726073798;163
"88";4.37821458730534;0.858495933034321;164
"89";4.38497778974556;0.858798397311468;165
"90";4.38033403785513;0.857888917977195;165
"91";4.37582341720598;0.857005512411624;165
"92";4.37569731318088;0.85698081492401;165
"93";4.3718976812338;0.856236656576355;165
"94";4.37769599663594;0.857372257305304;165
"95";4.38036006436105;0.856879993793822;166
"96";4.3792398894344;0.85666086671977;166
"97";4.37865573154793;0.856546594559771;166
"98";4.38047619937999;0.856902711966038;166
"99";4.37853968224984;0.856523893156148;166
"100";4.38010609932095;0.856830313502981;166
"101";4.38286437593767;0.856363750441514;167
"102";4.38655646092865;0.856086513988241;168
"103";4.38692334817035;0.855167634286545;169
"104";4.38560529650096;0.854910699063719;169
"105";4.38264730185132;0.854334080534968;169
"106";4.37905960491488;0.853634710598871;169
"107";4.38065178047965;0.853945082333919;169
"108";4.38381844346565;0.853580703603993;170
"109";4.38349831314272;0.85351837048737;170
"110";4.38855581706349;0.853528389953341;171
"111";4.3844860807382;0.852736868633333;171
"112";4.38670053088442;0.852201114667344;172
"113";4.38753743105104;0.851404844960774;173
"114";4.38790128420654;0.850524181214844;174
"115";4.38860211779969;0.850660026549406;174
"116";4.39251249384432;0.850473285054147;175
"117";4.39332949439521;0.850631471773794;175
"118";4.39206592511302;0.850386820923096;175
"119";4.393860428995;0.850734270728577;175
"120";4.39873575396902;0.850739651875967;176
"121";4.39699581789242;0.850403138683339;176
"122";4.39635621483185;0.849348732546377;177
"123";4.39889715486278;0.849839626388752;177
"124";4.40147757853262;0.850338148225088;177
"125";4.40118956959078;0.850282506685195;177
"126";4.4021674041007;0.849546755740611;178
"127";4.40087099112494;0.849296569108308;178
"128";4.4030833398459;0.848805834894376;179
"129";4.40612556496784;0.849392300840001;179
"130";4.41047858551219;0.849319320794302;180
"131";4.41047858551219;0.849319320794302;180
