"affectionate" "certain" "civil" "cold" "constant" "determined" "eager" "earnest" "easy" "general" "grateful" "handsome" "impatient" "indifferent" "kind" "lively" "natural" "particular" "pleasant" "proud" "reasonable" "second" "sensible" "serious" "silent" "steady" "strong" "sure" "true" "unhappy" "vain" "violent"
"affectionate" 0 2 0 0 3 1 1 3 3 4 2 2 1 1 3 2 3 1 1 2 4 2 1 2 1 2 4 7 5 1 2 2
"certain" 2 0 2 4 4 5 5 3 5 15 4 6 2 2 5 2 6 7 7 3 2 8 6 5 6 3 4 18 7 5 4 3
"civil" 0 2 0 2 0 1 2 0 3 6 0 5 1 2 1 1 3 2 4 5 2 2 4 4 1 1 1 10 2 0 1 1
"cold" 0 4 2 0 0 1 2 1 2 3 0 1 1 3 3 0 1 2 3 2 2 5 1 2 3 2 1 5 2 2 2 0
"constant" 3 4 0 0 0 2 1 0 1 4 1 1 1 0 1 0 3 0 0 1 1 4 2 3 0 0 1 4 5 3 1 2
"determined" 1 5 1 1 2 0 2 1 2 5 1 1 1 1 2 1 0 3 0 1 3 2 1 0 0 0 1 4 0 1 1 2
"eager" 1 5 2 2 1 2 0 1 1 4 2 1 1 1 4 2 2 3 0 1 1 2 2 2 2 0 0 4 1 1 0 0
"earnest" 3 3 0 1 0 1 1 0 1 3 3 1 1 1 4 3 0 0 0 3 1 1 2 0 2 0 0 6 0 2 3 2
"easy" 3 5 3 2 1 2 1 1 0 5 1 4 2 3 1 2 4 4 3 2 1 6 5 1 3 0 2 10 1 1 3 1
"general" 4 15 6 3 4 5 4 3 5 0 4 11 3 4 3 7 7 14 5 6 4 4 10 3 3 3 6 20 7 4 4 4
"grateful" 2 4 0 0 1 1 2 3 1 4 0 0 2 1 1 0 2 2 0 1 1 0 1 0 1 1 3 5 1 1 2 2
"handsome" 2 6 5 1 1 1 1 1 4 11 0 0 1 1 2 4 4 4 6 7 0 4 5 1 4 3 1 13 6 0 3 1
"impatient" 1 2 1 1 1 1 1 1 2 3 2 1 0 1 2 0 1 0 0 1 1 2 3 0 3 2 0 6 1 0 2 3
"indifferent" 1 2 2 3 0 1 1 1 3 4 1 1 1 0 2 0 4 3 0 1 0 2 3 1 5 3 2 7 1 3 2 2
"kind" 3 5 1 3 1 2 4 4 1 3 1 2 2 2 0 2 3 1 1 2 2 3 3 4 5 1 0 8 2 2 2 2
"lively" 2 2 1 0 0 1 2 3 2 7 0 4 0 0 2 0 1 4 4 5 1 5 3 1 1 2 1 4 2 2 0 3
"natural" 3 6 3 1 3 0 2 0 4 7 2 4 1 4 3 1 0 5 4 3 2 3 4 3 2 2 4 10 3 4 3 2
"particular" 1 7 2 2 0 3 3 0 4 14 2 4 0 3 1 4 5 0 4 4 3 4 5 1 3 2 6 10 4 2 3 3
"pleasant" 1 7 4 3 0 0 0 0 3 5 0 6 0 0 1 4 4 4 0 2 0 7 1 1 1 2 4 8 3 2 1 1
"proud" 2 3 5 2 1 1 1 3 2 6 1 7 1 1 2 5 3 4 2 0 3 4 3 3 1 1 0 11 5 1 3 2
"reasonable" 4 2 2 2 1 3 1 1 1 4 1 0 1 0 2 1 2 3 0 3 0 2 2 2 1 0 1 8 3 1 1 2
"second" 2 8 2 5 4 2 2 1 6 4 0 4 2 2 3 5 3 4 7 4 2 0 7 3 4 3 2 11 5 1 4 2
"sensible" 1 6 4 1 2 1 2 2 5 10 1 5 3 3 3 3 4 5 1 3 2 7 0 3 7 4 2 17 6 2 1 1
"serious" 2 5 4 2 3 0 2 0 1 3 0 1 0 1 4 1 3 1 1 3 2 3 3 0 3 0 0 8 4 3 1 0
"silent" 1 6 1 3 0 0 2 2 3 3 1 4 3 5 5 1 2 3 1 1 1 4 7 3 0 3 0 14 5 2 4 2
"steady" 2 3 1 2 0 0 0 0 0 3 1 3 2 3 1 2 2 2 2 1 0 3 4 0 3 0 3 5 2 2 1 1
"strong" 4 4 1 1 1 1 0 0 2 6 3 1 0 2 0 1 4 6 4 0 1 2 2 0 0 3 0 6 2 2 1 3
"sure" 7 18 10 5 4 4 4 6 10 20 5 13 6 7 8 4 10 10 8 11 8 11 17 8 14 5 6 0 12 5 7 4
"true" 5 7 2 2 5 0 1 0 1 7 1 6 1 1 2 2 3 4 3 5 3 5 6 4 5 2 2 12 0 3 2 2
"unhappy" 1 5 0 2 3 1 1 2 1 4 1 0 0 3 2 2 4 2 2 1 1 1 2 3 2 2 2 5 3 0 3 2
"vain" 2 4 1 2 1 1 0 3 3 4 2 3 2 2 2 0 3 3 1 3 1 4 1 1 4 1 1 7 2 3 0 1
"violent" 2 3 1 0 2 2 0 2 1 4 2 1 3 2 2 3 2 3 1 2 2 2 1 0 2 1 3 4 2 2 1 0
