"calm" "certain" "cheerful" "christian" "close" "cold" "constant" "contrary" "eager" "easy" "faithful" "firm" "free" "fresh" "general" "grave" "handsome" "heavy" "honest" "just" "melancholy" "merry" "natural" "open" "particular" "pensive" "pleasant" "quiet" "religious" "sad" "second" "sensible" "serious" "sincere" "smooth" "strong" "sudden" "sufficient" "sure" "swift" "thankful" "true" "ugly" "unhappy" "violent" "weak" "willing" "wise"
"calm" 0 1 1 1 2 0 0 3 2 2 1 1 1 7 1 2 0 1 0 0 2 1 0 5 1 2 2 3 1 2 5 0 2 0 3 7 4 1 3 0 1 3 0 1 2 1 1 2
"certain" 1 0 2 2 2 2 3 0 2 1 2 0 0 1 1 0 1 2 2 2 1 0 1 1 5 2 1 1 2 2 5 2 3 1 0 1 1 2 9 0 3 6 1 1 1 1 2 3
"cheerful" 1 2 0 0 3 1 0 1 0 3 0 0 0 2 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 1 0 2 2 0 1 3 0 2 3 0 0 0 0 0 1
"christian" 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 2 1 1 0 2 2 0 0 0 0 0 2
"close" 2 2 3 1 0 0 1 3 2 6 0 1 0 4 1 1 1 1 2 0 0 0 0 1 2 1 3 0 0 1 3 0 1 0 2 5 1 0 4 0 2 3 1 0 1 1 1 2
"cold" 0 2 1 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 0 0 0 1 0 0 2 0 0 1 2 1 0 0 0 2 0 1 2 0 1 1 0 0 1 1 1 0
"constant" 0 3 0 0 1 1 0 0 0 2 0 1 0 2 3 0 1 0 0 2 1 0 1 0 2 1 1 0 1 1 3 1 2 0 1 4 1 3 4 0 0 2 0 2 1 1 0 1
"contrary" 3 0 1 0 3 0 0 0 1 3 1 0 1 4 0 1 0 0 1 0 0 0 0 0 1 0 2 1 0 1 2 0 1 0 1 3 0 0 3 0 1 3 0 0 1 0 1 1
"eager" 2 2 0 0 2 1 0 1 0 2 0 0 0 2 1 0 1 0 0 0 0 0 0 2 1 0 2 1 0 0 3 1 1 0 0 3 0 1 4 0 1 1 0 0 1 0 1 0
"easy" 2 1 3 0 6 1 2 3 2 0 3 2 2 3 2 4 4 3 3 0 1 1 2 2 6 0 4 1 2 2 4 2 5 2 1 8 3 2 9 2 6 12 0 1 2 1 6 2
"faithful" 1 2 0 0 0 0 0 1 0 3 0 0 0 1 2 0 1 0 3 1 1 1 0 0 1 0 1 3 1 0 2 0 0 2 0 2 0 1 3 0 1 3 0 0 0 0 3 0
"firm" 1 0 0 0 1 0 1 0 0 2 0 0 0 2 0 1 1 0 0 0 0 0 0 2 1 1 0 2 2 1 1 0 2 0 1 4 1 0 0 1 0 1 1 1 1 0 2 0
"free" 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 1 0 2 1 0 0 0 1 1 0 0 0 0 0 0 3 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 2 1
"fresh" 7 1 2 0 4 1 2 4 2 3 1 2 1 0 0 1 1 2 2 0 1 1 0 4 2 2 5 3 0 1 4 1 1 0 4 12 2 0 5 0 1 4 2 1 2 1 3 1
"general" 1 1 0 0 1 1 3 0 1 2 2 0 0 0 0 0 2 0 2 2 0 0 0 1 2 0 0 2 1 2 4 0 0 0 3 2 0 3 2 0 3 1 0 0 1 1 2 0
"grave" 2 0 1 0 1 0 0 1 0 4 0 1 1 1 0 0 1 0 1 0 1 1 2 1 2 0 1 0 2 2 1 0 2 0 1 2 0 1 1 1 0 3 0 1 0 0 2 2
"handsome" 0 1 0 0 1 1 1 0 1 4 1 1 0 1 2 1 0 2 2 1 0 1 0 1 4 0 1 2 0 1 2 0 2 1 1 4 0 1 4 1 4 3 2 0 1 1 3 0
