"busy" "certain" "cheerful" "cold" "eager" "easy" "friendly" "general" "gentle" "grateful" "handsome" "kind" "natural" "obliging" "open" "particular" "pleasant" "quick" "quiet" "reasonable" "sad" "second" "sensible" "serious" "severe" "silent" "simple" "strong" "sure" "sweet" "true" "unhappy" "vain"
"busy" 0 3 2 3 5 1 2 9 0 4 2 6 4 2 1 4 3 5 1 4 2 3 4 1 1 2 3 4 11 3 3 2 1
"certain" 3 0 1 3 2 3 4 6 0 2 2 5 5 2 3 6 4 3 4 2 3 3 1 1 2 5 1 9 14 2 7 3 2
"cheerful" 2 1 0 6 1 6 6 12 5 0 8 5 8 0 6 2 8 1 3 3 5 3 4 3 2 5 2 6 14 2 8 3 3
"cold" 3 3 6 0 4 6 3 7 2 3 3 8 6 5 4 5 6 4 4 6 7 5 4 5 2 6 3 4 20 4 6 0 1
"eager" 5 2 1 4 0 5 1 5 2 2 4 3 0 1 2 2 3 2 2 0 2 1 3 1 1 3 2 2 12 3 5 3 2
"easy" 1 3 6 6 5 0 3 8 5 1 8 4 7 2 3 5 6 2 3 4 4 3 4 3 4 3 1 8 16 4 4 1 6
"friendly" 2 4 6 3 1 3 0 6 0 1 1 5 2 0 5 1 5 1 1 1 2 2 1 2 4 5 1 4 9 2 7 2 2
"general" 9 6 12 7 5 8 6 0 3 4 13 14 12 6 10 10 11 7 6 5 6 11 8 6 5 5 5 11 33 13 11 3 7
"gentle" 0 0 5 2 2 5 0 3 0 1 3 4 5 3 1 0 4 2 3 1 3 1 3 1 2 1 0 1 9 1 4 1 2
"grateful" 4 2 0 3 2 1 1 4 1 0 2 5 5 3 1 4 4 2 1 4 2 4 1 1 2 0 2 1 6 1 3 1 1
"handsome" 2 2 8 3 4 8 1 13 3 2 0 7 6 2 4 7 8 4 5 5 3 5 2 2 4 2 2 5 13 4 7 2 5
"kind" 6 5 5 8 3 4 5 14 4 5 7 0 14 7 5 11 6 7 5 5 8 4 7 4 6 4 5 10 34 6 10 3 3
"natural" 4 5 8 6 0 7 2 12 5 5 6 14 0 2 3 15 6 7 9 7 8 7 7 5 5 7 6 11 24 5 8 4 2
"obliging" 2 2 0 5 1 2 0 6 3 3 2 7 2 0 4 6 2 4 1 1 1 0 0 2 0 2 2 2 15 1 4 0 2
"open" 1 3 6 4 2 3 5 10 1 1 4 5 3 4 0 3 7 2 5 3 2 5 2 5 3 6 1 4 15 4 9 4 5
"particular" 4 6 2 5 2 5 1 10 0 4 7 11 15 6 3 0 5 2 4 5 7 9 4 2 4 1 6 6 21 5 8 3 2
"pleasant" 3 4 8 6 3 6 5 11 4 4 8 6 6 2 7 5 0 4 4 4 6 4 5 6 5 4 1 4 21 9 10 1 3
"quick" 5 3 1 4 2 2 1 7 2 2 4 7 7 4 2 2 4 0 4 3 3 1 3 1 2 3 1 5 15 3 5 1 2
"quiet" 1 4 3 4 2 3 1 6 3 1 5 5 9 1 5 4 4 4 0 4 5 4 2 1 3 2 0 9 14 4 7 2 3
"reasonable" 4 2 3 6 0 4 1 5 1 4 5 5 7 1 3 5 4 3 4 0 2 4 1 2 4 2 3 5 10 2 5 1 1
"sad" 2 3 5 7 2 4 2 6 3 2 3 8 8 1 2 7 6 3 5 2 0 3 3 4 5 2 2 5 12 2 6 1 2
"second" 3 3 3 5 1 3 2 11 1 4 5 4 7 0 5 9 4 1 4 4 3 0 1 0 4 3 3 5 12 4 3 4 0
"sensible" 4 1 4 4 3 4 1 8 3 1 2 7 7 0 2 4 5 3 2 1 3 1 0 4 2 3 3 5 18 1 3 4 2
"serious" 1 1 3 5 1 3 2 6 1 1 2 4 5 2 5 2 6 1 1 2 4 0 4 0 2 5 3 4 15 3 4 1 3
"severe" 1 2 2 2 1 4 4 5 2 2 4 6 5 0 3 4 5 2 3 4 5 4 2 2 0 1 2 6 10 3 9 4 2
"silent" 2 5 5 6 3 3 5 5 1 0 2 4 7 2 6 1 4 3 2 2 2 3 3 5 1 0 3 7 15 4 1 1 3
"simple" 3 1 2 3 2 1 1 5 0 2 2 5 6 2 1 6 1 1 0 3 2 3 3 3 2 3 0 4 7 1 1 3 1
"strong" 4 9 6 4 2 8 4 11 1 1 5 10 11 2 4 6 4 5 9 5 5 5 5 4 6 7 4 0 21 6 7 5 5
"sure" 11 14 14 20 12 16 9 33 9 6 13 34 24 15 15 21 21 15 14 10 12 12 18 15 10 15 7 21 0 14 28 8 9
"sweet" 3 2 2 4 3 4 2 13 1 1 4 6 5 1 4 5 9 3 4 2 2 4 1 3 3 4 1 6 14 0 6 2 2
"true" 3 7 8 6 5 4 7 11 4 3 7 10 8 4 9 8 10 5 7 5 6 3 3 4 9 1 1 7 28 6 0 6 3
"unhappy" 2 3 3 0 3 1 2 3 1 1 2 3 4 0 4 3 1 1 2 1 1 4 4 1 4 1 3 5 8 2 6 0 1
"vain" 1 2 3 1 2 6 2 7 2 1 5 3 2 2 5 2 3 2 3 1 2 0 2 3 2 3 1 5 9 2 3 1 0
