"busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "curious" "delicate" "eager" "earnest" "easy" "expressive" "familiar" "fearful" "fierce" "free" "fresh" "general" "gentle" "gloomy" "grateful" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "humble" "hurried" "impatient" "intense" "kind" "lively" "lonely" "loud" "merry" "mute" "natural" "neat" "open" "particular" "pleasant" "proud" "quick" "quiet" "rapid" "rough" "sad" "second" "silent" "simple" "slow" "soft" "solemn" "strong" "sudden" "sure" "sweet" "true" "ugly" "violent" "weak"
"busy" 0 0 0 1 0 0 0 2 0 2 0 1 0 0 0 0 1 1 0 0 1 2 0 0 0 1 4 1 0 1 1 2 0 0 1 1 2 0 2 0 0 3 1 1 2 4 0 3 0 1 0 1 0 0 0 0 2 1 1 1 1 0 2 1
"calm" 0 0 0 2 2 0 2 4 0 0 1 1 2 1 0 2 0 0 1 0 3 1 0 0 0 0 5 0 1 0 0 0 0 2 1 2 1 1 0 0 1 1 0 1 1 1 3 1 1 0 3 2 2 0 2 3 3 2 2 1 1 0 0 3
"careful" 0 0 0 1 1 0 1 3 1 0 0 3 2 0 0 1 0 3 2 1 2 0 2 0 0 0 3 0 2 1 0 1 0 1 0 1 1 0 0 1 1 0 2 0 0 0 1 1 1 1 2 1 1 1 0 0 1 2 2 1 1 1 1 1
"certain" 1 2 1 0 2 1 2 12 1 3 1 1 1 0 3 0 2 1 3 3 3 3 1 2 3 0 4 0 2 0 0 1 0 3 1 2 3 0 1 1 1 5 4 2 1 1 8 4 2 1 6 3 2 0 2 1 10 4 6 4 3 1 4 0
"cheerful" 0 2 1 2 0 2 1 3 2 0 0 3 1 0 0 1 0 0 2 0 2 1 1 2 0 0 4 1 3 0 1 1 0 1 0 0 0 0 0 0 0 5 0 2 0 1 1 0 3 1 1 4 1 1 4 2 4 2 8 2 2 1 1 1
"clean" 0 0 0 1 2 0 2 3 1 2 1 1 0 0 0 1 0 0 1 1 4 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 3 0 2 2 0 3 1 0 0 2 1 1 0 0 2 1 2 3 4 2 1 1 1 2
"close" 0 2 1 2 1 2 0 7 1 1 2 2 2 4 1 2 1 2 3 2 2 3 0 2 1 2 5 1 0 1 2 1 0 0 1 4 5 0 1 0 1 6 3 2 0 2 4 0 3 0 5 5 0 2 2 4 5 2 4 4 1 3 3 2
"cold" 2 4 3 12 3 3 7 0 0 1 4 4 2 1 3 3 2 4 4 4 8 6 5 2 2 2 9 1 0 2 1 2 2 5 1 7 10 1 0 1 5 10 7 1 1 4 8 5 3 4 7 7 0 4 3 0 12 5 11 7 5 4 6 5
"curious" 0 0 1 1 2 1 1 0 0 1 0 1 2 1 1 0 1 2 0 2 1 0 0 0 2 2 2 0 2 0 0 1 0 0 2 0 0 2 1 1 1 0 1 1 0 1 2 0 2 1 0 1 0 1 0 0 4 4 4 0 0 1 3 0
"delicate" 2 0 0 3 0 2 1 1 1 0 1 1 0 1 3 0 0 1 1 1 2 3 1 1 1 0 1 1 2 0 0 0 1 1 0 0 0 0 1 1 2 1 2 4 1 1 2 1 1 2 0 2 0 0 1 0 5 4 1 1 2 0 2 1
