"affectionate" "certain" "cheerful" "close" "cold" "curious" "easy" "exact" "familiar" "free" "fresh" "general" "gentle" "graceful" "handsome" "heavy" "honest" "indifferent" "melancholy" "natural" "open" "particular" "pleasant" "political" "practical" "proud" "quick" "quiet" "rapid" "sensible" "silent" "simple" "slow" "steady" "stern" "strong" "sufficient" "sure" "true" "violent" "weak"
"affectionate" 0 1 1 0 2 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 3 0 0 3 1 1 4 2 0 0 0 0 1 0 2 0 4 2 0 0
"certain" 1 0 3 1 4 0 0 0 0 1 1 6 3 0 1 3 2 1 3 1 2 2 2 1 0 0 3 6 1 1 1 1 3 1 3 3 1 4 5 1 2
"cheerful" 1 3 0 0 4 3 1 0 2 0 1 0 1 1 1 2 1 0 2 4 1 1 1 1 1 1 1 4 0 2 0 2 2 1 1 1 0 4 4 0 1
"close" 0 1 0 0 2 1 0 0 0 2 1 1 1 0 0 1 2 0 1 1 0 1 1 0 1 0 0 1 0 0 1 0 1 0 0 1 1 4 1 3 1
"cold" 2 4 4 2 0 2 1 1 0 2 0 1 0 2 1 4 0 3 4 4 1 3 0 2 2 3 1 3 1 0 0 2 1 1 0 2 0 6 4 1 0
"curious" 0 0 3 1 2 0 1 0 2 2 1 2 1 2 1 2 1 1 0 2 1 3 0 0 1 2 0 2 0 2 0 4 2 1 1 2 1 6 1 1 1
"easy" 0 0 1 0 1 1 0 1 0 1 1 3 0 0 1 3 1 2 1 2 0 1 2 1 0 0 0 0 0 0 1 1 2 0 0 3 0 3 2 0 0
"exact" 1 0 0 0 1 0 1 0 0 1 0 1 0 1 1 1 0 1 0 2 0 2 1 1 2 1 0 1 1 0 1 0 1 1 1 2 1 1 1 0 0
"familiar" 0 0 2 0 0 2 0 0 0 0 1 2 0 1 0 3 0 0 0 1 0 0 1 0 0 1 1 2 0 1 1 0 0 1 0 0 0 2 1 0 1
"free" 0 1 0 2 2 2 1 1 0 0 1 3 3 1 1 1 3 2 1 3 0 0 0 1 1 3 0 3 0 0 1 1 1 0 0 2 1 4 3 1 1
"fresh" 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 3 1 2 1 2 0 1 0 1 0 2 3 0 0 2 1 2 0 0 0 0 5 1 0 1
"general" 0 6 0 1 1 2 3 1 2 3 1 0 2 0 0 4 2 2 2 4 4 5 5 2 2 0 3 5 0 2 4 4 5 0 3 9 1 9 6 1 2
