"certain" "cheerful" "close" "cold" "curious" "delicate" "easy" "expressive" "free" "fresh" "friendly" "general" "generous" "gloomy" "gracious" "handsome" "heavy" "honest" "kind" "natural" "open" "original" "particular" "pleasant" "proud" "quick" "quiet" "second" "silent" "slow" "strong" "sure" "sweet" "thankful" "true" "weak"
"certain" 0 5 7 7 6 9 10 8 9 9 9 18 6 5 6 8 14 10 10 13 21 7 14 7 10 6 14 10 9 5 19 40 6 3 24 8
"cheerful" 5 0 2 2 1 2 3 2 0 1 0 4 0 0 3 0 4 1 1 4 4 0 3 4 1 4 2 3 1 1 2 8 3 0 4 3
"close" 7 2 0 4 1 1 4 0 0 1 1 4 0 0 0 2 7 2 2 2 4 3 4 2 0 3 4 4 2 3 4 4 2 3 1 1
"cold" 7 2 4 0 2 2 2 1 5 0 1 7 1 2 2 3 8 5 5 6 8 3 5 3 3 2 5 6 4 2 10 11 4 3 6 5
"curious" 6 1 1 2 0 1 0 0 0 1 0 3 2 2 1 1 3 4 2 3 2 3 2 0 4 2 1 5 3 0 4 9 1 0 3 0
"delicate" 9 2 1 2 1 0 0 2 3 0 2 4 3 2 4 3 4 0 1 4 1 2 5 0 3 2 2 4 4 3 2 15 2 2 8 5
"easy" 10 3 4 2 0 0 0 3 5 5 3 4 3 0 2 1 4 3 1 10 10 3 6 4 4 3 5 2 4 1 6 16 3 2 8 4
"expressive" 8 2 0 1 0 2 3 0 0 0 3 2 0 0 2 4 2 1 2 3 8 3 1 3 1 1 2 3 1 1 6 7 1 2 6 4
"free" 9 0 0 5 0 3 5 0 0 2 3 5 2 3 2 3 4 4 3 4 6 3 1 3 5 2 1 4 4 1 5 7 2 3 9 4
"fresh" 9 1 1 0 1 0 5 0 2 0 1 3 1 2 1 1 1 4 6 5 4 4 2 2 1 4 3 2 2 1 5 9 5 3 2 2
"friendly" 9 0 1 1 0 2 3 3 3 1 0 3 1 1 0 2 3 2 1 1 6 0 1 2 2 0 2 2 2 2 4 5 3 0 6 3
"general" 18 4 4 7 3 4 4 2 5 3 3 0 0 6 2 4 6 4 2 3 8 4 6 5 5 5 6 6 1 0 7 16 3 3 9 2
