"affectionate" "awkward" "benevolent" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "constant" "cunning" "curious" "delicate" "dignified" "domestic" "earnest" "easy" "enthusiastic" "expressive" "faithful" "fearful" "fierce" "fresh" "friendly" "general" "gentle" "gloomy" "grateful" "grave" "handsome" "hearty" "heavy" "honest" "humble" "hurried" "intense" "intimate" "kind" "lively" "lonely" "loud" "majestic" "melancholy" "merry" "natural" "neat" "nervous" "open" "particular" "pleasant" "precise" "proud" "quiet" "rapid" "reasonable" "restless" "rusty" "second" "serious" "silent" "slow" "soft" "solemn" "stern" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "true" "uncertain" "unhappy" "violent" "wise"
"affectionate" 0 1 1 2 0 0 4 2 1 0 3 1 1 0 0 0 2 0 0 0 1 2 0 1 1 0 0 1 1 0 1 2 0 3 0 0 0 1 0 1 0 0 1 0 1 0 3 2 0 3 2 3 1 2 1 0 2 0 0 0 0 1 2 0 2 0 0 4 3 1 3 1 2 1 0 2 0
"awkward" 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 0 0 0 1 0 1 1 1 1 1 1 3 0 3 0 1 0 1 1 0 1 1 2 1 3 0 0 0 1 0 0 2 2 2 0 2 0 0 0 0 0 2 1 0 0 0 1 0 0 2 0 0 3 1 0 2 2 1 0
"benevolent" 1 1 0 1 0 0 2 1 2 0 2 3 0 1 0 1 1 0 2 0 1 0 0 1 2 1 2 1 1 1 1 0 1 2 0 1 0 0 0 1 0 0 2 0 3 2 1 0 0 2 3 2 1 0 2 0 0 1 1 1 1 2 0 1 3 0 0 0 0 1 3 0 0 0 1 0 0
"busy" 2 0 1 0 1 0 5 1 4 2 8 0 1 2 3 2 0 1 4 1 0 1 0 0 5 1 2 0 1 0 0 0 1 3 1 0 1 1 0 0 0 1 4 1 3 0 2 2 0 2 4 2 0 2 4 1 1 5 1 1 0 5 1 0 2 2 0 2 4 2 3 0 1 0 0 1 0
"calm" 0 0 0 1 0 2 1 1 0 2 1 1 0 1 0 1 0 1 1 0 1 2 0 1 2 1 5 2 1 0 1 0 0 1 1 1 0 1 0 0 2 0 2 0 0 1 1 0 0 5 3 3 0 2 0 1 0 1 0 0 1 1 0 1 1 1 0 4 2 0 0 0 1 0 0 3 0
"careful" 0 0 0 0 2 0 4 2 0 1 2 0 0 1 1 1 2 0 0 0 1 1 0 0 2 2 2 1 0 2 1 1 1 3 2 1 1 0 2 2 5 0 2 1 2 0 8 2 1 4 6 5 1 1 4 0 0 0 1 3 1 1 1 1 2 1 1 2 2 1 3 3 4 1 2 0 2
"certain" 4 0 2 5 1 4 0 4 3 3 6 1 1 8 1 1 1 2 1 4 0 1 1 1 6 0 3 2 2 2 1 1 3 6 1 0 2 1 0 2 2 1 6 1 4 0 5 1 2 9 11 7 1 4 8 0 2 2 5 7 4 3 4 0 4 1 0 5 6 1 8 5 9 3 0 6 1
"cheerful" 2 0 1 1 1 2 4 0 2 2 5 2 0 3 2 0 1 1 3 0 1 1 0 2 1 2 1 3 1 1 2 1 1 2 0 1 1 1 1 1 4 2 6 0 4 4 2 4 2 3 4 7 1 0 7 0 2 0 0 2 4 2 0 1 4 1 1 4 3 2 3 1 5 1 4 3 2
"clean" 1 0 2 4 0 0 3 2 0 1 5 1 0 3 0 1 1 0 2 0 1 0 1 0 2 2 1 0 1 0 0 0 1 4 0 1 1 1 0 3 1 0 4 1 0 0 1 3 0 3 5 4 2 0 4 0 2 1 0 2 0 2 0 1 3 0 0 2 1 2 3 0 0 0 1 1 0
"close" 0 1 0 2 2 1 3 2 1 0 9 2 2 4 1 0 3 2 3 0 2 1 3 4 5 0 2 2 2 0 1 3 1 6 1 1 0 3 0 1 5 1 9 3 1 1 2 0 1 13 4 1 2 2 8 1 0 2 1 3 2 6 1 2 4 1 2 6 5 0 2 2 1 3 1 4 1
"cold" 3 1 2 8 1 2 6 5 5 9 0 5 4 6 3 2 1 2 9 4 2 5 2 3 7 4 5 5 3 2 1 4 4 15 2 2 3 5 4 3 5 7 16 2 7 5 4 5 4 17 9 7 1 5 13 4 1 7 2 12 2 7 4 1 10 1 5 8 9 3 17 8 9 1 4 5 2
"constant" 1 1 3 0 1 0 1 2 1 2 5 0 0 1 0 1 2 0 1 0 2 1 0 2 0 1 2 0 0 1 2 1 2 1 0 0 0 2 0 1 0 1 3 1 2 0 2 1 2 2 3 4 0 1 3 1 1 0 1 5 1 1 0 0 2 0 1 1 1 1 3 1 1 0 2 3 0
"cunning" 1 1 0 1 0 0 1 0 0 2 4 0 0 1 0 0 2 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 4 0 1 2 0 1 1 0 2 2 1 0 1 2 1 2 3 2 1 1 2 1 0 0 1 0 1 1 1 1 0 2 0 2 1 2 0 2 1 1 0 0 0 2
"curious" 0 0 1 2 1 1 8 3 3 4 6 1 1 0 4 2 1 2 2 0 1 1 0 0 3 2 2 1 2 0 0 3 1 4 1 0 1 1 1 0 2 1 4 1 1 1 5 0 1 6 8 6 4 2 2 1 1 3 2 5 0 1 2 1 3 0 1 1 4 1 8 3 4 1 1 3 1
"delicate" 0 0 0 3 0 1 1 2 0 1 3 0 0 4 0 0 1 2 0 1 0 1 2 0 2 0 0 2 0 0 0 2 0 3 3 1 0 2 0 0 0 0 3 1 0 0 2 1 0 2 2 2 1 1 1 2 0 3 0 4 0 2 1 1 3 1 1 2 3 0 1 0 4 1 0 0 2
"dignified" 0 0 1 2 1 1 1 0 1 0 2 1 0 2 0 0 0 1 1 0 1 0 0 1 0 2 2 1 3 0 2 0 0 0 1 0 0 0 0 0 0 0 3 1 1 0 2 0 0 1 2 2 1 2 0 1 1 1 1 1 1 0 0 0 3 2 0 0 1 1 3 0 0 0 0 1 1
"domestic" 2 1 1 0 0 2 1 1 1 3 1 2 2 1 1 0 0 1 4 2 1 1 0 2 1 0 3 0 0 0 0 1 0 3 0 0 1 0 1 2 1 0 3 2 1 0 4 2 1 3 6 3 1 2 2 0 1 1 2 4 1 5 1 1 0 1 1 3 0 1 2 0 2 1 1 0 1
"earnest" 0 1 0 1 1 0 2 1 0 2 2 0 2 2 2 1 1 0 1 0 0 0 0 0 2 0 1 0 2 1 0 1 0 2 0 1 1 0 1 0 1 0 3 1 0 0 1 0 0 3 1 3 0 0 1 2 0 0 0 6 2 0 3 0 0 3 0 0 1 0 0 1 1 0 0 1 0
"easy" 0 0 2 4 1 0 1 3 2 3 9 1 1 2 0 1 4 1 0 1 1 2 1 1 4 1 3 5 3 1 0 2 3 3 0 2 2 1 1 2 2 1 3 0 2 3 2 0 1 9 4 2 1 1 6 0 2 1 2 6 0 1 1 0 3 1 2 4 1 1 6 2 4 1 2 0 0
"enthusiastic" 0 0 0 1 0 0 4 0 0 0 4 0 0 0 1 0 2 0 1 0 1 3 1 0 2 0 5 2 0 0 1 0 1 2 0 1 0 2 2 2 0 2 5 1 2 0 0 2 0 1 2 3 0 1 3 2 0 1 1 4 1 3 0 0 0 1 2 1 4 3 4 3 2 1 1 3 0
"expressive" 1 0 1 0 1 1 0 1 1 2 2 2 1 1 0 1 1 0 1 1 0 1 0 1 2 0 4 1 1 2 2 1 0 2 2 0 0 2 0 1 2 0 4 0 1 1 2 1 0 4 5 2 2 1 1 0 1 0 2 4 1 1 0 1 2 0 3 6 2 0 1 0 3 0 2 0 2
"faithful" 2 1 0 1 2 1 1 1 0 1 5 1 1 1 1 0 1 0 2 3 1 0 1 1 2 2 2 1 0 0 1 1 1 3 0 1 0 3 0 1 1 1 5 2 2 0 0 1 1 6 1 4 0 2 0 3 1 1 2 0 0 2 0 0 1 1 1 2 5 2 5 1 3 0 1 1 1
"fearful" 0 0 0 0 0 0 1 0 1 3 2 0 0 0 2 0 0 0 1 1 0 1 0 1 1 1 2 0 1 0 1 1 1 2 0 1 1 1 0 0 0 1 2 0 1 0 1 0 0 3 1 1 0 2 2 0 2 0 0 0 0 2 1 0 2 1 0 3 3 1 2 0 2 2 1 1 1
