"affectionate" "certain" "cheerful" "cold" "constant" "determined" "eager" "easy" "fearful" "fresh" "general" "generous" "gentle" "handsome" "honest" "impatient" "kind" "natural" "open" "partial" "particular" "pleasant" "positive" "quick" "quiet" "second" "sensible" "severe" "silent" "simple" "sincere" "strong" "sudden" "sure" "sweet" "true" "violent" "vain"
"affectionate" 0 2 2 2 1 1 3 3 1 0 2 0 0 2 1 0 2 2 2 2 0 1 1 1 1 2 3 2 3 0 0 2 2 4 1 2 0 2
"certain" 2 0 1 0 2 0 3 1 0 0 2 0 1 1 0 1 1 1 4 0 1 2 3 2 3 2 2 1 2 0 2 0 1 6 1 1 0 1
"cheerful" 2 1 0 1 2 0 3 2 0 1 2 0 1 2 3 0 2 1 2 1 1 0 1 1 1 1 1 1 1 2 1 1 3 4 1 2 0 0
"cold" 2 0 1 0 1 1 2 2 3 2 2 0 0 1 1 0 1 0 2 2 0 1 0 2 1 2 1 0 2 0 0 3 2 2 2 0 2 2
"constant" 1 2 2 1 0 0 1 2 0 1 1 0 0 2 0 0 0 1 3 1 1 1 0 1 0 2 0 0 1 1 1 2 1 5 0 1 0 0
"determined" 1 0 0 1 0 0 2 2 1 0 2 0 0 3 0 0 0 1 2 1 3 0 1 1 0 1 0 0 1 0 0 2 0 5 2 2 0 1
"eager" 3 3 3 2 1 2 0 3 1 2 1 1 1 3 0 1 1 3 2 3 1 0 1 2 1 3 3 1 3 1 0 2 3 5 4 1 0 3
"easy" 3 1 2 2 2 2 3 0 3 2 3 1 0 3 1 2 2 3 1 1 3 0 0 1 0 1 0 1 1 1 0 2 1 6 1 2 0 2
"fearful" 1 0 0 3 0 1 1 3 0 0 5 0 0 3 0 0 2 1 4 1 2 2 1 1 0 4 1 1 1 0 0 1 2 1 2 1 3 2
"fresh" 0 0 1 2 1 0 2 2 0 0 3 1 1 1 2 2 0 2 4 1 1 3 0 3 1 2 0 1 1 0 0 1 2 4 2 0 2 1
"general" 2 2 2 2 1 2 1 3 5 3 0 2 2 5 3 2 4 5 7 0 7 4 4 3 3 3 3 3 2 4 2 2 6 10 3 3 3 0
"generous" 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 2 1 2 1 0 1 1 0 0 0 0 1 1 1 1 0 1 2 3 2 0 0 1
"gentle" 0 1 1 0 0 0 1 0 0 1 2 0 0 1 2 0 1 0 1 1 0 0 1 2 1 2 0 0 0 2 2 0 2 6 1 1 0 0
"handsome" 2 1 2 1 2 3 3 3 3 1 5 0 1 0 2 1 2 1 2 2 4 3 1 1 0 6 0 0 1 3 0 3 4 11 1 3 2 1
"honest" 1 0 3 1 0 0 0 1 0 2 3 0 2 2 0 0 2 0 0 0 1 2 1 1 0 1 1 0 0 2 0 1 3 5 2 3 0 0
"impatient" 0 1 0 0 0 0 1 2 0 2 2 2 0 1 0 0 3 1 2 0 0 2 0 0 0 1 0 2 0 2 0 0 2 3 2 1 0 1
"kind" 2 1 2 1 0 0 1 2 2 0 4 1 1 2 2 3 0 2 2 0 2 2 0 1 0 2 0 0 0 2 1 2 1 8 2 1 0 1
"natural" 2 1 1 0 1 1 3 3 1 2 5 2 0 1 0 1 2 0 0 2 3 1 1 1 1 3 1 1 1 0 1 1 4 4 0 1 0 2
"open" 2 4 2 2 3 2 2 1 4 4 7 1 1 2 0 2 2 0 0 0 3 4 2 4 4 5 2 2 2 1 2 1 3 4 2 2 2 2
"partial" 2 0 1 2 1 1 3 1 1 1 0 0 1 2 0 0 0 2 0 0 0 0 1 1 0 2 0 0 2 0 0 1 1 3 0 0 1 0
"particular" 0 1 1 0 1 3 1 3 2 1 7 1 0 4 1 0 2 3 3 0 0 1 2 1 0 1 1 0 1 2 0 2 4 9 2 2 1 2
"pleasant" 1 2 0 1 1 0 0 0 2 3 4 1 0 3 2 2 2 1 4 0 1 0 1 0 0 2 0 0 0 0 0 1 1 5 1 0 0 1
"positive" 1 3 1 0 0 1 1 0 1 0 4 0 1 1 1 0 0 1 2 1 2 1 0 1 1 2 1 1 2 1 1 0 2 4 2 1 1 1
"quick" 1 2 1 2 1 1 2 1 1 3 3 0 2 1 1 0 1 1 4 1 1 0 1 0 2 3 0 0 1 0 2 1 4 4 2 0 3 1
"quiet" 1 3 1 1 0 0 1 0 0 1 3 0 1 0 0 0 0 1 4 0 0 0 1 2 0 1 1 1 0 1 1 1 2 3 0 2 1 1
"second" 2 2 1 2 2 1 3 1 4 2 3 0 2 6 1 1 2 3 5 2 1 2 2 3 1 0 1 1 2 1 1 1 3 7 3 2 5 2
"sensible" 3 2 1 1 0 0 3 0 1 0 3 1 0 0 1 0 0 1 2 0 1 0 1 0 1 1 0 2 3 0 0 0 3 1 2 2 0 2
"severe" 2 1 1 0 0 0 1 1 1 1 3 1 0 0 0 2 0 1 2 0 0 0 1 0 1 1 2 0 0 0 0 0 0 1 1 1 1 2
