"brave" "busy" "certain" "close" "cold" "cool" "cruel" "curious" "delicate" "easy" "free" "fresh" "general" "gentle" "gloomy" "gracious" "handsome" "heavy" "honest" "hurried" "lonely" "loud" "natural" "open" "particular" "pleasant" "quick" "quiet" "rough" "second" "silent" "slow" "solemn" "steady" "strong" "sudden" "sure" "sweet" "true" "unhappy" "weak"
"brave" 0 1 0 0 1 2 1 1 0 0 2 1 1 1 0 0 2 3 0 0 0 2 1 3 0 0 1 1 0 2 2 0 0 0 4 1 2 2 2 1 1
"busy" 1 0 3 0 1 0 1 0 1 1 1 0 3 0 1 0 0 3 1 1 0 1 2 2 1 1 0 1 1 3 3 0 1 0 5 0 2 0 0 1 0
"certain" 0 3 0 4 2 2 1 2 2 4 2 1 7 1 1 2 1 7 1 2 2 2 6 7 1 4 0 6 3 4 4 0 5 1 5 2 7 2 4 2 0
"close" 0 0 4 0 5 2 4 3 3 2 5 1 2 1 1 1 1 4 4 4 2 3 2 9 3 1 3 6 2 4 2 4 1 3 4 4 4 0 5 1 1
"cold" 1 1 2 5 0 1 2 1 2 3 3 3 2 3 2 0 3 6 4 2 1 1 4 6 3 3 2 6 3 2 2 2 1 1 8 3 6 3 6 1 1
"cool" 2 0 2 2 1 0 3 2 2 0 1 1 1 1 0 0 2 3 0 2 2 3 0 3 1 2 2 4 0 2 0 0 0 0 1 0 1 2 1 0 0
"cruel" 1 1 1 4 2 3 0 1 2 1 3 0 0 1 3 0 2 2 1 2 0 3 0 2 0 0 3 4 2 2 1 0 0 3 3 2 1 0 5 0 1
"curious" 1 0 2 3 1 2 1 0 1 0 1 2 3 1 0 1 1 4 0 1 0 2 2 3 1 3 0 2 2 1 0 0 0 2 6 1 0 1 3 0 1
"delicate" 0 1 2 3 2 2 2 1 0 0 0 2 1 0 1 1 1 1 0 1 1 0 3 3 3 2 2 1 0 4 1 1 0 1 3 0 5 0 0 0 1
"easy" 0 1 4 2 3 0 1 0 0 0 2 2 3 0 0 0 0 2 3 0 1 0 4 4 1 1 1 4 1 0 1 0 2 2 5 3 3 1 2 1 0
"free" 2 1 2 5 3 1 3 1 0 2 0 3 2 3 1 1 2 2 1 1 1 2 2 7 2 1 2 4 1 5 3 3 0 3 7 2 1 3 6 2 0
"fresh" 1 0 1 1 3 1 0 2 2 2 3 0 2 1 1 0 2 6 1 0 0 0 1 1 0 2 1 1 0 2 2 0 1 0 5 1 2 0 2 3 0
"general" 1 3 7 2 2 1 0 3 1 3 2 2 0 1 3 2 2 6 4 0 0 2 4 2 6 0 2 2 2 5 1 1 1 2 9 0 3 2 5 1 2
"gentle" 1 0 1 1 3 1 1 1 0 0 3 1 1 0 2 0 0 1 1 0 1 0 1 1 0 1 1 1 0 3 0 2 1 2 3 2 3 4 3 1 1
"gloomy" 0 1 1 1 2 0 3 0 1 0 1 1 3 2 0 0 0 1 0 0 0 1 0 2 0 1 3 1 0 3 3 0 0 3 2 2 3 1 1 0 2
"gracious" 0 0 2 1 0 0 0 1 1 0 1 0 2 0 0 0 0 2 0 0 0 0 1 1 1 0 0 1 1 0 0 1 1 0 3 1 4 1 3 1 1
"handsome" 2 0 1 1 3 2 2 1 1 0 2 2 2 0 0 0 0 2 0 1 1 1 1 1 1 0 3 1 1 4 2 0 0 0 5 0 0 0 3 2 0
"heavy" 3 3 7 4 6 3 2 4 1 2 2 6 6 1 1 2 2 0 1 2 1 3 4 8 5 2 2 3 4 6 3 2 4 4 12 3 5 3 4 3 2
"honest" 0 1 1 4 4 0 1 0 0 3 1 1 4 1 0 0 0 1 0 1 1 1 3 3 3 0 0 3 1 2 0 1 2 0 3 2 3 1 3 0 0
"hurried" 0 1 2 4 2 2 2 1 1 0 1 0 0 0 0 0 1 2 1 0 1 2 1 3 2 1 3 1 3 2 1 1 1 0 1 1 2 1 3 0 1
"lonely" 0 0 2 2 1 2 0 0 1 1 1 0 0 1 0 0 1 1 1 1 0 1 0 6 1 1 1 1 1 4 1 1 0 0 1 2 0 1 0 0 2
"loud" 2 1 2 3 1 3 3 2 0 0 2 0 2 0 1 0 1 3 1 2 1 0 0 5 2 0 4 5 1 2 1 0 0 0 4 0 4 2 3 0 0
"natural" 1 2 6 2 4 0 0 2 3 4 2 1 4 1 0 1 1 4 3 1 0 0 0 4 2 2 1 1 3 4 1 1 2 2 7 0 6 1 1 3 1
"open" 3 2 7 9 6 3 2 3 3 4 7 1 2 1 2 1 1 8 3 3 6 5 4 0 3 4 2 4 2 8 4 3 1 4 14 5 4 2 5 3 5
"particular" 0 1 1 3 3 1 0 1 3 1 2 0 6 0 0 1 1 5 3 2 1 2 2 3 0 0 1 1 1 6 0 1 0 0 4 0 6 2 1 0 2
"pleasant" 0 1 4 1 3 2 0 3 2 1 1 2 0 1 1 0 0 2 0 1 1 0 2 4 0 0 1 3 0 4 2 0 0 1 3 2 2 2 2 0 0
"quick" 1 0 0 3 2 2 3 0 2 1 2 1 2 1 3 0 3 2 0 3 1 4 1 2 1 1 0 3 1 5 3 0 1 3 5 0 5 1 3 1 2
"quiet" 1 1 6 6 6 4 4 2 1 4 4 1 2 1 1 1 1 3 3 1 1 5 1 4 1 3 3 0 3 2 4 1 1 2 9 3 6 5 8 2 0
"rough" 0 1 3 2 3 0 2 2 0 1 1 0 2 0 0 1 1 4 1 3 1 1 3 2 1 0 1 3 0 0 0 1 0 0 4 1 2 0 3 2 0
"second" 2 3 4 4 2 2 2 1 4 0 5 2 5 3 3 0 4 6 2 2 4 2 4 8 6 4 5 2 0 0 6 1 0 2 8 1 2 1 4 1 2
"silent" 2 3 4 2 2 0 1 0 1 1 3 2 1 0 3 0 2 3 0 1 1 1 1 4 0 2 3 4 0 6 0 0 1 3 4 1 2 2 2 2 3
"slow" 0 0 0 4 2 0 0 0 1 0 3 0 1 2 0 1 0 2 1 1 1 0 1 3 1 0 0 1 1 1 0 0 1 0 3 1 2 1 4 1 0
"solemn" 0 1 5 1 1 0 0 0 0 2 0 1 1 1 0 1 0 4 2 1 0 0 2 1 0 0 1 1 0 0 1 1 0 1 2 0 4 0 3 1 1
"steady" 0 0 1 3 1 0 3 2 1 2 3 0 2 2 3 0 0 4 0 0 0 0 2 4 0 1 3 2 0 2 3 0 1 0 5 2 1 0 1 0 1
"strong" 4 5 5 4 8 1 3 6 3 5 7 5 9 3 2 3 5 12 3 1 1 4 7 14 4 3 5 9 4 8 4 3 2 5 0 5 11 5 12 3 5
"sudden" 1 0 2 4 3 0 2 1 0 3 2 1 0 2 2 1 0 3 2 1 2 0 0 5 0 2 0 3 1 1 1 1 0 2 5 0 2 2 2 1 1
"sure" 2 2 7 4 6 1 1 0 5 3 1 2 3 3 3 4 0 5 3 2 0 4 6 4 6 2 5 6 2 2 2 2 4 1 11 2 0 4 5 2 3
"sweet" 2 0 2 0 3 2 0 1 0 1 3 0 2 4 1 1 0 3 1 1 1 2 1 2 2 2 1 5 0 1 2 1 0 0 5 2 4 0 3 0 2
"true" 2 0 4 5 6 1 5 3 0 2 6 2 5 3 1 3 3 4 3 3 0 3 1 5 1 2 3 8 3 4 2 4 3 1 12 2 5 3 0 3 2
"unhappy" 1 1 2 1 1 0 0 0 0 1 2 3 1 1 0 1 2 3 0 0 0 0 3 3 0 0 1 2 2 1 2 1 1 0 3 1 2 0 3 0 0
"weak" 1 0 0 1 1 0 1 1 1 0 0 0 2 1 2 1 0 2 0 1 2 0 1 5 2 0 2 0 0 2 3 0 1 1 5 1 3 2 2 0 0
