"bold" "certain" "cruel" "determined" "eager" "easy" "free" "general" "generous" "grateful" "grave" "humble" "impertinent" "indifferent" "loud" "melancholy" "natural" "open" "particular" "proud" "second" "sensible" "serious" "silent" "strong" "sudden" "sufficient" "sure" "sweet" "true" "unhappy" "vain" "violent" "weak"
"bold" 0 0 2 1 0 1 4 3 1 2 2 1 4 1 3 2 2 2 2 0 0 2 1 2 0 0 1 6 3 1 2 2 3 2
"certain" 0 0 5 2 5 2 3 2 2 2 1 2 5 3 2 1 4 0 3 1 3 2 2 3 2 2 1 10 2 3 1 0 3 1
"cruel" 2 5 0 2 4 7 4 5 4 1 2 1 7 3 1 3 1 2 3 4 4 4 3 8 6 2 1 13 4 6 6 3 5 6
"determined" 1 2 2 0 2 2 2 3 3 2 0 3 2 0 2 0 2 2 1 2 1 2 0 3 1 1 0 8 2 2 3 1 2 1
"eager" 0 5 4 2 0 3 3 2 2 2 2 1 4 4 3 0 3 0 4 2 2 0 2 4 2 0 1 6 4 2 2 2 3 2
"easy" 1 2 7 2 3 0 4 4 5 4 1 2 3 3 1 1 4 1 6 2 1 2 3 7 3 2 0 10 0 6 6 2 3 1
"free" 4 3 4 2 3 4 0 2 4 3 2 3 4 2 5 1 3 0 3 0 0 3 2 5 2 2 2 11 1 5 1 3 6 2
"general" 3 2 5 3 2 4 2 0 4 3 3 3 7 2 4 0 3 4 7 1 5 3 2 6 2 4 4 21 7 5 7 5 3 3
"generous" 1 2 4 3 2 5 4 4 0 4 1 3 4 0 2 3 3 2 1 2 3 3 2 5 3 2 2 9 4 3 6 2 5 4
"grateful" 2 2 1 2 2 4 3 3 4 0 1 3 4 4 4 3 3 1 5 1 4 4 4 8 2 2 3 12 6 0 8 3 3 4
"grave" 2 1 2 0 2 1 2 3 1 1 0 0 0 1 1 2 1 3 2 0 0 0 5 4 2 0 1 7 2 1 2 3 0 4
"humble" 1 2 1 3 1 2 3 3 3 3 0 0 2 1 2 2 3 1 1 1 1 0 1 2 0 1 0 6 2 1 2 2 2 2
"impertinent" 4 5 7 2 4 3 4 7 4 4 0 2 0 0 6 1 4 1 2 2 1 4 0 6 2 0 0 13 3 2 3 5 4 2
"indifferent" 1 3 3 0 4 3 2 2 0 4 1 1 0 0 1 0 2 2 4 4 1 3 2 3 2 0 0 8 4 4 1 0 2 4
"loud" 3 2 1 2 3 1 5 4 2 4 1 2 6 1 0 1 1 2 1 0 1 0 0 4 0 2 0 13 3 2 2 3 4 2
"melancholy" 2 1 3 0 0 1 1 0 3 3 2 2 1 0 1 0 4 3 0 1 1 1 0 2 1 2 1 5 3 0 5 2 2 3
"natural" 2 4 1 2 3 4 3 3 3 3 1 3 4 2 1 4 0 2 3 2 0 1 2 5 2 1 0 10 2 3 2 1 0 2
"open" 2 0 2 2 0 1 0 4 2 1 3 1 1 2 2 3 2 0 3 2 2 3 4 3 0 2 2 7 3 0 4 2 3 3
"particular" 2 3 3 1 4 6 3 7 1 5 2 1 2 4 1 0 3 3 0 2 3 2 5 7 4 2 4 14 4 2 8 1 5 0
"proud" 0 1 4 2 2 2 0 1 2 1 0 1 2 4 0 1 2 2 2 0 2 2 2 1 2 2 2 8 2 1 1 2 1 3
"second" 0 3 4 1 2 1 0 5 3 4 0 1 1 1 1 1 0 2 3 2 0 3 0 4 1 4 3 7 3 1 3 2 3 2
"sensible" 2 2 4 2 0 2 3 3 3 4 0 0 4 3 0 1 1 3 2 2 3 0 2 5 3 3 3 11 5 4 3 2 3 5
"serious" 1 2 3 0 2 3 2 2 2 4 5 1 0 2 0 0 2 4 5 2 0 2 0 6 3 1 3 11 1 1 4 0 2 3
"silent" 2 3 8 3 4 7 5 6 5 8 4 2 6 3 4 2 5 3 7 1 4 5 6 0 5 4 4 19 4 7 5 5 3 4
"strong" 0 2 6 1 2 3 2 2 3 2 2 0 2 2 0 1 2 0 4 2 1 3 3 5 0 2 0 7 1 3 2 1 3 4
"sudden" 0 2 2 1 0 2 2 4 2 2 0 1 0 0 2 2 1 2 2 2 4 3 1 4 2 0 1 7 2 1 4 2 4 0
"sufficient" 1 1 1 0 1 0 2 4 2 3 1 0 0 0 0 1 0 2 4 2 3 3 3 4 0 1 0 8 4 2 6 1 1 1
"sure" 6 10 13 8 6 10 11 21 9 12 7 6 13 8 13 5 10 7 14 8 7 11 11 19 7 7 8 0 12 12 16 9 14 10
"sweet" 3 2 4 2 4 0 1 7 4 6 2 2 3 4 3 3 2 3 4 2 3 5 1 4 1 2 4 12 0 5 4 3 2 5
"true" 1 3 6 2 2 6 5 5 3 0 1 1 2 4 2 0 3 0 2 1 1 4 1 7 3 1 2 12 5 0 2 3 1 2
"unhappy" 2 1 6 3 2 6 1 7 6 8 2 2 3 1 2 5 2 4 8 1 3 3 4 5 2 4 6 16 4 2 0 4 5 4
"vain" 2 0 3 1 2 2 3 5 2 3 3 2 5 0 3 2 1 2 1 2 2 2 0 5 1 2 1 9 3 3 4 0 2 3
"violent" 3 3 5 2 3 3 6 3 5 3 0 2 4 2 4 2 0 3 5 1 3 3 2 3 3 4 1 14 2 1 5 2 0 2
"weak" 2 1 6 1 2 1 2 3 4 4 4 2 2 4 2 3 2 3 0 3 2 5 3 4 4 0 1 10 5 2 4 3 2 0
