"affectionate" "busy" "certain" "cheerful" "close" "cold" "curious" "earnest" "easy" "faithful" "familiar" "free" "fresh" "friendly" "general" "gloomy" "gracious" "handsome" "heavy" "kind" "melancholy" "natural" "open" "particular" "pleasant" "proud" "quick" "quiet" "second" "sensible" "silent" "stately" "steady" "strong" "sudden" "sure" "sweet" "true" "unhappy" "weak"
"affectionate" 0 4 4 2 0 1 5 1 2 3 1 2 4 1 5 1 2 2 1 4 2 3 7 2 3 0 3 5 2 2 3 3 3 2 0 11 0 7 5 3
"busy" 4 0 6 6 0 4 7 2 7 1 4 5 7 1 6 2 2 7 7 5 2 2 10 7 8 3 3 4 3 2 7 1 1 9 1 17 3 9 6 3
"certain" 4 6 0 5 7 4 4 7 15 8 12 5 7 3 12 1 3 11 7 8 1 15 10 8 13 5 6 15 5 3 4 3 8 7 3 20 3 7 2 5
"cheerful" 2 6 5 0 3 3 6 1 4 3 2 2 6 2 4 2 1 2 5 1 1 2 8 3 5 2 2 9 3 4 3 0 2 2 1 10 1 3 2 2
"close" 0 0 7 3 0 4 5 2 5 2 2 2 4 3 7 2 0 5 7 3 2 7 7 1 6 4 0 9 1 2 7 3 4 3 2 12 1 5 0 1
"cold" 1 4 4 3 4 0 8 2 8 1 7 6 8 2 6 7 3 5 12 5 5 7 11 7 5 7 2 11 6 3 2 5 4 7 3 15 5 9 5 5
"curious" 5 7 4 6 5 8 0 3 8 3 4 7 7 1 12 3 3 7 8 7 1 9 12 6 7 4 5 13 6 2 5 1 1 11 4 21 1 10 1 6
"earnest" 1 2 7 1 2 2 3 0 6 2 4 1 2 1 2 1 0 4 2 4 1 5 3 3 5 4 4 8 2 1 4 1 2 2 2 10 1 5 2 3
"easy" 2 7 15 4 5 8 8 6 0 1 7 12 3 4 6 1 4 7 5 6 4 9 11 4 7 6 6 13 6 5 6 2 2 10 3 25 4 10 4 3
"faithful" 3 1 8 3 2 1 3 2 1 0 1 2 3 0 3 0 1 3 3 1 2 6 3 3 2 3 3 3 1 1 2 2 2 5 1 6 2 5 3 1
"familiar" 1 4 12 2 2 7 4 4 7 1 0 2 5 5 6 1 1 3 7 2 2 5 6 5 3 2 3 6 3 1 3 1 3 3 3 11 2 9 1 2
"free" 2 5 5 2 2 6 7 1 12 2 2 0 7 1 5 0 5 6 4 2 3 6 7 3 4 2 4 7 1 3 3 1 2 8 4 17 3 4 2 2
"fresh" 4 7 7 6 4 8 7 2 3 3 5 7 0 2 7 1 4 7 9 2 3 9 10 7 7 0 4 9 4 1 5 3 6 8 1 21 2 6 1 4
"friendly" 1 1 3 2 3 2 1 1 4 0 5 1 2 0 2 1 0 2 4 2 0 6 6 5 4 1 2 1 5 5 1 2 2 0 1 6 1 12 2 1
"general" 5 6 12 4 7 6 12 2 6 3 6 5 7 2 0 5 3 6 7 8 11 13 19 14 7 5 6 8 10 2 8 4 1 9 7 28 2 14 4 3
"gloomy" 1 2 1 2 2 7 3 1 1 0 1 0 1 1 5 0 1 1 3 1 0 2 3 3 0 3 0 4 4 2 4 3 3 2 2 7 2 4 3 3
"gracious" 2 2 3 1 0 3 3 0 4 1 1 5 4 0 3 1 0 4 3 1 2 5 5 3 2 2 2 3 0 2 3 4 2 4 4 14 1 4 2 0
"handsome" 2 7 11 2 5 5 7 4 7 3 3 6 7 2 6 1 4 0 5 9 5 8 6 4 4 7 4 4 2 4 6 7 2 4 4 12 4 4 0 2
"heavy" 1 7 7 5 7 12 8 2 5 3 7 4 9 4 7 3 3 5 0 5 2 10 13 8 4 3 6 13 7 2 3 3 5 7 3 12 4 7 0 1
"kind" 4 5 8 1 3 5 7 4 6 1 2 2 2 2 8 1 1 9 5 0 3 9 5 6 8 5 4 7 4 4 2 3 2 5 2 13 0 5 4 2
"melancholy" 2 2 1 1 2 5 1 1 4 2 2 3 3 0 11 0 2 5 2 3 0 4 4 1 0 3 2 3 3 3 2 3 0 2 1 9 1 6 1 1
"natural" 3 2 15 2 7 7 9 5 9 6 5 6 9 6 13 2 5 8 10 9 4 0 15 7 7 4 4 10 8 10 5 4 5 12 4 30 3 9 4 4
"open" 7 10 10 8 7 11 12 3 11 3 6 7 10 6 19 3 5 6 13 5 4 15 0 8 11 4 7 14 6 4 8 2 7 9 5 27 3 12 6 5
"particular" 2 7 8 3 1 7 6 3 4 3 5 3 7 5 14 3 3 4 8 6 1 7 8 0 9 6 2 12 6 3 4 4 6 4 4 19 3 10 4 3
"pleasant" 3 8 13 5 6 5 7 5 7 2 3 4 7 4 7 0 2 4 4 8 0 7 11 9 0 3 6 9 1 5 6 2 3 10 1 12 2 12 2 6
"proud" 0 3 5 2 4 7 4 4 6 3 2 2 0 1 5 3 2 7 3 5 3 4 4 6 3 0 3 7 0 4 1 2 1 5 1 15 5 5 4 0
"quick" 3 3 6 2 0 2 5 4 6 3 3 4 4 2 6 0 2 4 6 4 2 4 7 2 6 3 0 2 4 1 2 1 1 9 6 16 1 6 1 2
"quiet" 5 4 15 9 9 11 13 8 13 3 6 7 9 1 8 4 3 4 13 7 3 10 14 12 9 7 2 0 8 6 9 2 7 6 5 29 7 12 7 6
"second" 2 3 5 3 1 6 6 2 6 1 3 1 4 5 10 4 0 2 7 4 3 8 6 6 1 0 4 8 0 5 4 2 0 4 2 12 5 8 4 4
"sensible" 2 2 3 4 2 3 2 1 5 1 1 3 1 5 2 2 2 4 2 4 3 10 4 3 5 4 1 6 5 0 2 2 1 1 1 12 1 10 3 1
"silent" 3 7 4 3 7 2 5 4 6 2 3 3 5 1 8 4 3 6 3 2 2 5 8 4 6 1 2 9 4 2 0 1 2 6 4 17 1 3 2 2
"stately" 3 1 3 0 3 5 1 1 2 2 1 1 3 2 4 3 4 7 3 3 3 4 2 4 2 2 1 2 2 2 1 0 1 2 2 6 3 2 2 1
"steady" 3 1 8 2 4 4 1 2 2 2 3 2 6 2 1 3 2 2 5 2 0 5 7 6 3 1 1 7 0 1 2 1 0 1 0 9 1 3 4 1
"strong" 2 9 7 2 3 7 11 2 10 5 3 8 8 0 9 2 4 4 7 5 2 12 9 4 10 5 9 6 4 1 6 2 1 0 6 30 3 11 1 6
"sudden" 0 1 3 1 2 3 4 2 3 1 3 4 1 1 7 2 4 4 3 2 1 4 5 4 1 1 6 5 2 1 4 2 0 6 0 12 2 4 0 0
"sure" 11 17 20 10 12 15 21 10 25 6 11 17 21 6 28 7 14 12 12 13 9 30 27 19 12 15 16 29 12 12 17 6 9 30 12 0 10 27 15 6
"sweet" 0 3 3 1 1 5 1 1 4 2 2 3 2 1 2 2 1 4 4 0 1 3 3 3 2 5 1 7 5 1 1 3 1 3 2 10 0 7 5 2
"true" 7 9 7 3 5 9 10 5 10 5 9 4 6 12 14 4 4 4 7 5 6 9 12 10 12 5 6 12 8 10 3 2 3 11 4 27 7 0 9 8
