"busy" "certain" "cheerful" "christian" "clean" "close" "cold" "constant" "curious" "determined" "domestic" "easy" "expressive" "familiar" "free" "fresh" "friendly" "general" "gentle" "gloomy" "grateful" "grave" "handsome" "heavy" "honest" "hopeless" "humble" "impatient" "indifferent" "lively" "lonely" "natural" "neat" "open" "particular" "pleasant" "polite" "proud" "quiet" "second" "sensible" "serious" "silent" "slow" "steady" "strong" "sudden" "sure" "suspicious" "sweet" "thoughtful" "true" "uncertain" "vain" "violent" "weak"
"busy" 0 3 2 1 3 2 1 1 2 1 1 2 0 2 1 0 1 2 1 1 1 0 2 0 0 1 0 0 0 0 0 1 2 2 3 1 1 0 2 2 0 1 2 1 0 1 2 4 0 2 1 2 4 3 1 0
"certain" 3 0 6 3 2 3 8 1 3 5 2 5 1 5 4 2 3 9 3 3 0 3 4 7 7 4 0 2 2 2 1 3 3 10 7 6 3 5 6 4 1 6 5 1 3 9 5 14 4 0 0 6 2 0 2 2
"cheerful" 2 6 0 1 4 0 0 0 1 0 0 1 0 1 1 1 0 4 2 2 0 0 1 1 1 0 1 0 0 0 0 2 0 6 2 3 1 0 3 1 0 1 2 0 1 1 1 3 0 0 0 1 1 0 1 0
"christian" 1 3 1 0 0 0 2 0 2 2 1 2 0 2 0 2 0 3 1 0 0 1 1 1 0 0 0 0 0 0 0 1 2 1 1 1 2 0 2 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 1
"clean" 3 2 4 0 0 0 2 0 2 0 1 1 0 1 3 1 0 5 1 0 3 0 1 1 0 1 0 0 0 0 0 2 1 3 1 4 0 1 0 2 1 1 2 1 1 0 1 5 2 1 2 2 1 1 0 0
"close" 2 3 0 0 0 0 5 1 1 0 0 1 3 0 0 0 0 1 0 2 0 2 1 2 0 0 1 2 0 0 0 3 0 5 1 0 0 0 3 1 0 0 2 1 0 4 1 6 1 1 0 3 0 0 3 1
"cold" 1 8 0 2 2 5 0 4 2 2 1 6 0 1 4 2 1 4 1 2 3 0 2 8 2 0 0 1 1 1 2 5 1 12 5 3 2 5 8 1 2 3 3 0 5 8 4 12 2 3 2 7 2 0 4 2
"constant" 1 1 0 0 0 1 4 0 2 1 0 1 2 1 1 3 0 0 0 2 0 0 0 2 0 0 3 0 2 0 0 2 0 1 1 2 0 1 2 1 1 1 0 0 2 4 2 1 0 0 0 3 2 2 0 1
"curious" 2 3 1 2 2 1 2 2 0 2 0 2 0 1 1 3 2 4 2 2 0 1 0 2 0 1 1 1 1 0 0 1 2 5 2 3 0 0 4 4 0 2 2 1 0 3 2 7 0 1 0 2 1 2 3 3
"determined" 1 5 0 2 0 0 2 1 2 0 1 1 0 2 0 2 1 1 1 2 0 1 1 2 0 0 0 0 1 1 1 1 2 3 1 1 1 1 1 1 0 1 0 0 0 1 0 3 0 0 0 2 2 0 0 1
"domestic" 1 2 0 1 1 0 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 3 2 2 0 0 1 2 0 1 1 1 0 2 0 0 2 0 0 2 4 0 0 4 0 0 0 1 1 1 0 1 0 0
"easy" 2 5 1 2 1 1 6 1 2 1 0 0 1 3 3 2 1 5 0 0 0 2 2 2 2 2 0 1 1 0 5 5 1 4 2 2 2 2 4 3 2 0 0 1 2 7 1 7 0 1 1 4 1 0 1 1
"expressive" 0 1 0 0 0 3 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 1 2 1 1 1 1 3 2 2 1 0 0 1 0 0 1 0
"familiar" 2 5 1 2 1 0 1 1 1 2 1 3 0 0 0 2 1 3 0 1 1 0 2 1 1 1 0 1 1 1 1 2 0 2 1 1 1 2 1 1 1 0 0 0 0 1 1 2 0 0 0 2 1 0 0 0
"free" 1 4 1 0 3 0 4 1 1 0 1 3 0 0 0 1 0 4 0 0 0 2 2 0 0 0 0 0 2 3 1 1 0 2 3 2 2 2 1 1 2 1 1 0 2 3 2 6 0 0 0 1 0 0 1 1
"fresh" 0 2 1 2 1 0 2 3 3 2 1 2 0 2 1 0 1 2 2 2 0 2 0 1 1 1 2 0 2 1 0 4 0 2 1 4 0 1 3 0 0 0 1 0 1 4 1 2 0 0 0 2 1 1 0 1
"friendly" 1 3 0 0 0 0 1 0 2 1 0 1 0 1 0 1 0 1 1 0 0 1 0 0 1 2 0 1 0 1 1 2 2 2 2 0 0 2 1 1 0 1 0 2 0 1 0 4 0 1 1 1 1 0 1 1
"general" 2 9 4 3 5 1 4 0 4 1 1 5 0 3 4 2 1 0 0 1 1 0 5 4 2 1 0 1 2 1 0 4 3 8 6 6 2 3 4 3 1 0 1 1 1 4 2 4 0 2 1 2 0 0 0 1
"gentle" 1 3 2 1 1 0 1 0 2 1 0 0 0 0 0 2 1 0 0 0 0 2 0 1 3 0 0 0 0 0 0 1 1 2 1 2 0 0 4 0 0 0 3 0 0 3 0 2 0 1 0 1 1 0 1 2
"gloomy" 1 3 2 0 0 2 2 2 2 2 0 0 0 1 0 2 0 1 0 0 0 0 0 2 0 0 2 0 1 0 0 1 1 4 1 1 0 0 2 1 0 1 0 0 0 2 0 0 0 0 0 3 2 1 2 1
"grateful" 1 0 0 0 3 0 3 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 1 1 2 0 2 0 1 2 1 1 0 1 1 1 0 1 2 1 1 2 3 0 2 0 1
"grave" 0 3 0 1 0 2 0 0 1 1 1 2 2 0 2 2 1 0 2 0 0 0 2 1 1 1 0 2 0 1 1 2 0 0 0 0 1 1 2 0 0 1 1 0 0 3 2 4 2 0 0 2 0 0 1 2
"handsome" 2 4 1 1 1 1 2 0 0 1 1 2 2 2 2 0 0 5 0 0 1 2 0 1 1 0 1 1 2 0 1 2 0 2 1 2 1 3 1 2 1 1 0 0 0 3 3 6 1 1 0 3 0 0 0 0
"heavy" 0 7 1 1 1 2 8 2 2 2 3 2 1 1 0 1 0 4 1 2 0 1 1 0 3 0 1 1 4 0 1 4 1 12 2 4 2 3 7 3 0 1 0 2 0 11 3 5 1 1 1 5 0 1 2 2
"honest" 0 7 1 0 0 0 2 0 0 0 2 2 0 1 0 1 1 2 3 0 1 1 1 3 0 2 1 0 0 1 1 1 0 1 3 2 0 1 4 2 0 2 2 0 0 4 1 5 2 0 0 1 0 0 1 1
"hopeless" 1 4 0 0 1 0 0 0 1 0 2 2 0 1 0 1 2 1 0 0 1 1 0 0 2 0 0 1 0 1 2 0 2 2 0 1 0 0 0 0 1 1 3 1 1 2 1 1 0 1 1 2 0 1 0 0
"humble" 0 0 1 0 0 1 0 3 1 0 0 0 1 0 0 2 0 0 0 2 0 0 1 1 1 0 0 0 2 0 0 1 0 2 1 1 0 2 2 0 2 0 1 0 1 2 0 0 0 0 0 3 0 1 0 1
"impatient" 0 2 0 0 0 2 1 0 1 0 0 1 1 1 0 0 1 1 0 0 1 2 1 1 0 1 0 0 1 0 0 3 1 1 0 0 0 2 2 0 0 0 0 1 1 3 2 4 1 0 0 1 0 0 1 0
"indifferent" 0 2 0 0 0 0 1 2 1 1 1 1 0 1 2 2 0 2 0 1 0 0 2 4 0 0 2 1 0 0 0 4 0 2 1 2 0 1 4 0 0 0 0 0 1 4 2 2 0 0 0 1 0 2 0 1
"lively" 0 2 0 0 0 0 1 0 0 1 2 0 0 1 3 1 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 2 2 0 1 2 0 1 1 1 2 1 0 2 1 2 0 0 0 3 0 1 0 1
"lonely" 0 1 0 0 0 0 2 0 0 1 0 5 0 1 1 0 1 0 0 0 0 1 1 1 1 2 0 0 0 0 0 1 0 6 1 0 0 2 1 2 1 0 0 1 0 2 0 4 1 1 0 0 0 0 0 0
"natural" 1 3 2 1 2 3 5 2 1 1 1 5 0 2 1 4 2 4 1 1 1 2 2 4 1 0 1 3 4 0 1 0 0 4 3 5 1 5 7 1 0 0 2 2 1 6 2 3 2 0 1 4 0 0 1 3
"neat" 2 3 0 2 1 0 1 0 2 2 1 1 0 0 0 0 2 3 1 1 1 0 0 1 0 2 0 1 0 0 0 0 0 2 1 1 1 1 0 0 0 1 1 1 0 0 1 0 0 2 1 1 1 1 1 0
"open" 2 10 6 1 3 5 12 1 5 3 1 4 1 2 2 2 2 8 2 4 2 0 2 12 1 2 2 1 2 2 6 4 2 0 6 5 3 7 11 5 3 2 4 5 2 10 4 12 2 4 1 7 1 2 2 4
"particular" 3 7 2 1 1 1 5 1 2 1 0 2 1 1 3 1 2 6 1 1 0 0 1 2 3 0 1 0 1 2 1 3 1 6 0 0 4 1 3 2 2 1 1 1 0 3 3 9 2 0 1 1 2 1 2 2
"pleasant" 1 6 3 1 4 0 3 2 3 1 2 2 0 1 2 4 0 6 2 1 2 0 2 4 2 1 1 0 2 0 0 5 1 5 0 0 0 2 5 2 0 0 2 1 2 6 1 3 2 2 1 5 0 1 0 2
"polite" 1 3 1 2 0 0 2 0 0 1 0 2 1 1 2 0 0 2 0 0 0 1 1 2 0 0 0 0 0 1 0 1 1 3 4 0 0 0 2 0 3 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0
"proud" 0 5 0 0 1 0 5 1 0 1 0 2 0 2 2 1 2 3 0 0 1 1 3 3 1 0 2 2 1 2 2 5 1 7 1 2 0 0 5 2 1 1 1 3 3 3 0 3 1 1 1 4 0 1 0 1
"quiet" 2 6 3 2 0 3 8 2 4 1 2 4 1 1 1 3 1 4 4 2 2 2 1 7 4 0 2 2 4 0 1 7 0 11 3 5 2 5 0 1 1 2 5 1 2 10 3 10 0 0 2 6 0 1 1 4
"second" 2 4 1 0 2 1 1 1 4 1 0 3 1 1 1 0 1 3 0 1 1 0 2 3 2 0 0 0 0 1 2 1 0 5 2 2 0 2 1 0 0 1 1 1 1 3 1 5 2 1 0 2 1 1 1 1
