"affectionate" "busy" "certain" "cheerful" "clean" "close" "cold" "confident" "conscientious" "cool" "curious" "delicate" "earnest" "easy" "expressive" "fierce" "firm" "free" "fresh" "friendly" "general" "generous" "gentle" "gloomy" "gracious" "grateful" "grave" "handsome" "heavy" "kind" "modest" "musical" "natural" "neat" "noisy" "open" "orderly" "original" "particular" "passionate" "pleasant" "polite" "proud" "quick" "quiet" "responsible" "rough" "second" "sensible" "silent" "slow" "soft" "solemn" "sorrowful" "stately" "steady" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "true" "ugly" "unhappy" "violent" "weak" "wise"
"affectionate" 0 0 2 0 1 0 1 0 1 1 2 0 3 2 2 1 1 1 1 2 2 2 2 0 1 1 1 2 1 1 0 1 2 1 0 3 0 0 2 0 0 0 0 0 2 1 0 2 0 2 2 0 0 0 1 1 1 2 0 1 6 0 2 0 1 0 2 0
"busy" 0 0 1 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 0 1 1 0 0 1 0 0 1 1 0 1 1 1 1 0 2 2 1 0 0 0 0 1 2 0 0 0 0 1 0 2 1 1 0 0 0 1 1 2 1 1 3 1 2 0 0 1 0 0
"certain" 2 1 0 1 2 1 1 0 1 1 2 1 3 4 0 2 1 1 3 3 5 1 2 3 1 3 2 1 5 1 2 0 3 1 1 8 2 1 0 1 0 1 1 1 2 1 2 3 1 6 2 2 1 1 2 1 2 6 2 3 5 5 7 2 2 0 0 2
"cheerful" 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 3 1 0 0 0 0 0 1 0 0 2 1 0 1 1 0 0 0 1 0 1 1 2 0 2 0 2 0 0 0 1 1 0 1 2 3 0 2 0 3 3 1 2 0 2 0 1 1 1 0
"clean" 1 0 2 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 2 1 1 0 1 0 1 2 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 2 0 0 0 0 1 0 0 1 0 2 1 0 3 0 0 0 1 1
"close" 0 0 1 0 0 0 1 1 0 1 2 0 0 3 0 1 0 1 1 0 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 5 0 0 0 1 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 1 0 2 1 0 2 0 2 2 0 0 1 0
"cold" 1 1 1 1 1 1 0 1 1 0 1 3 1 1 0 2 1 1 1 3 2 1 0 0 0 1 1 2 3 1 2 2 1 1 2 7 1 1 1 1 1 1 3 0 2 0 3 2 2 2 3 1 1 0 1 1 0 3 1 0 3 1 4 1 1 2 0 0
"confident" 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 2 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 0 0 0 1 3 1 0 0 0 0 1 0
"conscientious" 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 3 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 2 0 2 1 0 0 0 2
"cool" 1 0 1 0 1 1 0 0 0 0 1 0 0 3 1 0 0 1 0 0 2 1 0 1 0 1 0 0 2 0 2 0 2 1 0 3 0 0 0 0 0 0 2 0 2 0 0 0 1 0 1 1 0 0 0 0 0 1 2 1 2 0 0 0 0 0 0 1
"curious" 2 1 2 0 0 2 1 1 0 1 0 0 2 1 2 0 0 1 1 0 2 1 1 0 1 0 1 1 3 2 1 1 1 0 0 5 0 0 1 1 1 1 1 1 4 1 0 1 0 1 2 0 1 0 1 1 1 1 1 1 3 1 5 0 0 1 0 0
"delicate" 0 1 1 0 0 0 3 0 0 0 0 0 0 2 0 0 1 0 0 1 2 2 0 2 0 1 0 0 0 2 0 0 0 1 1 1 0 1 0 1 0 1 1 1 1 2 1 0 3 0 0 0 1 0 1 2 0 3 1 0 3 1 1 0 1 1 0 0
"earnest" 3 0 3 1 0 0 1 0 1 0 2 0 0 2 1 0 0 1 3 0 2 1 1 0 0 0 0 3 2 1 0 1 3 1 0 2 1 0 1 0 0 0 0 0 3 1 0 2 0 0 1 0 1 0 0 1 1 2 1 0 3 1 2 0 1 0 0 0
"easy" 2 1 4 1 1 3 1 1 1 3 1 2 2 0 1 1 1 1 1 1 4 5 1 3 1 1 0 1 4 1 1 2 3 1 1 6 2 1 0 2 0 1 2 3 4 1 1 0 2 1 2 0 1 0 0 2 0 3 0 1 7 2 4 2 2 0 1 1
"expressive" 2 1 0 0 0 0 0 0 0 1 2 0 1 1 0 1 0 0 0 0 2 0 0 0 1 0 0 1 0 1 2 0 2 0 0 3 0 0 1 1 0 1 2 0 1 1 0 2 1 1 1 0 2 0 0 0 1 0 0 0 4 1 2 0 1 1 1 0
"fierce" 1 1 2 0 0 1 2 1 1 0 0 0 0 1 1 0 1 0 2 1 0 1 1 0 1 0 0 1 2 0 0 1 1 0 1 2 1 0 0 0 0 0 2 1 1 0 2 1 0 1 0 1 0 0 0 0 0 1 0 0 1 2 2 0 2 0 1 1
"firm" 1 0 1 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 1 0 0 3 0 2 0 1 0 2 2 1 0 0 1 0 2 0 1 1 1 2 1 0 0 0 0 0 1
"free" 1 0 1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 3 3 0 0 2 2 3 0 1 1 0 0 0 1 1 0 3 0 0 1 0 1 0 1 1 1 0 0 1 0 2 1 1 0 0 1 0 0 1 2 0 2 0 2 1 0 0 0 0
"fresh" 1 0 3 3 1 1 1 0 0 0 1 0 3 1 0 2 1 1 0 1 1 1 1 0 0 0 0 2 3 0 0 1 1 1 0 2 0 0 1 0 1 0 2 1 3 0 2 2 0 0 0 1 1 3 0 3 0 2 1 1 2 1 3 0 0 0 1 0
