"active" "affectionate" "calm" "certain" "cheerful" "civil" "cold" "constant" "delicate" "determined" "eager" "earnest" "easy" "free" "fresh" "friendly" "general" "gentle" "grateful" "grave" "handsome" "heavy" "impatient" "indifferent" "intimate" "kind" "lively" "melancholy" "natural" "open" "partial" "particular" "pleasant" "quick" "quiet" "reasonable" "second" "selfish" "sensible" "serious" "silent" "simple" "sincere" "strong" "sudden" "sure" "sweet" "true" "uncertain" "unhappy" "violent"
"active" 0 0 1 2 1 1 1 4 0 1 0 2 2 2 1 1 1 1 2 1 2 0 1 2 0 1 0 2 2 2 0 1 0 2 0 2 2 0 1 2 2 2 2 0 0 4 0 1 1 1 1
"affectionate" 0 0 3 7 1 2 4 1 2 1 4 0 1 0 2 0 5 1 1 1 3 3 2 2 1 2 3 4 5 6 0 6 1 1 3 2 1 1 1 3 5 1 2 5 3 9 2 0 0 3 2
"calm" 1 3 0 4 2 0 3 1 1 3 0 2 2 1 3 2 3 1 0 2 1 2 0 1 3 1 2 1 2 3 2 2 1 1 2 4 1 0 0 1 4 2 2 6 3 4 1 2 2 3 1
"certain" 2 7 4 0 2 1 1 5 2 3 3 1 2 2 2 1 8 1 2 5 0 1 3 3 4 3 2 4 6 12 1 8 4 2 3 1 4 2 1 3 6 8 2 4 3 15 3 5 1 3 2
"cheerful" 1 1 2 2 0 1 3 2 0 1 1 2 3 1 2 0 4 0 1 2 2 3 2 1 1 2 0 0 0 2 1 4 0 1 3 1 2 2 1 5 6 1 2 2 2 4 0 3 0 1 3
"civil" 1 2 0 1 1 0 2 2 1 1 1 1 2 1 0 2 2 2 0 0 3 0 1 0 0 2 0 1 2 2 0 3 2 1 2 0 1 0 1 2 3 1 0 2 0 8 2 1 1 1 3
"cold" 1 4 3 1 3 2 0 3 1 1 5 3 2 1 1 2 8 2 2 1 7 3 0 2 1 2 2 1 4 4 0 8 2 3 2 2 1 2 2 3 4 2 1 5 1 5 0 2 3 2 4
"constant" 4 1 1 5 2 2 3 0 0 3 0 4 4 3 2 1 7 2 1 0 3 2 3 4 3 2 2 1 3 5 0 8 1 3 1 2 3 1 3 4 5 4 3 5 1 12 1 3 1 3 2
"delicate" 0 2 1 2 0 1 1 0 0 2 1 1 2 0 0 1 6 1 1 1 2 0 0 1 2 0 1 0 2 2 0 2 0 1 1 1 1 1 0 0 3 0 2 3 0 5 1 0 0 1 0
"determined" 1 1 3 3 1 1 1 3 2 0 3 0 2 2 2 1 2 1 3 3 1 1 0 1 1 2 0 2 1 6 0 3 3 0 0 1 2 2 2 1 5 1 2 5 1 9 1 0 0 2 1
"eager" 0 4 0 3 1 1 5 0 1 3 0 1 4 2 2 0 6 0 2 2 2 1 0 1 0 0 2 0 2 6 2 4 2 0 1 1 1 5 1 3 5 2 0 5 1 6 1 3 3 2 2
"earnest" 2 0 2 1 2 1 3 4 1 0 1 0 4 2 1 1 11 1 2 3 5 1 1 2 2 1 3 5 8 3 2 5 1 1 1 2 2 2 4 6 6 3 3 6 2 10 1 2 1 5 2
"easy" 2 1 2 2 3 2 2 4 2 2 4 4 0 2 2 1 6 0 1 2 3 1 2 3 0 0 1 2 4 2 0 2 0 0 0 5 2 3 1 3 4 1 2 4 2 10 0 1 0 3 2
"free" 2 0 1 2 1 1 1 3 0 2 2 2 2 0 4 0 2 0 2 0 1 1 1 0 1 0 1 0 2 3 1 2 1 0 0 1 2 1 0 0 2 2 2 1 0 3 0 1 2 2 1
"fresh" 1 2 3 2 2 0 1 2 0 2 2 1 2 4 0 0 3 0 3 0 0 4 0 1 1 0 1 3 1 5 3 2 1 0 1 1 4 2 1 1 4 1 2 2 3 6 0 2 3 3 0
"friendly" 1 0 2 1 0 2 2 1 1 1 0 1 1 0 0 0 1 2 1 1 1 1 1 0 1 2 0 2 3 2 0 3 2 1 1 2 1 0 0 1 2 4 0 1 1 3 1 1 1 0 2
"general" 1 5 3 8 4 2 8 7 6 2 6 11 6 2 3 1 0 2 2 6 7 5 3 5 3 3 7 7 10 10 5 16 2 4 7 3 4 4 4 8 12 3 2 8 4 18 5 6 5 7 3
