"affectionate" "awkward" "certain" "cheerful" "close" "cold" "constant" "delicate" "earnest" "easy" "free" "fresh" "general" "gentle" "gloomy" "handsome" "hasty" "hearty" "heavy" "honest" "humble" "jealous" "kind" "loud" "melancholy" "natural" "open" "original" "particular" "pleasant" "proud" "quick" "quiet" "sad" "second" "serious" "silent" "slow" "solemn" "strong" "sudden" "sufficient" "sure" "sweet" "true" "unhappy" "violent" "weak"
"affectionate" 0 1 4 2 3 4 0 1 0 1 1 0 4 2 3 2 0 2 5 2 3 1 2 2 0 4 8 5 4 3 2 0 3 1 4 1 3 0 1 9 0 0 3 0 2 0 2 0
"awkward" 1 0 6 2 2 3 2 1 0 1 1 3 6 0 1 0 2 0 1 2 1 4 1 4 4 1 3 2 4 2 3 0 4 0 2 1 2 2 0 5 2 0 5 3 3 0 2 4
"certain" 4 6 0 6 4 6 4 4 4 8 5 4 8 3 2 3 6 2 7 3 2 2 8 5 2 12 13 6 9 8 5 2 12 3 11 11 5 6 6 14 5 4 34 3 9 6 8 4
"cheerful" 2 2 6 0 2 5 0 2 1 0 5 6 2 2 0 1 1 3 5 5 2 1 3 2 1 2 6 3 6 5 3 2 7 1 2 1 6 2 0 5 3 0 9 2 2 1 1 2
"close" 3 2 4 2 0 5 2 0 1 1 3 1 3 3 2 2 1 1 2 1 0 2 2 7 2 3 11 5 5 4 2 2 8 3 4 3 3 0 3 6 1 1 5 3 5 2 4 1
"cold" 4 3 6 5 5 0 1 10 5 2 3 6 6 8 7 5 2 5 9 11 5 1 7 7 8 3 16 6 10 6 1 5 10 3 8 2 8 3 4 11 5 5 19 5 9 1 8 5
"constant" 0 2 4 0 2 1 0 5 4 1 1 2 3 1 1 4 2 1 3 1 3 0 3 1 0 3 3 0 5 3 3 3 3 1 1 2 0 0 1 4 1 0 6 3 5 2 4 1
"delicate" 1 1 4 2 0 10 5 0 4 4 0 1 3 5 1 3 0 1 1 2 1 1 5 0 0 2 2 0 4 3 3 1 3 0 3 3 4 1 0 2 2 3 9 3 4 0 4 1
"earnest" 0 0 4 1 1 5 4 4 0 1 2 3 3 5 0 0 3 2 2 1 2 2 7 1 0 3 2 2 4 1 2 2 6 1 4 2 4 0 1 6 1 3 9 1 6 2 1 1
"easy" 1 1 8 0 1 2 1 4 1 0 2 6 7 6 1 5 1 2 3 5 2 3 3 2 3 6 6 2 8 6 5 3 5 1 3 6 3 7 0 7 2 6 9 0 3 3 2 1
"free" 1 1 5 5 3 3 1 0 2 2 0 3 5 0 1 1 0 1 7 3 1 0 4 2 2 1 5 1 1 5 2 0 5 0 5 3 0 0 2 7 1 4 4 0 5 5 3 1
"fresh" 0 3 4 6 1 6 2 1 3 6 3 0 9 5 0 4 3 0 5 3 2 3 5 7 3 6 7 5 4 10 3 6 8 2 2 2 5 5 0 6 6 2 13 2 3 3 6 3
"general" 4 6 8 2 3 6 3 3 3 7 5 9 0 6 6 3 1 1 10 5 2 3 6 10 2 12 5 7 14 12 6 4 5 0 9 5 7 4 2 17 3 3 21 4 14 2 6 5
"gentle" 2 0 3 2 3 8 1 5 5 6 0 5 6 0 2 2 3 1 1 5 4 1 2 4 1 5 8 4 5 9 5 2 4 1 6 1 4 3 1 5 2 4 10 3 4 1 5 2
"gloomy" 3 1 2 0 2 7 1 1 0 1 1 0 6 2 0 2 2 1 6 1 0 1 3 4 2 4 3 1 5 2 1 1 3 2 4 0 4 1 0 9 3 1 5 0 4 1 5 1
"handsome" 2 0 3 1 2 5 4 3 0 5 1 4 3 2 2 0 2 2 4 2 2 0 3 4 2 6 5 3 4 3 3 3 3 2 3 2 6 4 2 8 3 2 18 1 4 2 4 3
"hasty" 0 2 6 1 1 2 2 0 3 1 0 3 1 3 2 2 0 2 4 2 1 2 2 3 2 7 4 2 4 1 3 2 4 2 1 2 4 0 0 5 2 2 11 0 4 1 2 0
"hearty" 2 0 2 3 1 5 1 1 2 2 1 0 1 1 1 2 2 0 4 4 3 1 4 0 0 2 4 0 4 1 0 1 2 2 3 0 4 0 1 3 2 1 4 0 3 3 4 1
"heavy" 5 1 7 5 2 9 3 1 2 3 7 5 10 1 6 4 4 4 0 4 3 3 3 9 2 5 9 4 7 6 2 6 5 5 6 2 3 3 3 11 0 4 9 0 7 4 6 4
"honest" 2 2 3 5 1 11 1 2 1 5 3 3 5 5 1 2 2 4 4 0 4 0 5 6 4 4 9 3 6 3 4 2 3 4 3 0 8 2 1 8 2 3 16 1 4 4 6 6
"humble" 3 1 2 2 0 5 3 1 2 2 1 2 2 4 0 2 1 3 3 4 0 1 1 3 0 4 4 2 2 7 3 1 3 0 3 2 1 2 1 3 0 0 6 2 4 2 4 1
"jealous" 1 4 2 1 2 1 0 1 2 3 0 3 3 1 1 0 2 1 3 0 1 0 1 3 2 4 2 0 5 4 4 1 4 1 3 3 2 2 0 3 1 2 6 1 3 1 2 2
"kind" 2 1 8 3 2 7 3 5 7 3 4 5 6 2 3 3 2 4 3 5 1 1 0 6 3 6 8 1 9 9 4 3 7 3 2 2 2 3 1 6 4 3 15 6 5 4 4 1
"loud" 2 4 5 2 7 7 1 0 1 2 2 7 10 4 4 4 3 0 9 6 3 3 6 0 9 4 10 5 4 7 0 3 10 1 7 3 8 5 3 6 9 2 16 1 9 3 5 5
"melancholy" 0 4 2 1 2 8 0 0 0 3 2 3 2 1 2 2 2 0 2 4 0 2 3 9 0 1 8 3 7 0 3 2 3 2 6 2 8 3 2 1 6 2 7 1 1 2 4 3
"natural" 4 1 12 2 3 3 3 2 3 6 1 6 12 5 4 6 7 2 5 4 4 4 6 4 1 0 8 2 5 8 3 2 11 3 2 5 6 7 1 10 3 1 24 5 9 4 3 3
"open" 8 3 13 6 11 16 3 2 2 6 5 7 5 8 3 5 4 4 9 9 4 2 8 10 8 8 0 10 11 13 9 3 15 1 8 7 9 4 3 15 4 3 17 5 7 6 13 4
"original" 5 2 6 3 5 6 0 0 2 2 1 5 7 4 1 3 2 0 4 3 2 0 1 5 3 2 10 0 7 6 3 2 3 1 7 3 5 2 3 8 1 3 8 2 4 1 5 3
"particular" 4 4 9 6 5 10 5 4 4 8 1 4 14 5 5 4 4 4 7 6 2 5 9 4 7 5 11 7 0 8 7 5 4 3 9 8 9 2 1 14 3 2 20 5 5 3 5 4
