"brute" "close" "cunning" "curious" "eager" "free" "fresh" "gentle" "gracious" "headlong" "honest" "indifferent" "open" "pleasant" "quick" "rough" "second" "simple" "smooth" "soft" "strong" "sufficient" "sure" "sweet" "true" "vehement" "willing" "wise"
"brute" 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0
"close" 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1
"cunning" 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 2 0 1 0 1 2 0 0 0
"curious" 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 1 2 0 0 0
"eager" 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 1 1 0 1 3
"free" 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 2 1 2 0 0 1
"fresh" 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 3 0 1 0 1 3 0 1 2
"gentle" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 1 0 0 2 1 0 1
"gracious" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 1 1 0 0 1 1 0 0 2 0 1 1
"headlong" 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0
"honest" 1 1 1 1 0 0 0 1 0 1 0 0 2 0 0 0 0 2 1 1 1 1 1 1 2 2 0 0
"indifferent" 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1
"open" 0 1 0 0 1 2 0 1 1 1 2 0 0 1 1 2 1 1 1 0 1 1 1 2 6 0 1 2
"pleasant" 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 2 2
"quick" 1 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0 1 0 1 1
"rough" 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 1 2 2 0 0 1
"second" 1 0 0 0 0 0 1 0 1 0 0 0 1 1 2 1 0 0 0 1 0 1 0 1 2 0 1 2
"simple" 0 2 1 1 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 1 1 0 0 1 3 1 0 1
"smooth" 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0
"soft" 0 0 2 1 1 0 3 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1 0 2 3 0 1 2
"strong" 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0
"sufficient" 0 0 1 0 0 0 1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 2 1 1 1
"sure" 1 0 0 1 1 2 0 0 0 1 1 0 1 1 0 1 0 0 2 0 0 0 0 0 0 2 0 1
"sweet" 0 0 1 1 1 1 1 0 0 1 1 1 2 0 0 2 1 1 0 2 0 0 0 0 4 0 0 1
"true" 0 1 2 2 1 2 3 2 2 2 2 1 6 1 1 2 2 3 1 3 2 2 0 4 0 1 1 4
"vehement" 1 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 0 0 0 1 2 0 1 0 0 1
"willing" 0 0 0 0 1 0 1 0 1 0 0 0 1 2 1 0 1 0 0 1 0 1 0 0 1 0 0 2
"wise" 0 1 0 0 3 1 2 1 1 0 0 1 2 2 1 1 2 1 0 2 0 1 1 1 4 1 2 0
