"active" "affectionate" "benevolent" "bitter" "busy" "calm" "certain" "cheerful" "cold" "constant" "domestic" "eager" "earnest" "enthusiastic" "expressive" "familiar" "fearful" "free" "fresh" "gay" "general" "generous" "gentle" "gloomy" "grateful" "hateful" "heavy" "helpless" "impatient" "intense" "intimate" "kind" "laborious" "lively" "lofty" "loud" "majestic" "melancholy" "mild" "moderate" "mournful" "natural" "nervous" "open" "peaceful" "placid" "pleasant" "quick" "rapid" "rough" "rude" "sad" "second" "selfish" "serene" "serious" "severe" "silent" "simple" "slow" "soft" "solemn" "sorrowful" "sudden" "sufficient" "sweet" "true" "ugly" "unhappy" "vain" "violent" "watchful" "weak"
"active" 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0 1 0 1 1 0 0 1 0 0 0 0
"affectionate" 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 2 2 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 2 1 2 0 2 0 1 0 0 1 1 0 2 0 0 1 0
"benevolent" 1 1 0 1 0 2 0 3 5 2 1 0 0 0 3 1 0 1 0 1 1 1 3 1 2 2 0 1 0 1 1 1 1 1 0 1 0 0 3 0 2 2 1 1 1 1 1 3 0 1 2 2 0 0 2 0 1 1 1 1 1 0 0 0 3 4 3 1 2 1 1 0 0
"bitter" 0 0 1 0 2 1 0 0 5 0 1 0 0 1 1 0 0 3 1 0 0 3 4 1 1 0 0 2 0 0 0 2 0 0 2 1 2 1 1 0 0 2 0 1 1 1 0 0 0 0 1 2 1 2 0 0 0 3 1 1 0 1 2 1 4 1 7 0 1 1 0 0 1
"busy" 0 0 0 2 0 2 0 0 1 0 1 1 1 0 0 0 1 2 1 0 1 0 1 1 0 0 1 1 1 1 0 0 0 0 1 0 2 1 0 0 0 2 1 3 2 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 2 1 1 1
"calm" 0 1 2 1 2 0 0 0 5 3 1 1 1 0 2 2 2 3 1 0 2 0 1 2 0 1 1 0 1 1 2 1 1 1 0 2 1 2 2 0 0 2 2 2 2 1 2 2 1 1 0 2 2 1 2 1 0 3 3 1 2 1 1 2 3 2 0 0 4 4 3 1 1
"certain" 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1 0 2 2 0 1 0 2 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0
"cheerful" 1 1 3 0 0 0 2 0 2 1 1 0 0 0 0 2 2 1 3 2 0 0 5 0 1 0 1 0 0 0 0 2 2 0 0 1 0 2 0 0 1 1 0 1 0 3 2 1 0 0 2 2 0 1 1 1 0 3 1 1 1 2 2 0 2 2 1 0 2 0 0 1 0
"cold" 0 0 5 5 1 5 1 2 0 1 0 1 0 1 2 0 1 3 3 0 1 1 8 0 1 3 1 2 0 0 0 2 1 3 0 2 0 0 4 0 1 2 4 4 1 1 5 3 1 1 0 2 1 1 1 1 1 4 0 2 0 3 0 0 4 5 3 2 2 5 2 0 0
"constant" 1 1 2 0 0 3 0 1 1 0 0 0 0 0 1 0 0 2 1 0 0 0 1 0 1 0 0 1 0 0 3 2 0 1 0 1 0 0 0 0 0 0 1 2 0 1 1 2 0 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 3 1 1 0 2 0 0 0 1
