"certain" "cheerful" "cold" "constant" "determined" "domestic" "eager" "easy" "general" "gentle" "handsome" "indifferent" "intimate" "kind" "natural" "open" "particular" "pleasant" "quick" "quiet" "sad" "second" "sensible" "serious" "severe" "silent" "steady" "strong" "sufficient" "sure" "sweet" "true" "uncertain" "worldly"
"certain" 0 2 3 1 2 3 0 3 4 1 4 2 1 1 6 4 5 1 1 1 2 2 3 3 2 2 1 3 0 6 0 2 2 0
"cheerful" 2 0 1 1 1 2 2 0 3 1 1 2 1 0 1 0 2 1 0 0 0 2 1 1 3 3 0 2 0 3 2 0 1 0
"cold" 3 1 0 1 4 2 2 2 4 1 1 0 1 1 4 3 3 1 1 0 1 2 4 2 2 2 1 5 1 5 0 0 1 0
"constant" 1 1 1 0 0 3 0 3 5 1 1 3 2 0 1 0 3 0 0 1 1 4 3 1 2 1 4 4 0 5 0 0 0 2
"determined" 2 1 4 0 0 3 1 1 3 1 0 1 0 3 2 1 1 0 2 2 0 3 3 4 0 2 1 4 2 8 0 2 0 1
"domestic" 3 2 2 3 3 0 1 1 5 0 3 1 1 1 3 2 2 2 2 0 0 3 5 2 1 0 3 7 1 5 1 1 1 2
"eager" 0 2 2 0 1 1 0 1 4 0 0 1 0 1 2 5 1 2 0 0 0 1 1 2 2 1 0 0 1 6 3 2 0 1
"easy" 3 0 2 3 1 1 1 0 4 0 1 3 0 1 4 5 3 1 1 0 1 1 4 0 0 2 2 4 0 4 1 2 1 1
"general" 4 3 4 5 3 5 4 4 0 1 5 3 4 3 9 6 7 3 1 0 0 7 6 3 2 6 2 4 1 14 2 3 3 3
"gentle" 1 1 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 2 0 1 2 1 1 2 1 0 3 1 3 1 2 1 0
"handsome" 4 1 1 1 0 3 0 1 5 0 0 0 2 3 3 3 3 2 0 0 1 3 6 1 2 1 3 4 0 8 1 2 1 1
"indifferent" 2 2 0 3 1 1 1 3 3 0 0 0 0 0 2 1 1 1 0 2 0 1 2 2 1 1 2 2 0 3 1 0 0 1
"intimate" 1 1 1 2 0 1 0 0 4 1 2 0 0 0 1 2 2 1 0 0 1 2 2 0 0 3 1 2 0 4 0 0 1 1
"kind" 1 0 1 0 3 1 1 1 3 0 3 0 0 0 2 3 1 3 0 0 0 2 1 1 0 0 2 2 1 7 0 1 0 0
"natural" 6 1 4 1 2 3 2 4 9 1 3 2 1 2 0 7 6 2 2 3 2 3 5 4 2 3 2 5 3 9 2 1 3 2
"open" 4 0 3 0 1 2 5 5 6 0 3 1 2 3 7 0 4 5 2 1 2 1 6 4 2 3 1 4 2 9 2 3 2 1
"particular" 5 2 3 3 1 2 1 3 7 0 3 1 2 1 6 4 0 2 0 0 2 4 5 0 4 5 2 4 1 8 0 1 2 3
"pleasant" 1 1 1 0 0 2 2 1 3 0 2 1 1 3 2 5 2 0 0 1 0 2 1 3 1 1 1 3 1 5 1 0 0 0
"quick" 1 0 1 0 2 2 0 1 1 2 0 0 0 0 2 2 0 0 0 0 0 1 4 2 1 0 0 3 0 2 1 2 1 1
"quiet" 1 0 0 1 2 0 0 0 0 0 0 2 0 0 3 1 0 1 0 0 1 2 2 4 2 1 0 1 2 6 1 4 1 0
"sad" 2 0 1 1 0 0 0 1 0 1 1 0 1 0 2 2 2 0 0 1 0 1 3 1 2 1 2 1 0 4 1 0 0 0
"second" 2 2 2 4 3 3 1 1 7 2 3 1 2 2 3 1 4 2 1 2 1 0 6 2 2 4 3 4 2 8 0 4 2 2
"sensible" 3 1 4 3 3 5 1 4 6 1 6 2 2 1 5 6 5 1 4 2 3 6 0 5 4 1 3 7 0 8 1 4 2 4
"serious" 3 1 2 1 4 2 2 0 3 1 1 2 0 1 4 4 0 3 2 4 1 2 5 0 2 0 1 4 2 7 1 3 0 0
"severe" 2 3 2 2 0 1 2 0 2 2 2 1 0 0 2 2 4 1 1 2 2 2 4 2 0 5 1 3 0 6 2 2 0 0
"silent" 2 3 2 1 2 0 1 2 6 1 1 1 3 0 3 3 5 1 0 1 1 4 1 0 5 0 1 3 0 5 0 2 1 0
"steady" 1 0 1 4 1 3 0 2 2 0 3 2 1 2 2 1 2 1 0 0 2 3 3 1 1 1 0 3 1 6 0 0 0 1
"strong" 3 2 5 4 4 7 0 4 4 3 4 2 2 2 5 4 4 3 3 1 1 4 7 4 3 3 3 0 2 8 2 4 0 2
"sufficient" 0 0 1 0 2 1 1 0 1 1 0 0 0 1 3 2 1 1 0 2 0 2 0 2 0 0 1 2 0 5 0 0 1 1
"sure" 6 3 5 5 8 5 6 4 14 3 8 3 4 7 9 9 8 5 2 6 4 8 8 7 6 5 6 8 5 0 3 3 1 5
"sweet" 0 2 0 0 0 1 3 1 2 1 1 1 0 0 2 2 0 1 1 1 1 0 1 1 2 0 0 2 0 3 0 3 0 0
"true" 2 0 0 0 2 1 2 2 3 2 2 0 0 1 1 3 1 0 2 4 0 4 4 3 2 2 0 4 0 3 3 0 1 0
"uncertain" 2 1 1 0 0 1 0 1 3 1 1 0 1 0 3 2 2 0 1 1 0 2 2 0 0 1 0 0 1 1 0 1 0 0
"worldly" 0 0 0 2 1 2 1 1 3 0 1 1 1 0 2 1 3 0 1 0 0 2 4 0 0 0 1 2 1 5 0 0 0 0
