"source" "tag"
"1" 5 "cold"
"2" 16 "little"
"3" 29 "great"
"4" 31 "cold"
"5" 34 "great"
"6" 3 "evil"
"7" 26 "well"
"8" 56 "poor"
"9" 55 "evil"
"10" 58 "romantic"
"11" 48 "excellent"
"12" 59 "gentle"
"13" 65 "romantic"
"14" 60 "poor"
"15" 76 "young"
"16" 33 "little"
"17" 59 "well"
"18" 50 "affectionate"
"19" 85 "well"
"20" 73 "fortunate"
"21" 37 "firm"
"22" 21 "good"
"23" 102 "well"
"24" 107 "well"
"25" 73 "secure"
"26" 91 "dangerous"
"27" 121 "strange"
"28" 83 "little"
"29" 61 "impatient"
"30" 41 "great"
"31" 151 "little"
"32" 126 "strange"
"33" 129 "excited"
"34" 104 "good"
"35" 109 "well"
"36" 157 "strange"
"37" 164 "strange"
"38" 73 "gentle"
"39" 156 "little"
"40" 172 "gentle"
"41" 113 "secure"
"42" 162 "excited"
"43" 172 "little"
"44" 168 "weak"
"45" 11 "calm"
"46" 68 "wonderful"
"47" 206 "wonderful"
"48" 156 "great"
"49" 115 "determined"
"50" 215 "determined"
"51" 233 "distinguished"
"52" 33 "proud"
"53" 198 "little"
"54" 162 "alone"
"55" 242 "little"
"56" 77 "poor"
"57" 31 "devoted"
"58" 40 "pleasant"
"59" 217 "direct"
"60" 162 "good"
"61" 80 "old"
"62" 255 "poor"
"63" 275 "poor"
"64" 262 "fair"
"65" 249 "little"
"66" 231 "thin"
"67" 203 "expressive"
"68" 270 "good"
"69" 91 "passionate"
"70" 82 "kind"
"71" 203 "calm"
"72" 144 "satisfied"
"73" 103 "fortunate"
"74" 304 "childish"
"75" 135 "busy"
"76" 298 "sweet"
"77" 335 "adventurous"
"78" 288 "good"
"79" 210 "wonderful"
"80" 31 "practical"
"81" 346 "wonderful"
"82" 214 "great"
"83" 351 "practical"
"84" 282 "little"
"85" 358 "great"
"86" 170 "strange"
"87" 331 "violent"
"88" 331 "childish"
"89" 274 "old"
"90" 370 "violent"
"91" 300 "beautiful"
"92" 374 "old"
"93" 282 "thin"
"94" 194 "excited"
"95" 367 "great"
"96" 359 "natural"
"97" 382 "natural"
"98" 185 "secure"
"99" 242 "worthy"
"100" 62 "evil"
"101" 340 "good"
"102" 221 "strong"
"103" 374 "terrible"
"104" 175 "happy"
"105" 279 "hard"
"106" 391 "evil"
"107" 411 "evil"
"108" 294 "rude"
"109" 330 "fortunate"
"110" 225 "determined"
"111" 337 "sweet"
"112" 257 "devoted"
"113" 104 "firm"
"114" 361 "little"
"115" 73 "feminine"
"116" 246 "alone"
"117" 412 "familiar"
"118" 408 "hard"
"119" 413 "evil"
"120" 386 "natural"
"121" 450 "natural"
"122" 307 "kind"
"123" 377 "old"
"124" 433 "little"
"125" 452 "natural"
"126" 461 "little"
"127" 463 "natural"
"128" 467 "natural"
"129" 465 "little"
"130" 472 "little"
"131" 284 "expressive"
"132" 239 "distinguished"
"133" 475 "little"
"134" 469 "natural"
"135" 174 "attractive"
"136" 303 "pretty"
"137" 483 "little"
"138" 382 "great"
"139" 408 "happy"
"140" 494 "natural"
"141" 22 "neglected"
"142" 438 "alone"
"143" 505 "natural"
"144" 507 "natural"
"145" 500 "great"
"146" 33 "valuable"
"147" 392 "good"
"148" 331 "eager"
"149" 107 "experienced"
"150" 513 "great"
"151" 511 "natural"
"152" 162 "well"
"153" 104 "bold"
"154" 418 "determined"
"155" 525 "natural"
"156" 529 "natural"
"157" 506 "alone"
"158" 311 "capable"
"159" 522 "experienced"
"160" 524 "great"
"161" 270 "direct"
"162" 123 "dangerous"
"163" 357 "wonderful"
"164" 546 "great"
"165" 71 "excellent"
"166" 504 "happy"
"167" 425 "devoted"
"168" 539 "alone"
"169" 29 "dedicated"
"170" 460 "old"
"171" 377 "beautiful"
"172" 448 "pleased"
"173" 525 "well"
"174" 505 "neglected"
"175" 580 "well"
"176" 560 "great"
"177" 312 "calm"
"178" 336 "peaceful"
"179" 154 "interesting"
"180" 582 "well"
"181" 570 "alone"
"182" 444 "hard"
"183" 139 "open"
"184" 578 "beautiful"
"185" 598 "hard"
"186" 574 "disturbed"
"187" 539 "surprised"
"188" 41 "cold"
"189" 607 "rushed"
"190" 543 "capable"
"191" 264 "pleasant"
"192" 417 "fortunate"
"193" 585 "calm"
"194" 515 "good"
"195" 583 "great"
"196" 564 "happy"
"197" 498 "little"
"198" 592 "well"
"199" 642 "little"
"200" 245 "mean"
"201" 479 "short"
"202" 379 "thin"
"203" 612 "cold"
"204" 598 "open"
"205" 638 "good"
"206" 639 "great"
"207" 390 "unusual"
"208" 594 "nervous"
"209" 433 "firm"
"210" 460 "kind"
"211" 609 "disturbed"
"212" 611 "surprised"
"213" 393 "terrible"
"214" 620 "capable"
"215" 674 "kind"
"216" 79 "young"
"217" 644 "short"
"218" 655 "good"
"219" 679 "kind"
"220" 682 "good"
"221" 642 "well"
"222" 642 "happy"
"223" 634 "glad"
"224" 682 "kind"
"225" 636 "calm"
"226" 573 "old"
"227" 277 "poor"
"228" 681 "cheerful"
"229" 690 "happy"
"230" 685 "well"
"231" 580 "pleased"
"232" 705 "pleased"
"233" 653 "open"
"234" 703 "happy"
"235" 695 "kind"
"236" 643 "little"
"237" 367 "strange"
"238" 655 "great"
"239" 699 "poor"
"240" 643 "mean"
"241" 634 "fortunate"
"242" 720 "great"
