"clusters"
12
69
46
66
32
27
3
34
58
45
56
71
53
6
43
13
23
19
35
20
53
3
56
31
69
30
50
7
53
19
67
38
28
5
25
35
20
58
64
57
33
41
44
54
63
56
32
59
2
48
55
29
21
17
18
12
68
19
25
61
42
46
2
4
36
52
11
68
43
57
9
12
71
57
3
38
15
60
29
9
60
21
38
70
34
69
24
67
47
48
49
63
71
27
58
58
50
6
14
55
60
39
40
59
69
40
54
36
62
46
30
16
65
15
20
5
51
46
4
63
13
42
42
70
22
10
23
33
40
47
49
8
38
61
46
1
1
1
37
26
51
40
45
45
70
39
62
