"" "#-fancy" "#-happy" "#-married" "#-pleasing" "#-wise" "accomplished" "afraid" "alert" "amusing" "beautiful" "best" "blessed" "bustle" "calm" "capable" "careful" "cautious" "charitable" "cheerful" "clean" "clever" "comfortable" "compassionate" "competent" "confident" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "determined" "different" "direct" "encouraging" "energetic" "entertaining" "entitled" "exciting" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "feeling" "forgiving" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "happier" "happy" "harmless" "honest" "humble" "improper" "independent" "intellectual" "intelligent" "interesting" "irregular" "legal" "liberal" "married" "mighty" "minded" "modest" "moral" "natural" "neat" "obliged" "original" "playful" "pleasant" "pleasing" "polite" "popular" "powerful" "professional" "profitable" "proud" "prudent" "qualified" "quiet" "reasonable" "rich" "richest" "sacred" "safe" "safer" "secure" "selfish" "shocked" "sincere" "social" "spontaneous" "stable" "standing" "strong" "superior" "surprising" "uncertain" "unfair" "united" "universal" "unpleasant" "weak" "weaker" "welcome" "wise" "worth" "productive" "thoughtful" "encouraged" "strengthened" "tidy" "subordinate"
"#-fancy" 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"#-happy" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"#-married" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#-pleasing" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#-wise" 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"accomplished" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"afraid" 1 1 1 0 1 0 0 0 3 7 11 1 2 2 1 2 0 1 7 1 6 6 1 0 3 1 0 0 3 0 5 11 5 13 1 0 1 2 0 1 3 4 7 0 2 1 0 0 0 1 5 1 6 1 1 8 5 28 0 0 4 1 2 1 0 7 1 0 2 4 0 0 1 0 9 2 1 2 0 7 3 0 0 1 0 0 3 1 0 7 3 5 0 0 7 1 1 1 0 0 0 0 1 2 5 12 2 0 0 1 0 4 2 0 3 2 7 1 2 0 0 0 0
"alert" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"amusing" 0 0 0 0 0 0 3 0 0 1 2 0 1 0 0 0 0 0 2 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0
"beautiful" 1 0 0 0 1 0 7 0 1 0 8 0 0 0 0 1 0 0 6 0 3 3 0 0 1 0 0 0 3 0 1 2 1 5 1 0 0 1 0 0 2 0 0 1 1 0 0 0 0 0 1 0 3 0 1 2 1 11 1 0 1 0 2 0 0 4 0 0 1 2 0 0 1 0 5 1 1 1 0 3 5 0 0 0 0 0 0 1 0 4 1 3 0 0 1 0 0 1 0 1 1 0 1 0 2 7 1 0 0 0 0 1 2 0 1 0 2 0 0 0 0 0 0
